,Country,Monthly_Sal_EUR,EdLevel
149,Ukraine,1998.8333333333333,Bachelor's degree
641,Ukraine,5996.5,Bachelor's degree
1535,Ukraine,9994.166666666666,Master's degree
1762,Ukraine,11993.0,Bachelor's degree
1772,Ukraine,949.4458333333333,Bachelor's degree
2190,Ukraine,2498.5416666666665,Master's degree
2318,Ukraine,7995.333333333333,Master's degree
2966,Ukraine,4997.083333333333,Master's degree
3051,Ukraine,399.76666666666665,Master's degree
3107,Ukraine,429.7491666666666,Master's degree
3125,Ukraine,4997.083333333333,Bachelor's degree
3384,Ukraine,12492.708333333332,Master's degree
3470,Ukraine,439.74333333333334,Bachelor's degree
3501,Ukraine,5496.791666666666,Bachelor's degree
3524,Ukraine,6995.916666666666,college/university without bachelor's degree
3593,Ukraine,699.5916666666667,Master's degree
3770,Ukraine,129.92416666666668,Bachelor's degree
3920,Ukraine,3248.1041666666665,Primary/elementary school
4076,Ukraine,5496.791666666666,Master's degree
4206,Ukraine,349.79583333333335,Master's degree
4461,Ukraine,354.79291666666666,Bachelor's degree
4664,Ukraine,9994.166666666666,Bachelor's degree
6960,Ukraine,399.76666666666665,Master's degree
7188,Ukraine,1898.8916666666667,college/university without bachelor's degree
7397,Ukraine,7495.625,Master's degree
8016,Ukraine,2498.5416666666665,Master's degree
8269,Ukraine,10493.875,Master's degree
8455,Ukraine,9994.166666666666,Bachelor's degree
8606,Ukraine,11993.0,Secondary school
8629,Ukraine,149.9125,Master's degree
9590,Ukraine,5496.791666666666,Bachelor's degree
9876,Ukraine,3497.958333333333,Master's degree
10314,Ukraine,449.7375,Master's degree
10320,Ukraine,2798.366666666667,Bachelor's degree
10359,Ukraine,9494.458333333332,Bachelor's degree
10565,Ukraine,1998.8333333333333,Primary/elementary school
10566,Ukraine,5996.5,Bachelor's degree
10576,Ukraine,1798.95,Primary/elementary school
10578,Ukraine,1998.8333333333333,Secondary school
10590,Ukraine,6995.916666666666,Master's degree
10614,Ukraine,11322.291475,college/university without bachelor's degree
10617,Ukraine,119.93,Bachelor's degree
10626,Ukraine,10993.583333333332,Master's degree
10653,Ukraine,149.9125,Master's degree
10790,Ukraine,4997.083333333333,Master's degree
10945,Ukraine,9994.166666666666,Master's degree
10954,Ukraine,17989.5,Master's degree
11006,Ukraine,2498.5416666666665,Master's degree
11096,Ukraine,4997.083333333333,Master's degree
11104,Ukraine,11493.291666666666,Master's degree
11164,Ukraine,229.8658333333333,Bachelor's degree
11225,Ukraine,9994.166666666666,Bachelor's degree
11279,Ukraine,6496.208333333333,Master's degree
11280,Ukraine,229.8658333333333,Bachelor's degree
11353,Ukraine,2698.425,Master's degree
11594,Ukraine,6696.091666666667,Bachelor's degree
11629,Ukraine,5396.85,Master's degree
11631,Ukraine,7495.625,Master's degree
11664,Ukraine,7145.829166666666,Bachelor's degree
11705,Ukraine,249.85416666666666,Bachelor's degree
11770,Ukraine,6995.916666666666,Master's degree
11920,Ukraine,79.95333333333333,college/university without bachelor's degree
12057,Ukraine,2498.5416666666665,Bachelor's degree
12193,Ukraine,9994.166666666666,Master's degree
12400,Ukraine,2498.5416666666665,Master's degree
12536,Ukraine,3497.958333333333,Master's degree
12556,Ukraine,3779.793833333333,Master's degree
13002,Ukraine,8994.75,Master's degree
13479,Ukraine,3997.6666666666665,Master's degree
13492,Ukraine,8994.75,Master's degree
13495,Ukraine,10993.583333333332,Master's degree
13662,Ukraine,2398.6,college/university without bachelor's degree
13856,Ukraine,8994.75,Bachelor's degree
14209,Ukraine,5996.5,Bachelor's degree
14256,Ukraine,4497.375,college/university without bachelor's degree
14390,Ukraine,349.79583333333335,Master's degree
14552,Ukraine,1599.0666666666666,Secondary school
14615,Ukraine,99.94166666666666,Master's degree
14981,Ukraine,63.662841666666665,Bachelor's degree
15146,Ukraine,189.88916666666665,Master's degree
15456,Ukraine,6995.916666666666,Master's degree
15685,Ukraine,14991.25,Master's degree
15921,Ukraine,2455.1669833333335,Master's degree
15997,Ukraine,299.825,Master's degree
16492,Ukraine,4997.083333333333,Master's degree
16617,Ukraine,12492.708333333332,Master's degree
17046,Ukraine,399.76666666666665,Master's degree
17074,Ukraine,249.85416666666666,Master's degree
17090,Ukraine,8994.75,Master's degree
17092,Ukraine,299.825,Master's degree
17094,Ukraine,6496.208333333333,Master's degree
17121,Ukraine,2498.5416666666665,Professional degree
17363,Ukraine,1998.8333333333333,Master's degree
17469,Ukraine,299.825,Master's degree
17787,Ukraine,195.186075,Master's degree
19889,Ukraine,3497.958333333333,Master's degree
20613,Ukraine,5496.791666666666,Master's degree
20727,Ukraine,69.95916666666666,Master's degree
21155,Ukraine,399.76666666666665,Master's degree
21242,Ukraine,15990.666666666666,Associate degree
21412,Ukraine,399.76666666666665,Master's degree
21418,Ukraine,779.5450000000001,Bachelor's degree
21607,Ukraine,4797.2,Bachelor's degree
21902,Ukraine,159.90666666666667,Master's degree
22265,Ukraine,7295.741666666667,Master's degree
22292,Ukraine,8994.75,Master's degree
22339,Ukraine,2698.425,Bachelor's degree
22875,Ukraine,289.8308333333333,Master's degree
22916,Ukraine,1099.3583333333333,Doctoral degree
23013,Ukraine,699.5916666666667,Bachelor's degree
23079,Ukraine,399.76666666666665,college/university without bachelor's degree
23081,Ukraine,6995.916666666666,Bachelor's degree
23091,Ukraine,4997.083333333333,Bachelor's degree
23185,Ukraine,269.8425,Primary/elementary school
23291,Ukraine,69.95916666666666,Bachelor's degree
23425,Ukraine,9994.166666666666,Master's degree
23429,Ukraine,6995.916666666666,Master's degree
23595,Ukraine,11993.0,Bachelor's degree
23603,Ukraine,449.7375,Master's degree
23666,Ukraine,299.825,Master's degree
23744,Ukraine,6995.916666666666,Master's degree
23844,Ukraine,11993.0,Master's degree
24343,Ukraine,4997.083333333333,Bachelor's degree
24370,Ukraine,4997.083333333333,Master's degree
24429,Ukraine,4997.083333333333,Bachelor's degree
24489,Ukraine,183.39295833333335,Master's degree
25057,Ukraine,6496.208333333333,Bachelor's degree
25218,Ukraine,9994.166666666666,Bachelor's degree
25324,Ukraine,12992.416666666666,Master's degree
25566,Ukraine,5996.5,college/university without bachelor's degree
25614,Ukraine,199.88333333333333,Bachelor's degree
25737,Ukraine,99.94166666666666,Master's degree
25851,Ukraine,7995.333333333333,Master's degree
26484,Ukraine,999.4166666666666,Master's degree
26986,Ukraine,299.825,college/university without bachelor's degree
26989,Ukraine,2098.7749999999996,Master's degree
27068,Ukraine,9994.166666666666,Master's degree
27270,Ukraine,349.79583333333335,Master's degree
27437,Ukraine,349.79583333333335,Master's degree
27510,Ukraine,8095.275,Bachelor's degree
27714,Ukraine,5596.733333333334,Master's degree
27882,Ukraine,14991.25,Doctoral degree
28083,Ukraine,15990.666666666666,Master's degree
28086,Ukraine,6496.208333333333,Master's degree
28130,Ukraine,1499.125,Master's degree
29273,Ukraine,89.9475,Master's degree
29338,Ukraine,4997.083333333333,Master's degree
29352,Ukraine,2998.25,Bachelor's degree
29463,Ukraine,2498.5416666666665,Doctoral degree
29502,Ukraine,1998.8333333333333,Bachelor's degree
29642,Ukraine,199.88333333333333,Master's degree
29659,Ukraine,699.5916666666667,Master's degree
29718,Ukraine,2398.6,Bachelor's degree
30177,Ukraine,809.5274999999999,Master's degree
30420,Ukraine,699.5916666666667,Master's degree
30732,Ukraine,9994.166666666666,Master's degree
30884,Ukraine,2298.6583333333333,Bachelor's degree
31183,Ukraine,574.6645833333333,Associate degree
31200,Ukraine,2998.25,Master's degree
31273,Ukraine,9994.166666666666,Master's degree
31702,Ukraine,299.825,Bachelor's degree
31827,Ukraine,17489.791666666664,Professional degree
31989,Ukraine,17989.5,Bachelor's degree
31995,Ukraine,199.88333333333333,Master's degree
32041,Ukraine,5196.966666666666,Master's degree
32063,Ukraine,324.81041666666664,Master's degree
32066,Ukraine,3997.6666666666665,Master's degree
32116,Ukraine,1798.95,college/university without bachelor's degree
32214,Ukraine,799.5333333333333,Bachelor's degree
32241,Ukraine,8495.041666666666,Bachelor's degree
32428,Ukraine,3198.133333333333,Bachelor's degree
32556,Ukraine,9134.668333333333,Master's degree
32573,Ukraine,459.7316666666666,Master's degree
32648,Ukraine,299.825,Master's degree
32761,Ukraine,179.895,Master's degree
33036,Ukraine,279.83666666666664,Master's degree
33047,Ukraine,349.79583333333335,Master's degree
33432,Ukraine,99.94166666666666,Master's degree
33800,Ukraine,699.5916666666667,Master's degree
33975,Ukraine,379.7783333333333,Bachelor's degree
34148,Ukraine,8994.75,Master's degree
34219,Ukraine,14991.25,Master's degree
34223,Ukraine,379.7783333333333,Master's degree
34228,Ukraine,5196.966666666666,Master's degree
34348,Ukraine,499.7083333333333,Master's degree
34892,Ukraine,11993.0,Master's degree
