,Country,Monthly_Sal_EUR,EdLevel
984,United Arab Emirates,1299.2416666666666,Bachelor's degree
1823,United Arab Emirates,999.4166666666666,Master's degree
6356,United Arab Emirates,2998.25,Professional degree
7286,United Arab Emirates,289.8308333333333,Master's degree
7391,United Arab Emirates,999.4166666666666,Secondary school
7517,United Arab Emirates,599.65,Bachelor's degree
8816,United Arab Emirates,13991.833333333332,Bachelor's degree
8982,United Arab Emirates,2016.8228333333332,Master's degree
9792,United Arab Emirates,999.4166666666666,Bachelor's degree
10012,United Arab Emirates,1499.125,Bachelor's degree
10680,United Arab Emirates,9994.166666666666,Bachelor's degree
16827,United Arab Emirates,1399.1833333333334,Master's degree
20374,United Arab Emirates,999.4166666666666,Bachelor's degree
20790,United Arab Emirates,1998.8333333333333,Master's degree
27358,United Arab Emirates,1499.125,Bachelor's degree
28376,United Arab Emirates,699.5916666666667,Master's degree
28497,United Arab Emirates,999.4166666666666,Bachelor's degree
29037,United Arab Emirates,4997.083333333333,Master's degree
30623,United Arab Emirates,2418.588333333333,Bachelor's degree
31205,United Arab Emirates,1798.95,Bachelor's degree
31990,United Arab Emirates,1998.8333333333333,Bachelor's degree
32598,United Arab Emirates,129.92416666666668,college/university without bachelor's degree
32771,United Arab Emirates,1798.95,Bachelor's degree
34171,United Arab Emirates,1099.3583333333333,Bachelor's degree
34732,United Arab Emirates,1998.8333333333333,Bachelor's degree
35317,United Arab Emirates,2898.3083333333334,Bachelor's degree
35846,United Arab Emirates,1798.95,Secondary school
41154,United Arab Emirates,1349.2125,Bachelor's degree
42541,United Arab Emirates,799.5333333333333,Master's degree
43415,United Arab Emirates,699.5916666666667,Bachelor's degree
43615,United Arab Emirates,599.65,Bachelor's degree
43804,United Arab Emirates,1199.3,Bachelor's degree
44097,United Arab Emirates,11293.408333333333,Master's degree
44314,United Arab Emirates,2498.5416666666665,Master's degree
45146,United Arab Emirates,599.65,Associate degree
45147,United Arab Emirates,499.7083333333333,Bachelor's degree
45544,United Arab Emirates,3098.1916666666666,Bachelor's degree
47588,United Arab Emirates,5996.5,Master's degree
54052,United Arab Emirates,349.79583333333335,Bachelor's degree
54069,United Arab Emirates,1599.0666666666666,Bachelor's degree
54186,United Arab Emirates,2298.6583333333333,Master's degree
54193,United Arab Emirates,224.86875,Bachelor's degree
54195,United Arab Emirates,349.79583333333335,Bachelor's degree
54286,United Arab Emirates,499.7083333333333,Bachelor's degree
55518,United Arab Emirates,299.825,Master's degree
55924,United Arab Emirates,999.4166666666666,Bachelor's degree
57235,United Arab Emirates,1299.2416666666666,Bachelor's degree
58273,United Arab Emirates,1788.9558333333334,Bachelor's degree
58636,United Arab Emirates,1898.8916666666667,college/university without bachelor's degree
63231,United Arab Emirates,799.5333333333333,Bachelor's degree
