,Country,Monthly_Sal_EUR,YearsCodePro
984,United Arab Emirates,1299.2416666666666,6
1823,United Arab Emirates,999.4166666666666,3
6356,United Arab Emirates,2998.25,8
7286,United Arab Emirates,289.8308333333333,3
7391,United Arab Emirates,999.4166666666666,2
7517,United Arab Emirates,599.65,3
8816,United Arab Emirates,13991.833333333332,5
8982,United Arab Emirates,2016.8228333333332,10
9792,United Arab Emirates,999.4166666666666,1
10012,United Arab Emirates,1499.125,6
10680,United Arab Emirates,9994.166666666666,2
16827,United Arab Emirates,1399.1833333333334,12
20374,United Arab Emirates,999.4166666666666,2
20790,United Arab Emirates,1998.8333333333333,6
27358,United Arab Emirates,1499.125,4
28376,United Arab Emirates,699.5916666666667,3
28497,United Arab Emirates,999.4166666666666,9
29037,United Arab Emirates,4997.083333333333,5
30623,United Arab Emirates,2418.588333333333,7
31205,United Arab Emirates,1798.95,16
31990,United Arab Emirates,1998.8333333333333,10
32598,United Arab Emirates,129.92416666666668,5
32771,United Arab Emirates,1798.95,8
34171,United Arab Emirates,1099.3583333333333,4
34732,United Arab Emirates,1998.8333333333333,16
35317,United Arab Emirates,2898.3083333333334,5
35846,United Arab Emirates,1798.95,15
41154,United Arab Emirates,1349.2125,9
42541,United Arab Emirates,799.5333333333333,6
43415,United Arab Emirates,699.5916666666667,4
43615,United Arab Emirates,599.65,4
43804,United Arab Emirates,1199.3,10
44097,United Arab Emirates,11293.408333333333,2
44314,United Arab Emirates,2498.5416666666665,6
45146,United Arab Emirates,599.65,5
45147,United Arab Emirates,499.7083333333333,6
45544,United Arab Emirates,3098.1916666666666,6
47588,United Arab Emirates,5996.5,19
50935,United Arab Emirates,399.76666666666665,3
54052,United Arab Emirates,349.79583333333335,2
54069,United Arab Emirates,1599.0666666666666,9
54186,United Arab Emirates,2298.6583333333333,9
54193,United Arab Emirates,224.86875,3
54195,United Arab Emirates,349.79583333333335,4
54286,United Arab Emirates,499.7083333333333,5
55518,United Arab Emirates,299.825,4
55924,United Arab Emirates,999.4166666666666,5
57235,United Arab Emirates,1299.2416666666666,16
58273,United Arab Emirates,1788.9558333333334,8
58636,United Arab Emirates,1898.8916666666667,8
63231,United Arab Emirates,799.5333333333333,5
63647,United Arab Emirates,599.65,10
