,Country,Monthly_Sal_EUR,YearsCodePro
2,United Kingdom,8410.201041666665,20.0
14,United Kingdom,7393.583333333333,20.0
110,United Kingdom,2402.914583333333,1.0
113,United Kingdom,2218.075,1.0
135,United Kingdom,2402.914583333333,2.0
143,United Kingdom,3234.692708333333,1.0
149,United Kingdom,8410.201041666665,20.0
182,United Kingdom,9704.078125,14.0
260,United Kingdom,4713.409374999999,17.0
281,United Kingdom,5730.0270833333325,10.0
329,United Kingdom,4620.989583333333,20.0
335,United Kingdom,5545.1875,8.0
384,United Kingdom,3234.692708333333,3.0
425,United Kingdom,11090.375,17.0
447,United Kingdom,4620.989583333333,14.0
533,United Kingdom,2365.9466666666667,3.0
853,United Kingdom,4436.15,7.0
920,United Kingdom,2310.4947916666665,7.0
930,United Kingdom,3205.118375,4.0
961,United Kingdom,4713.409374999999,11.0
978,United Kingdom,4251.310416666666,10.0
1057,United Kingdom,6469.385416666666,12.0
1072,United Kingdom,2772.59375,4.0
1124,United Kingdom,4251.310416666666,17.0
1185,United Kingdom,4389.940104166666,8.0
1186,United Kingdom,3701.4126562499996,3.0
1214,United Kingdom,3789.211458333333,20.0
1225,United Kingdom,4066.4708333333333,1.0
1249,United Kingdom,11552.473958333332,20.0
1263,United Kingdom,2689.4159375,2.0
1281,United Kingdom,3234.692708333333,9.0
1315,United Kingdom,4713.409374999999,8.0
1316,United Kingdom,5545.1875,9.0
1327,United Kingdom,3465.7421875,3.0
1350,United Kingdom,3881.6312499999995,7.0
1381,United Kingdom,4020.2609374999997,15.0
1409,United Kingdom,3789.211458333333,5.0
1505,United Kingdom,4158.890625,7.0
1513,United Kingdom,4066.4708333333333,8.0
1523,United Kingdom,7393.583333333333,20.0
1544,United Kingdom,3881.6312499999995,9.0
1557,United Kingdom,3465.7421875,4.0
1559,United Kingdom,3327.1124999999997,11.0
1575,United Kingdom,5637.607291666665,9.0
1618,United Kingdom,3364.080416666666,4.0
1619,United Kingdom,6469.385416666666,10.0
1638,United Kingdom,5914.866666666666,6.0
1651,United Kingdom,4828.934114583333,14.0
1662,United Kingdom,5914.866666666666,17.0
1668,United Kingdom,5545.1875,8.0
1688,United Kingdom,6654.224999999999,9.0
1706,United Kingdom,2772.59375,6.0
1741,United Kingdom,3049.8531249999996,3.0
1748,United Kingdom,4066.4708333333333,5.0
1779,United Kingdom,2310.4947916666665,2.0
1786,United Kingdom,5545.1875,8.0
1791,United Kingdom,3974.051041666666,20.0
1810,United Kingdom,4436.15,20.0
1811,United Kingdom,3696.7916666666665,3.0
1817,United Kingdom,7393.583333333333,20.0
1862,United Kingdom,3696.7916666666665,7.0
1864,United Kingdom,8317.78125,20.0
1869,United Kingdom,2587.7541666666666,1.0
1876,United Kingdom,2667.2351874999995,2.0
1897,United Kingdom,1663.5562499999999,1.0
1931,United Kingdom,3881.6312499999995,13.0
1952,United Kingdom,4620.989583333333,13.0
2011,United Kingdom,4251.310416666666,1.0
2068,United Kingdom,9704.078125,15.0
2157,United Kingdom,5776.236979166666,6.0
2219,United Kingdom,1848.3958333333333,1.0
2283,United Kingdom,3604.371875,3.0
2460,United Kingdom,3049.8531249999996,3.0
2465,United Kingdom,2402.914583333333,4.0
2470,United Kingdom,4805.829166666666,5.0
2495,United Kingdom,4283.657343749999,14.0
2623,United Kingdom,4620.989583333333,8.0
2652,United Kingdom,3327.1124999999997,20.0
3480,United Kingdom,6469.385416666666,10.0
3515,United Kingdom,3608.9928645833334,6.0
3518,United Kingdom,2495.3343749999995,2.0
3561,United Kingdom,2633.9640624999997,10.0
3614,United Kingdom,3142.272916666667,3.0
3627,United Kingdom,9241.979166666666,18.0
3629,United Kingdom,5545.1875,19.0
3657,United Kingdom,4251.310416666666,10.0
3736,United Kingdom,5545.1875,15.0
3797,United Kingdom,4251.310416666666,9.0
3815,United Kingdom,6007.286458333333,7.0
3826,United Kingdom,4251.310416666666,3.0
3875,United Kingdom,4336.798723958333,20.0
3888,United Kingdom,5083.088541666666,10.0
3904,United Kingdom,2772.59375,2.0
3920,United Kingdom,3881.6312499999995,10.0
3934,United Kingdom,3465.7421875,8.0
3943,United Kingdom,3696.7916666666665,7.0
3953,United Kingdom,3419.5322916666664,1.0
4033,United Kingdom,4620.989583333333,17.0
4088,United Kingdom,4853.240519791666,20.0
4122,United Kingdom,3696.7916666666665,13.0
4138,United Kingdom,3511.9520833333327,5.0
4139,United Kingdom,6469.385416666666,11.0
4142,United Kingdom,4805.829166666666,18.0
4164,United Kingdom,5545.1875,8.0
4189,United Kingdom,6099.706249999999,10.0
4195,United Kingdom,3234.692708333333,3.0
4219,United Kingdom,7486.003124999999,9.0
4221,United Kingdom,4158.890625,8.0
4226,United Kingdom,5545.1875,4.0
4271,United Kingdom,3696.7916666666665,5.0
4285,United Kingdom,6007.286458333333,15.0
4290,United Kingdom,2957.433333333333,6.0
4330,United Kingdom,4990.668749999999,5.0
4347,United Kingdom,3327.1124999999997,14.0
4363,United Kingdom,3604.371875,6.0
4383,United Kingdom,3142.272916666667,5.0
4391,United Kingdom,5545.1875,20.0
4400,United Kingdom,3234.692708333333,20.0
4404,United Kingdom,5083.088541666666,5.0
4432,United Kingdom,2680.173958333333,4.0
4434,United Kingdom,3225.450729166666,1.0
4464,United Kingdom,3696.7916666666665,4.0
4467,United Kingdom,2402.914583333333,14.0
4496,United Kingdom,3327.1124999999997,19.0
4499,United Kingdom,3049.8531249999996,14.0
4550,United Kingdom,5175.508333333333,11.0
4552,United Kingdom,5360.347916666666,6.0
4553,United Kingdom,3511.9520833333327,3.0
4564,United Kingdom,2033.2354166666667,3.0
4661,United Kingdom,4436.15,10.0
4676,United Kingdom,4158.890625,6.0
4706,United Kingdom,7393.583333333333,20.0
4708,United Kingdom,2772.59375,2.0
4787,United Kingdom,4620.989583333333,7.0
4814,United Kingdom,2356.7046874999996,10.0
4865,United Kingdom,3511.9520833333327,1.0
4873,United Kingdom,5637.607291666665,10.0
4878,United Kingdom,3881.6312499999995,4.0
4917,United Kingdom,3511.9520833333327,9.0
4992,United Kingdom,3881.6312499999995,4.0
5009,United Kingdom,4251.310416666666,5.0
5045,United Kingdom,4158.890625,5.0
5052,United Kingdom,5822.446875,9.0
5089,United Kingdom,5545.1875,9.0
5139,United Kingdom,3.789211458333333,20.0
5142,United Kingdom,4805.829166666666,11.0
5158,United Kingdom,4297.5203125,5.0
5165,United Kingdom,4620.989583333333,3.0
5177,United Kingdom,3881.6312499999995,4.0
5226,United Kingdom,2402.914583333333,3.0
5228,United Kingdom,5730.0270833333325,17.0
5283,United Kingdom,3511.9520833333327,5.0
5294,United Kingdom,3511.9520833333327,5.0
5336,United Kingdom,2430.8253604166666,3.0
5372,United Kingdom,4066.4708333333333,10.0
5390,United Kingdom,3465.7421875,5.0
5398,United Kingdom,3327.1124999999997,16.0
5399,United Kingdom,6007.286458333333,10.0
5443,United Kingdom,4620.989583333333,16.0
5462,United Kingdom,3234.692708333333,8.0
5479,United Kingdom,2402.914583333333,4.0
5503,United Kingdom,7393.583333333333,9.0
5520,United Kingdom,3696.7916666666665,14.0
5580,United Kingdom,1478.7166666666665,1.0
5584,United Kingdom,4158.890625,11.0
5679,United Kingdom,7855.682291666666,11.0
5683,United Kingdom,2328.9787499999998,2.0
5691,United Kingdom,3927.841145833333,6.0
5707,United Kingdom,4898.248958333333,10.0
5729,United Kingdom,3581.266927083333,4.0
5734,United Kingdom,3789.211458333333,4.0
5774,United Kingdom,2495.3343749999995,4.0
5809,United Kingdom,3049.8531249999996,6.0
5820,United Kingdom,3558.1619791666662,4.0
5839,United Kingdom,3049.8531249999996,2.0
5857,United Kingdom,6007.286458333333,20.0
5909,United Kingdom,3752.2435416666667,4.0
5917,United Kingdom,3234.692708333333,6.0
6006,United Kingdom,2957.433333333333,2.0
6034,United Kingdom,3881.6312499999995,4.0
