,Country,Monthly_Sal_EUR,EdLevel
15,United Kingdom,2898.3083333333334,Master's degree
75,United Kingdom,2998.25,Bachelor's degree
81,United Kingdom,10993.583333333332,Master's degree
93,United Kingdom,3298.075,college/university without bachelor's degree
127,United Kingdom,10593.816666666666,Bachelor's degree
162,United Kingdom,4797.2,Bachelor's degree
186,United Kingdom,4997.083333333333,Master's degree
191,United Kingdom,11993.0,Bachelor's degree
235,United Kingdom,2498.5416666666665,Bachelor's degree
250,United Kingdom,4497.375,Bachelor's degree
259,United Kingdom,17989.5,Master's degree
283,United Kingdom,2998.25,Bachelor's degree
321,United Kingdom,2702.0229,Bachelor's degree
416,United Kingdom,4997.083333333333,Bachelor's degree
421,United Kingdom,7995.333333333333,Master's degree
426,United Kingdom,3398.016666666667,Master's degree
444,United Kingdom,2598.483333333333,Master's degree
467,United Kingdom,2798.366666666667,college/university without bachelor's degree
475,United Kingdom,9994.166666666666,Bachelor's degree
479,United Kingdom,5996.5,Bachelor's degree
502,United Kingdom,299.825,college/university without bachelor's degree
560,United Kingdom,17989.5,Master's degree
621,United Kingdom,20.98775,Secondary school
622,United Kingdom,3582.9087499999996,Bachelor's degree
640,United Kingdom,3198.133333333333,Bachelor's degree
649,United Kingdom,3707.835833333333,Master's degree
662,United Kingdom,2498.5416666666665,Master's degree
664,United Kingdom,2648.4541666666664,college/university without bachelor's degree
737,United Kingdom,4297.491666666667,college/university without bachelor's degree
744,United Kingdom,4997.083333333333,Master's degree
757,United Kingdom,4497.375,Bachelor's degree
782,United Kingdom,4647.2875,college/university without bachelor's degree
785,United Kingdom,799.5333333333333,Master's degree
790,United Kingdom,2398.6,Doctoral degree
794,United Kingdom,6196.383333333333,Bachelor's degree
853,United Kingdom,5996.5,Bachelor's degree
856,United Kingdom,3497.958333333333,Bachelor's degree
859,United Kingdom,4791.2035,Bachelor's degree
874,United Kingdom,11493.291666666666,Bachelor's degree
875,United Kingdom,5996.5,Master's degree
898,United Kingdom,3098.1916666666666,Bachelor's degree
918,United Kingdom,1499.125,Master's degree
922,United Kingdom,999.4166666666666,college/university without bachelor's degree
927,United Kingdom,6496.208333333333,Doctoral degree
934,United Kingdom,4097.608333333334,Bachelor's degree
935,United Kingdom,3326.0586666666663,college/university without bachelor's degree
938,United Kingdom,395.769,Bachelor's degree
978,United Kingdom,1998.8333333333333,college/university without bachelor's degree
993,United Kingdom,5496.791666666666,Bachelor's degree
1000,United Kingdom,9994.166666666666,Bachelor's degree
1001,United Kingdom,3797.7833333333333,Master's degree
1028,United Kingdom,219.87166666666667,Bachelor's degree
1093,United Kingdom,3497.958333333333,college/university without bachelor's degree
1109,United Kingdom,5996.5,Bachelor's degree
