,Country,Monthly_Sal_EUR,EdLevel
224,Uruguay,10194.05,Bachelor's degree
1932,Uruguay,4497.375,Bachelor's degree
2483,Uruguay,4197.549999999999,Bachelor's degree
9596,Uruguay,3298.075,Bachelor's degree
14493,Uruguay,4997.083333333333,Bachelor's degree
19681,Uruguay,3897.7250000000004,Professional degree
41679,Uruguay,2598.483333333333,Bachelor's degree
43718,Uruguay,1898.8916666666667,college/university without bachelor's degree
47601,Uruguay,5377.332802547768,college/university without bachelor's degree
48871,Uruguay,6995.916666666666,Bachelor's degree
