,Country,Monthly_Sal_EUR,EdLevel
5424,Uzbekistan,1199.3,Bachelor's degree
8622,Uzbekistan,719.58,Bachelor's degree
9814,Uzbekistan,1499.125,Master's degree
23321,Uzbekistan,2098.7749999999996,Bachelor's degree
23983,Uzbekistan,539.685,Bachelor's degree
46378,Uzbekistan,1764.1703,Bachelor's degree
48881,Uzbekistan,599.65,Bachelor's degree
50820,Uzbekistan,479.72,college/university without bachelor's degree
59693,Uzbekistan,959.44,Bachelor's degree
69805,Uzbekistan,479.72,Bachelor's degree
77621,Uzbekistan,1798.95,college/university without bachelor's degree
77960,Uzbekistan,959.44,Bachelor's degree
85440,Uzbekistan,5944.9301,Associate degree
