,Country,Monthly_Sal_EUR,EdLevel
18177,Viet Nam,399.76666666666665,college/university without bachelor's degree
20465,Viet Nam,44.97375,Bachelor's degree
21671,Viet Nam,54.96791666666667,Bachelor's degree
26073,Viet Nam,49.97083333333333,Bachelor's degree
29072,Viet Nam,13991.833333333332,college/university without bachelor's degree
30174,Viet Nam,99.94166666666666,Secondary school
33542,Viet Nam,749.5625,Master's degree
35820,Viet Nam,199.88333333333333,Master's degree
37102,Viet Nam,199.88333333333333,Master's degree
40606,Viet Nam,199.88333333333333,Master's degree
42229,Viet Nam,149.9125,Bachelor's degree
49141,Viet Nam,529.6908333333333,Master's degree
53838,Viet Nam,119.93,Bachelor's degree
62520,Viet Nam,349.79583333333335,Master's degree
67458,Viet Nam,119.93,Bachelor's degree
71807,Viet Nam,349.79583333333335,Bachelor's degree
79805,Viet Nam,119.93,Master's degree
82400,Viet Nam,149.9125,Bachelor's degree
84885,Viet Nam,18.789033333333332,college/university without bachelor's degree
