,Country,Monthly_Sal_EUR,YearsCodePro
125,Viet Nam,2098.7749999999996,8
9925,Viet Nam,229.8658333333333,4
10355,Viet Nam,249.85416666666666,6
10567,Viet Nam,174.89791666666667,16
13126,Viet Nam,99.94166666666666,8
18435,Viet Nam,79.95333333333333,8
18830,Viet Nam,179.895,3
31286,Viet Nam,1.9988333333333332,4
31425,Viet Nam,1499.125,9
33266,Viet Nam,399.76666666666665,21
38444,Viet Nam,99.94166666666666,10
39821,Viet Nam,149.9125,5
43593,Viet Nam,139.91833333333332,5
44390,Viet Nam,56.96675,2
44523,Viet Nam,119.93,9
57115,Viet Nam,199.88333333333333,3
58079,Viet Nam,89.9475,2
58512,Viet Nam,3198.133333333333,10
65303,Viet Nam,3997.6666666666665,3
66166,Viet Nam,349.79583333333335,14
68657,Viet Nam,39.97666666666667,5
72680,Viet Nam,199.88333333333333,25
78820,Viet Nam,189.88916666666665,9
79256,Viet Nam,99.94166666666666,2
83422,Viet Nam,1998.8333333333333,18
