,Country,Monthly_Sal_EUR,YearsCodePro
1878,Zimbabwe,149.9125,4
2521,Zimbabwe,159.90666666666667,2
6466,Zimbabwe,49.97083333333333,6
15220,Zimbabwe,349.79583333333335,4
15847,Zimbabwe,249.85416666666666,8
30560,Zimbabwe,64.96208333333334,2
34874,Zimbabwe,99.94166666666666,6
46943,Zimbabwe,7.495625,3
54080,Zimbabwe,1499.125,3
55057,Zimbabwe,1499.125,5
66038,Zimbabwe,199.88333333333333,7
76118,Zimbabwe,6995.916666666666,6
82241,Zimbabwe,239.86,4
83328,Zimbabwe,89.9475,2
83632,Zimbabwe,99.94166666666666,2
