,Country,Monthly_Sal_EUR,EdLevel
9458,Zimbabwe,1499.125,college/university without bachelor's degree
14137,Zimbabwe,719.58,Bachelor's degree
18980,Zimbabwe,149.9125,Bachelor's degree
24687,Zimbabwe,249.85416666666666,Master's degree
25748,Zimbabwe,35.979,college/university without bachelor's degree
26222,Zimbabwe,19.988333333333333,Bachelor's degree
31142,Zimbabwe,59.965,college/university without bachelor's degree
36657,Zimbabwe,34.97958333333333,Bachelor's degree
38567,Zimbabwe,9.994166666666667,Bachelor's degree
40728,Zimbabwe,2398.6,Bachelor's degree
61661,Zimbabwe,29.9825,Bachelor's degree
