,Country,Monthly_Sal_EUR,YearsCodePro
2,United Kingdom,8410.201041666665,20.0
14,United Kingdom,7393.583333333333,20.0
17,United States,12992.416666666666,20.0
18,United States,8245.1875,3.0
22,Israel,10070.5221,5.0
25,United States,17489.791666666664,16.0
34,Croatia,1236.5591397849498,1.0
36,Argentina,2818.355,9.0
37,Germany,9856.630824372749,7.0
52,Brazil,5189.337030254793,1.0
54,Germany,5376.344086021508,4.0
57,Italy,3584.2293906809996,4.0
64,Netherlands,5824.372759856633,4.0
65,Poland,6188.148148148154,2.0
69,Spain,2688.17204301075,4.0
70,United States,6496.208333333333,1.0
72,United States,11993.0,20.0
75,France,3853.0465949820746,16.0
76,United States,9622.683491666667,20.0
81,United States,10993.583333333332,13.0
90,Croatia,3857.7483333333334,3.0
95,Germany,4480.2867383512585,4.0
99,United States,10933.618333333334,7.0
102,Germany,6989.247311827958,17.0
103,United States,5097.025,1.0
104,Brazil,5799.084394904465,12.0
110,United Kingdom,2402.914583333333,1.0
111,Mexico,3997.6666666666665,5.0
113,United Kingdom,2218.075,1.0
115,United States,8994.75,10.0
123,United States,11493.291666666666,4.0
125,United States,9294.575,9.0
126,Estonia,2150.5376344086,5.0
132,Finland,4592.293906810033,7.0
134,United States,9244.604166666666,14.0
135,United Kingdom,2402.914583333333,2.0
143,United Kingdom,3234.692708333333,1.0
148,Lithuania,179.21146953404997,2.0
149,United Kingdom,8410.201041666665,20.0
156,United States,7995.333333333333,5.0
157,United States,10023.849341666666,15.0
158,France,3853.0465949820746,10.0
162,Israel,2498.5416666666665,3.0
169,United States,9994.166666666666,14.0
173,Ukraine,2698.425,4.0
177,United States,11993.0,4.0
180,Russian Federation,5996.5,6.0
182,United Kingdom,9704.078125,14.0
191,Germany,896.0573476702499,1.0
192,Canada,10918.465909090906,10.0
195,United States,6596.15,7.0
198,United States,14591.483333333334,15.0
206,Canada,7785.340909090906,9.0
209,Canada,6835.9090909090855,8.0
212,Netherlands,2688.17204301075,5.0
214,Germany,4301.0752688172,4.0
216,United States,4997.083333333333,15.0
219,United States,4997.083333333333,2.0
220,United States,18489.208333333332,20.0
223,United States,15990.666666666666,11.0
224,Uruguay,10194.05,8.0
229,Poland,8250.864197530862,5.0
232,Netherlands,4838.709677419358,10.0
234,United States,6296.325000000001,6.0
235,United States,6696.091666666667,6.0
237,United States,7995.333333333333,5.0
238,United States,10293.991666666667,15.0
241,United States,8095.275,6.0
247,Greece,179.21146953404997,3.0
249,United States,6496.208333333333,2.0
258,United States,6496.208333333333,20.0
260,United Kingdom,4713.409374999999,17.0
264,Costa Rica,5896.5583333333325,6.0
267,United States,11493.291666666666,8.0
273,Italy,3136.200716845875,8.0
274,United States,16990.083333333332,18.0
275,Canada,10158.920454545458,17.0
281,United Kingdom,5730.0270833333325,10.0
282,Israel,7840.623633333334,11.0
291,United States,16990.083333333332,4.0
308,Israel,5326.890833333333,3.0
314,Netherlands,3951.6129032258086,11.0
315,United States,9694.341666666667,9.0
323,Slovenia,1657.7060931899664,2.0
324,United States,11993.0,7.0
328,Germany,4928.315412186383,5.0
329,United Kingdom,4620.989583333333,20.0
331,El Salvador,59.965,2.0
335,United Kingdom,5545.1875,8.0
340,Germany,4480.2867383512585,5.0
345,Finland,5555.555555555558,20.0
347,United States,10993.583333333332,4.0
349,United States,8495.041666666666,2.0
360,Canada,4823.113636363638,2.0
364,United States,16490.375,8.0
366,United States,9994.166666666666,5.0
371,United States,6096.441666666667,7.0
373,United States,14991.25,20.0
374,United States,8195.216666666667,7.0
377,Portugal,3584.2293906809996,10.0
378,United States,8495.041666666666,1.0
384,United Kingdom,3234.692708333333,3.0
386,Germany,3942.6523297490994,2.0
387,United States,10993.583333333332,20.0
397,Switzerland,6192.3083333333325,4.0
399,Brazil,10754.665605095535,2.0
400,United States,8794.866666666667,1.0
402,Netherlands,5591.397849462366,7.0
406,United States,11993.0,20.0
412,Brazil,5061.019108280269,9.0
418,Germany,3333.333333333333,3.0
425,United Kingdom,11090.375,17.0
427,Albania,716.8458781362008,2.0
429,United States,13741.979166666666,8.0
431,United States,15990.666666666666,20.0
433,United States,8994.75,13.0
436,Canada,5886.477272727276,16.0
437,Brazil,12441.67197452229,11.0
444,Austria,5197.132616487458,10.0
447,United Kingdom,4620.989583333333,14.0
448,Romania,2150.5376344086,12.0
450,United States,10993.583333333332,17.0
451,United States,8195.216666666667,3.0
457,United States,10393.933333333332,3.0
459,Brazil,8435.031847133749,6.0
466,Finland,3225.8064516128998,1.0
468,Sweden,3479.8501131221715,8.0
469,Canada,4747.159090909094,4.0
471,United States,5246.9375,3.0
472,United States,10044.237441666666,15.0
475,United States,9294.575,8.0
476,United States,8994.75,9.0
490,Canada,6646.022727272724,7.0
491,Canada,12467.179090909094,20.0
499,United States,7495.625,1.0
501,United States,9494.458333333332,7.0
504,United States,7315.7300000000005,10.0
510,United States,13991.833333333332,15.0
512,United States,12992.416666666666,5.0
514,Finland,4928.315412186383,16.0
517,United States,8594.983333333334,20.0
525,United States,8994.75,2.0
530,United States,15990.666666666666,10.0
533,United Kingdom,2365.9466666666667,3.0
534,Germany,2956.9892473118252,2.0
536,Brazil,4428.3917197452065,3.0
546,France,2688.17204301075,8.0
562,United States,5996.5,3.0
565,Croatia,2240.1433691756247,5.0
567,United States,10633.793333333333,19.0
582,United States,13492.125,7.0
586,United States,13991.833333333332,20.0
590,United States,7695.508333333333,7.0
605,Finland,6451.612903225808,15.0
609,United States,10493.875,2.0
611,United States,6196.383333333333,6.0
613,Netherlands,3315.412186379925,8.0
614,United States,14991.25,18.0
617,Australia,6006.641414141417,4.0
625,United States,12892.475,17.0
626,Switzerland,8191.399999999999,4.0
628,United States,6496.208333333333,5.0
632,United States,11493.291666666666,20.0
634,Canada,5126.931818181816,5.0
643,United States,12492.708333333332,7.0
645,Ukraine,199.88333333333333,1.0
646,United States,9494.458333333332,20.0
648,United States,8794.866666666667,8.0
668,United States,11718.160416666668,20.0
673,United States,15490.958333333332,12.0
678,Canada,7975.227272727268,5.0
681,Belgium,1935.4838709677417,2.0
682,United States,9494.458333333332,8.0
686,Poland,1203.2510288065841,9.0
688,United States,10993.583333333332,3.0
689,United States,8495.041666666666,12.0
690,United States,6196.383333333333,4.0
691,Italy,3584.2293906809996,13.0
692,Brazil,2940.4521019108274,2.0
694,United States,15990.666666666666,19.0
701,United States,9294.575,12.0
703,United States,9494.458333333332,3.0
704,Brazil,347.9450636942679,5.0
707,United States,8195.216666666667,19.0
712,Switzerland,13164.75,5.0
715,Brazil,13706.926751592351,18.0
717,Canada,6171.306818181813,4.0
719,Turkey,1971.3261648745497,6.0
722,United States,9994.166666666666,20.0
724,United States,10693.758333333333,13.0
727,India,13496.784613125814,2.0
730,Germany,2956.9892473118252,3.0
742,Brazil,12652.547770700625,5.0
743,United States,11593.233333333334,9.0
745,Finland,3136.200716845875,10.0
748,Germany,4139.7849462365575,4.0
750,United States,7195.8,3.0
758,United States,11843.087500000001,2.0
765,Belgium,188.17204301075247,4.0
770,United States,17789.616666666665,16.0
774,United States,11093.525000000001,8.0
778,United States,5097.025,20.0
780,Italy,3655.9139784946246,10.0
781,Spain,3136.200716845875,4.0
786,Germany,5286.738351254483,6.0
794,United States,8994.75,1.0
799,Canada,9.969034090909085,5.0
807,United States,8994.75,5.0
808,Norway,6496.208333333333,2.0
809,United States,9994.166666666666,13.0
810,Canada,11393.181818181816,20.0
817,Poland,3094.074074074074,2.0
818,United States,9394.516666666666,5.0
822,United States,8994.75,19.0
827,Canada,8544.886363636366,3.0
831,United States,14991.25,9.0
848,Poland,10313.580246913567,3.0
853,United Kingdom,4436.15,7.0
855,Canada,5250.357954545455,3.0
859,United States,13492.125,9.0
861,United States,14291.658333333333,5.0
867,United States,14291.658333333333,7.0
869,United States,8495.041666666666,5.0
876,Austria,3073.4767025089586,2.0
