Country,Gender,GenderCount
Afghanistan,Man,26.0
Afghanistan,"Non-binary, genderqueer, or gender non-conforming",1.0
Afghanistan,Woman,2.0
Afghanistan,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Albania,Man,70.0
Albania,"Non-binary, genderqueer, or gender non-conforming",1.0
Albania,Woman,12.0
Algeria,Man,107.0
Algeria,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Algeria,"Non-binary, genderqueer, or gender non-conforming",1.0
Algeria,Woman,12.0
Algeria,Woman;Man,1.0
Algeria,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Andorra,Man,4.0
Andorra,Woman,1.0
Angola,Man,3.0
Angola,Woman,1.0
Antigua and Barbuda,Man,3.0
Antigua and Barbuda,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Antigua and Barbuda,"Non-binary, genderqueer, or gender non-conforming",1.0
Antigua and Barbuda,Woman,1.0
Argentina,Man,497.0
Argentina,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Argentina,"Non-binary, genderqueer, or gender non-conforming",4.0
Argentina,Woman,37.0
Argentina,Woman;Man,2.0
Argentina,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Armenia,Man,68.0
Armenia,Woman,10.0
Australia,Man,1684.0
Australia,"Man;Non-binary, genderqueer, or gender non-conforming",5.0
Australia,"Non-binary, genderqueer, or gender non-conforming",23.0
Australia,Woman,111.0
Australia,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Australia,"Woman;Non-binary, genderqueer, or gender non-conforming",6.0
Austria,Man,761.0
Austria,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Austria,"Non-binary, genderqueer, or gender non-conforming",7.0
Austria,Woman,35.0
Austria,Woman;Man,1.0
Azerbaijan,Man,44.0
Azerbaijan,"Non-binary, genderqueer, or gender non-conforming",1.0
Azerbaijan,Woman,1.0
Bahamas,Man,1.0
Bahamas,Woman,1.0
Bahrain,Man,15.0
Bahrain,Woman,2.0
Bangladesh,Man,515.0
Bangladesh,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Bangladesh,"Non-binary, genderqueer, or gender non-conforming",1.0
Bangladesh,Woman,21.0
Bangladesh,Woman;Man,10.0
Bangladesh,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Bangladesh,"Woman;Non-binary, genderqueer, or gender non-conforming",3.0
Barbados,Man,1.0
Belarus,Man,179.0
Belarus,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Belarus,"Non-binary, genderqueer, or gender non-conforming",1.0
Belarus,Woman,15.0
Belgium,Man,675.0
Belgium,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Belgium,"Non-binary, genderqueer, or gender non-conforming",7.0
Belgium,Woman,22.0
Belgium,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Belize,Man,3.0
Benin,Man,5.0
Bhutan,Man,2.0
Bolivia,Man,34.0
Bolivia,Woman,1.0
Bosnia and Herzegovina,Man,93.0
Bosnia and Herzegovina,Woman,11.0
Bosnia and Herzegovina,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Botswana,Man,5.0
Brazil,Man,1812.0
Brazil,"Man;Non-binary, genderqueer, or gender non-conforming",6.0
Brazil,"Non-binary, genderqueer, or gender non-conforming",7.0
Brazil,Woman,92.0
Brazil,Woman;Man,1.0
Brazil,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
Brunei Darussalam,Man,1.0
Bulgaria,Man,556.0
Bulgaria,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Bulgaria,"Non-binary, genderqueer, or gender non-conforming",2.0
Bulgaria,Woman,81.0
Burkina Faso,Man,4.0
Burundi,Man,3.0
Cambodia,Man,23.0
Cambodia,Woman,2.0
Cambodia,Woman;Man,1.0
Cambodia,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Cameroon,Man,48.0
Cameroon,Woman,1.0
Cameroon,Woman;Man,1.0
Canada,Man,2916.0
Canada,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Canada,"Non-binary, genderqueer, or gender non-conforming",33.0
Canada,Woman,311.0
Canada,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",2.0
Canada,"Woman;Non-binary, genderqueer, or gender non-conforming",11.0
Cape Verde,Man,2.0
Chad,Man,1.0
Chile,Man,188.0
Chile,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Chile,"Non-binary, genderqueer, or gender non-conforming",1.0
Chile,Woman,14.0
China,Man,564.0
China,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
China,"Non-binary, genderqueer, or gender non-conforming",7.0
China,Woman,32.0
China,Woman;Man,2.0
China,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Colombia,Man,287.0
Colombia,Woman,17.0
"Congo, Republic of the...",Man,6.0
"Congo, Republic of the...",Woman;Man,1.0
Costa Rica,Man,78.0
Costa Rica,Woman,2.0
Costa Rica,Woman;Man,1.0
Croatia,Man,222.0
Croatia,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Croatia,Woman,33.0
Cuba,Man,30.0
Cyprus,Man,54.0
Cyprus,"Non-binary, genderqueer, or gender non-conforming",1.0
Cyprus,Woman,4.0
Czech Republic,Man,698.0
Czech Republic,"Man;Non-binary, genderqueer, or gender non-conforming",3.0
Czech Republic,"Non-binary, genderqueer, or gender non-conforming",3.0
Czech Republic,Woman,38.0
Czech Republic,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
C̫te d'Ivoire,Man,33.0
C̫te d'Ivoire,Woman;Man,1.0
Democratic People's Republic of Korea,Man,1.0
Democratic People's Republic of Korea,Woman,1.0
Democratic Republic of the Congo,Man,7.0
Denmark,Man,563.0
Denmark,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Denmark,"Non-binary, genderqueer, or gender non-conforming",4.0
Denmark,Woman,28.0
Denmark,Woman;Man,1.0
Denmark,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Denmark,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
Djibouti,Man,2.0
Dominica,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Dominican Republic,Man,92.0
Dominican Republic,Woman,3.0
Ecuador,Man,77.0
Ecuador,Woman,4.0
Ecuador,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Egypt,Man,278.0
Egypt,Woman,29.0
Egypt,Woman;Man,2.0
Egypt,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
El Salvador,Man,61.0
El Salvador,Woman,5.0
Estonia,Man,179.0
Estonia,"Non-binary, genderqueer, or gender non-conforming",1.0
Estonia,Woman,12.0
Ethiopia,Man,43.0
Ethiopia,"Non-binary, genderqueer, or gender non-conforming",1.0
Ethiopia,Woman,4.0
Fiji,Man,2.0
Fiji,Woman,2.0
Finland,Man,492.0
Finland,"Non-binary, genderqueer, or gender non-conforming",3.0
Finland,Woman,23.0
Finland,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
France,Man,2180.0
France,"Man;Non-binary, genderqueer, or gender non-conforming",10.0
France,"Non-binary, genderqueer, or gender non-conforming",14.0
France,Woman,114.0
France,Woman;Man,2.0
France,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",4.0
France,"Woman;Non-binary, genderqueer, or gender non-conforming",6.0
Gabon,Man,2.0
Georgia,Man,69.0
Georgia,Woman,7.0
Georgia,Woman;Man,1.0
Germany,Man,5289.0
Germany,"Man;Non-binary, genderqueer, or gender non-conforming",13.0
Germany,"Non-binary, genderqueer, or gender non-conforming",58.0
Germany,Woman,296.0
Germany,Woman;Man,4.0
Germany,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Germany,"Woman;Non-binary, genderqueer, or gender non-conforming",6.0
Ghana,Man,80.0
Ghana,Woman,2.0
Ghana,Woman;Man,1.0
Greece,Man,479.0
Greece,"Non-binary, genderqueer, or gender non-conforming",2.0
Greece,Woman,53.0
Greece,Woman;Man,1.0
Greece,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Guatemala,Man,64.0
Guatemala,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Guatemala,"Non-binary, genderqueer, or gender non-conforming",1.0
Guatemala,Woman,1.0
Guinea,Man,3.0
Guyana,Man,3.0
Haiti,Man,5.0
Honduras,Man,23.0
Honduras,Woman,3.0
Hong Kong (S.A.R.),Man,164.0
Hong Kong (S.A.R.),"Non-binary, genderqueer, or gender non-conforming",3.0
Hong Kong (S.A.R.),Woman,11.0
Hong Kong (S.A.R.),Woman;Man,1.0
Hungary,Man,468.0
Hungary,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Hungary,Woman,35.0
Hungary,Woman;Man,2.0
Hungary,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Iceland,Man,39.0
Iceland,Woman,7.0
India,Man,7802.0
India,"Man;Non-binary, genderqueer, or gender non-conforming",6.0
India,"Non-binary, genderqueer, or gender non-conforming",19.0
India,Woman,570.0
India,Woman;Man,26.0
India,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",11.0
India,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
Indonesia,Man,461.0
Indonesia,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Indonesia,"Non-binary, genderqueer, or gender non-conforming",4.0
Indonesia,Woman,20.0
Indonesia,Woman;Man,3.0
Indonesia,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Indonesia,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
Iran,Man,662.0
Iran,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Iran,Woman,42.0
Iran,Woman;Man,1.0
Iraq,Man,30.0
Iraq,"Non-binary, genderqueer, or gender non-conforming",2.0
Iraq,Woman,1.0
Iraq,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Ireland,Man,445.0
Ireland,"Non-binary, genderqueer, or gender non-conforming",5.0
Ireland,Woman,39.0
Israel,Man,838.0
Israel,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Israel,"Non-binary, genderqueer, or gender non-conforming",2.0
Israel,Woman,86.0
Israel,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Italy,Man,1468.0
Italy,"Man;Non-binary, genderqueer, or gender non-conforming",3.0
Italy,"Non-binary, genderqueer, or gender non-conforming",2.0
Italy,Woman,55.0
Jamaica,Man,26.0
Jamaica,Woman,1.0
Japan,Man,343.0
Japan,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Japan,"Non-binary, genderqueer, or gender non-conforming",4.0
Japan,Woman,23.0
Japan,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Jordan,Man,52.0
Jordan,Woman,9.0
Kazakhstan,Man,52.0
Kazakhstan,Woman,7.0
Kazakhstan,Woman;Man,1.0
Kenya,Man,227.0
