Country,LanguageWorkedWith,LanguageWorkedWithCount
Afghanistan,APL,7.0
Afghanistan,Assembly,9.0
Afghanistan,Bash/Shell,12.0
Afghanistan,C,11.0
Afghanistan,C#,15.0
Afghanistan,C++,18.0
Afghanistan,COBOL,2.0
Afghanistan,Clojure,3.0
Afghanistan,Crystal,3.0
Afghanistan,Dart,7.0
Afghanistan,Delphi,3.0
Afghanistan,Elixir,5.0
Afghanistan,Erlang,2.0
Afghanistan,F#,1.0
Afghanistan,Go,5.0
Afghanistan,Groovy,1.0
Afghanistan,HTML/CSS,27.0
Afghanistan,Haskell,1.0
Afghanistan,Java,19.0
Afghanistan,JavaScript,31.0
Afghanistan,Julia,1.0
Afghanistan,Kotlin,4.0
Afghanistan,LISP,2.0
Afghanistan,Matlab,1.0
Afghanistan,Node.js,14.0
Afghanistan,Objective-C,2.0
Afghanistan,PHP,19.0
Afghanistan,Perl,4.0
Afghanistan,PowerShell,4.0
Afghanistan,Python,17.0
Afghanistan,R,3.0
Afghanistan,Ruby,4.0
Afghanistan,Rust,5.0
Afghanistan,SQL,19.0
Afghanistan,Scala,4.0
Afghanistan,Swift,6.0
Afghanistan,TypeScript,12.0
Afghanistan,VBA,5.0
Albania,APL,1.0
Albania,Assembly,1.0
Albania,Bash/Shell,5.0
Albania,C,10.0
Albania,C#,21.0
Albania,C++,8.0
Albania,Dart,3.0
Albania,Delphi,1.0
Albania,Go,1.0
Albania,Groovy,3.0
Albania,HTML/CSS,37.0
Albania,Java,22.0
Albania,JavaScript,44.0
Albania,Julia,1.0
Albania,Kotlin,4.0
Albania,LISP,1.0
Albania,Matlab,3.0
Albania,Node.js,15.0
Albania,Objective-C,1.0
Albania,PHP,16.0
Albania,PowerShell,3.0
Albania,Python,24.0
Albania,R,1.0
Albania,Ruby,2.0
Albania,SQL,26.0
Albania,Swift,1.0
Albania,TypeScript,15.0
Albania,VBA,3.0
Algeria,APL,1.0
Algeria,Assembly,5.0
Algeria,Bash/Shell,7.0
Algeria,C,15.0
Algeria,C#,6.0
Algeria,C++,10.0
Algeria,Dart,6.0
Algeria,Delphi,3.0
Algeria,Go,1.0
Algeria,Groovy,1.0
Algeria,HTML/CSS,24.0
Algeria,Java,18.0
Algeria,JavaScript,27.0
Algeria,Kotlin,2.0
Algeria,Matlab,7.0
Algeria,Node.js,12.0
Algeria,PHP,19.0
Algeria,PowerShell,5.0
Algeria,Python,19.0
Algeria,SQL,22.0
Algeria,TypeScript,10.0
Algeria,VBA,1.0
Andorra,APL,1.0
Andorra,Assembly,2.0
Andorra,Bash/Shell,3.0
Andorra,C,6.0
Andorra,C#,4.0
Andorra,C++,6.0
Andorra,Dart,1.0
Andorra,Go,2.0
Andorra,HTML/CSS,5.0
Andorra,Java,5.0
