,Country,Monthly_Sal_EUR,EdLevel
1946,Albania,9994.166666666666,Master's degree
2324,Albania,19988.333333333332,Master's degree
3771,Albania,199.88333333333333,Master's degree
6688,Albania,499.7083333333333,Master's degree
9230,Albania,6496.208333333333,college/university without bachelor's degree
10257,Albania,99.94166666666666,Bachelor's degree
11496,Albania,5996.5,Bachelor's degree
12208,Albania,16990.083333333332,Master's degree
13322,Albania,9594.4,Bachelor's degree
15295,Albania,6995.916666666666,Master's degree
15910,Albania,7995.333333333333,Bachelor's degree
18193,Albania,12492.708333333332,Master's degree
18766,Albania,6995.916666666666,Bachelor's degree
24955,Albania,8994.75,Master's degree
25440,Albania,3997.6666666666665,Bachelor's degree
27476,Albania,8714.913333333334,Bachelor's degree
28705,Albania,249.85416666666666,Master's degree
28995,Albania,99.94166666666666,Bachelor's degree
33385,Albania,4997.083333333333,Secondary school
33999,Albania,39.97666666666667,Bachelor's degree
35805,Albania,7995.333333333333,Master's degree
40574,Albania,6995.916666666666,Master's degree
43601,Albania,149.9125,Bachelor's degree
50000,Albania,169.9008333333333,college/university without bachelor's degree
55041,Albania,39.97666666666667,Master's degree
55572,Albania,149.9125,Bachelor's degree
55994,Albania,5996.5,Bachelor's degree
58394,Albania,6496.208333333333,Master's degree
59980,Albania,3497.958333333333,Professional degree
62229,Albania,15990.666666666666,Master's degree
62511,Albania,99.94166666666666,Bachelor's degree
64815,Albania,6496.208333333333,Master's degree
65859,Albania,299.825,Master's degree
69716,Albania,6995.916666666666,Bachelor's degree
69857,Albania,5996.5,Bachelor's degree
70280,Albania,1199.3,Master's degree
73036,Albania,6995.916666666666,Secondary school
76073,Albania,6995.916666666666,Master's degree
76755,Albania,3997.6666666666665,Bachelor's degree
78326,Albania,4497.375,Bachelor's degree
79906,Albania,149.9125,college/university without bachelor's degree
79936,Albania,171.8996666666667,Bachelor's degree
80012,Albania,8495.041666666666,Bachelor's degree
84729,Albania,11593.233333333334,Bachelor's degree
85346,Albania,169.9008333333333,Secondary school
