,Country,Monthly_Sal_EUR,EdLevel
1086,Algeria,105.5384,Master's degree
7669,Algeria,1320.4293,Master's degree
8280,Algeria,809.5274999999999,Master's degree
10798,Algeria,756.7583,Master's degree
21688,Algeria,735.1709000000001,Bachelor's degree
25906,Algeria,1050.5868,Doctoral degree
31393,Algeria,525.2934,Master's degree
37622,Algeria,945.7479916666666,college/university without bachelor's degree
40257,Algeria,599.65,Bachelor's degree
44457,Algeria,440.1431,No formal education
47888,Algeria,337.00329999999997,Associate degree
48795,Algeria,1575.8801999999998,college/university without bachelor's degree
57298,Algeria,525.3933416666666,Master's degree
57566,Algeria,472.52419999999995,Master's degree
59225,Algeria,3997.6666666666665,Bachelor's degree
64063,Algeria,719.58,Master's degree
72957,Algeria,1798.95,Master's degree
79496,Algeria,29.9825,Bachelor's degree
80158,Algeria,3153.159583333333,Master's degree
82170,Algeria,17.9895,college/university without bachelor's degree
83070,Algeria,220.6712,college/university without bachelor's degree
83889,Algeria,4403.8296,Doctoral degree
86577,Algeria,146.31459999999998,Master's degree
