,Country,Monthly_Sal_EUR,YearsCodePro
1536,Algeria,8994.75,6
4373,Algeria,6496.208333333333,2
6506,Algeria,8495.041666666666,4
13760,Algeria,0.09994166666666666,1
18638,Algeria,4997.083333333333,1
21487,Algeria,2998.25,4
22862,Algeria,799.5333333333333,18
23411,Algeria,5496.791666666666,1
25476,Algeria,1199.3,17
26264,Algeria,4497.375,6
26314,Algeria,19988.333333333332,3
26600,Algeria,3497.958333333333,3
27703,Algeria,9494.458333333332,3
34762,Algeria,2398.6,1
36110,Algeria,6995.916666666666,7
37711,Algeria,11993.0,1
39823,Algeria,2998.25,2
39909,Algeria,3997.6666666666665,1
45987,Algeria,4497.375,5
46884,Algeria,5996.5,5
47378,Algeria,5996.5,2
51747,Algeria,9994.166666666666,9
57613,Algeria,5496.791666666666,4
57739,Algeria,9994.166666666666,3
57886,Algeria,3997.6666666666665,2
63818,Algeria,109.93583333333333,1
63960,Algeria,3497.958333333333,3
65874,Algeria,399.76666666666665,6
68151,Algeria,3786.78975,7
70496,Algeria,5996.5,4
71686,Algeria,9994.166666666666,6
72518,Algeria,149.9125,10
72712,Algeria,17989.5,15
74543,Algeria,59.965,7
77037,Algeria,3997.6666666666665,13
78264,Algeria,4997.083333333333,4
83189,Algeria,11993.0,4
