,Country,Monthly_Sal_EUR,EdLevel
318,Argentina,2287.0651,Professional degree
360,Argentina,6349.194141666667,Bachelor's degree
993,Argentina,1270.0587,Secondary school
1415,Argentina,1219.6880999999998,Secondary school
1743,Argentina,2541.3167,Secondary school
2558,Argentina,1175.3139999999999,Associate degree
2578,Argentina,1142.9329,Bachelor's degree
3145,Argentina,3335.0534166666666,Associate degree
3483,Argentina,2348.6291666666666,college/university without bachelor's degree
3531,Argentina,7675.52,Bachelor's degree
3614,Argentina,3837.76,Bachelor's degree
3740,Argentina,2668.4425,college/university without bachelor's degree
4951,Argentina,6352.6921,college/university without bachelor's degree
5047,Argentina,1778.5619,Bachelor's degree
5655,Argentina,2032.8135000000002,Professional degree
5689,Argentina,3811.3754,Bachelor's degree
6245,Argentina,1028.9994,Associate degree
7378,Argentina,3811.3754,college/university without bachelor's degree
7457,Argentina,3358.04,college/university without bachelor's degree
7526,Argentina,2998.25,college/university without bachelor's degree
7556,Argentina,1778.5619,Bachelor's degree
7718,Argentina,2498.5416666666665,Bachelor's degree
8063,Argentina,4797.2,Master's degree
8576,Argentina,3837.76,Bachelor's degree
8635,Argentina,1238.8769,Bachelor's degree
8792,Argentina,2998.25,Master's degree
8821,Argentina,2795.5683,college/university without bachelor's degree
10619,Argentina,2998.25,Bachelor's degree
10991,Argentina,1067.377,Professional degree
11167,Argentina,1079.37,college/university without bachelor's degree
11309,Argentina,5081.4341,Bachelor's degree
11494,Argentina,5396.85,college/university without bachelor's degree
12027,Argentina,1142.9329,Secondary school
12129,Argentina,6283.632408333333,Bachelor's degree
12260,Argentina,6352.6921,Master's degree
12868,Argentina,2541.3167,Bachelor's degree
13012,Argentina,3497.958333333333,college/university without bachelor's degree
13036,Argentina,1270.0587,Professional degree
13422,Argentina,959.44,Secondary school
13510,Argentina,1798.95,Bachelor's degree
13954,Argentina,2350.6279999999997,Bachelor's degree
14336,Argentina,2398.6,Associate degree
14773,Argentina,599.65,college/university without bachelor's degree
14921,Argentina,5496.791666666666,college/university without bachelor's degree
15191,Argentina,1905.6877,college/university without bachelor's degree
15391,Argentina,3747.8125,Secondary school
15817,Argentina,599.65,college/university without bachelor's degree
16181,Argentina,3238.1099999999997,Associate degree
16597,Argentina,1679.02,Bachelor's degree
16822,Argentina,1651.4361,Bachelor's degree
17273,Argentina,1798.95,college/university without bachelor's degree
17294,Argentina,2032.8135000000002,college/university without bachelor's degree
17335,Argentina,2158.74,Bachelor's degree
17431,Argentina,1270.0587,college/university without bachelor's degree
17654,Argentina,5996.5,Master's degree
17683,Argentina,2638.46,Bachelor's degree
17861,Argentina,2998.25,college/university without bachelor's degree
18297,Argentina,3811.3754,Bachelor's degree
18512,Argentina,3239.3093,college/university without bachelor's degree
18633,Argentina,2922.6940999999997,Bachelor's degree
18679,Argentina,1015.8071,Secondary school
18789,Argentina,1918.88,college/university without bachelor's degree
18822,Argentina,1619.0549999999998,Master's degree
18841,Argentina,1397.1844999999998,Secondary school
19051,Argentina,889.8806,Associate degree
19126,Argentina,2223.5022,Bachelor's degree
19545,Argentina,1905.6877,Professional degree
19817,Argentina,1397.1844999999998,Bachelor's degree
20050,Argentina,3358.04,Master's degree
20252,Argentina,2398.6,Bachelor's degree
21050,Argentina,1714.999,college/university without bachelor's degree
21433,Argentina,1778.5619,Professional degree
21443,Argentina,4221.536,Bachelor's degree
21611,Argentina,4797.2,Bachelor's degree
22269,Argentina,2032.8135000000002,Bachelor's degree
22483,Argentina,1905.6877,college/university without bachelor's degree
23217,Argentina,2398.6,college/university without bachelor's degree
23408,Argentina,1778.5619,Bachelor's degree
23480,Argentina,1905.6877,Bachelor's degree
23667,Argentina,7195.8,college/university without bachelor's degree
23729,Argentina,3208.1274999999996,Professional degree
23748,Argentina,406.5627,college/university without bachelor's degree
24024,Argentina,3175.7464,Master's degree
24675,Argentina,7470.639583333334,Master's degree
24678,Argentina,3175.7464,college/university without bachelor's degree
24928,Argentina,3811.3754,Master's degree
25619,Argentina,635.6289999999999,college/university without bachelor's degree
25750,Argentina,3957.6899999999996,Master's degree
26431,Argentina,2287.0651,Bachelor's degree
26739,Argentina,2096.3764,Associate degree
27108,Argentina,953.4435,college/university without bachelor's degree
27329,Argentina,1905.6877,Bachelor's degree
27699,Argentina,1587.8732,college/university without bachelor's degree
27724,Argentina,4235.028125,Professional degree
27986,Argentina,4197.549999999999,Professional degree
28654,Argentina,5396.85,Bachelor's degree
28717,Argentina,1483.5341,Bachelor's degree
29421,Argentina,762.7547999999999,Secondary school
29643,Argentina,3048.6206,college/university without bachelor's degree
30495,Argentina,3175.7464,Primary/elementary school
30555,Argentina,1302.4398,Secondary school
30599,Argentina,6396.266666666666,college/university without bachelor's degree
31010,Argentina,3597.9,college/university without bachelor's degree
31504,Argentina,1626.2508,college/university without bachelor's degree
31539,Argentina,1778.5619,college/university without bachelor's degree
31935,Argentina,2398.6,college/university without bachelor's degree
32899,Argentina,2541.3167,Professional degree
33226,Argentina,2223.5022,Professional degree
33734,Argentina,1397.1844999999998,Bachelor's degree
33795,Argentina,1905.6877,college/university without bachelor's degree
33864,Argentina,3997.6666666666665,college/university without bachelor's degree
34453,Argentina,3557.1238,Bachelor's degree
34890,Argentina,1816.9395,Bachelor's degree
34994,Argentina,2604.8796,college/university without bachelor's degree
35239,Argentina,826.3177000000001,Secondary school
35401,Argentina,2159.9393,Secondary school
35522,Argentina,6995.916666666666,college/university without bachelor's degree
35737,Argentina,1270.0587,Secondary school
35792,Argentina,8329.338383333332,Bachelor's degree
36234,Argentina,2668.4425,Bachelor's degree
36378,Argentina,1714.999,Professional degree
36420,Argentina,953.4435,college/university without bachelor's degree
36688,Argentina,635.6289999999999,Primary/elementary school
36741,Argentina,239.86,Bachelor's degree
36911,Argentina,1199.3,college/university without bachelor's degree
37031,Argentina,4696.4588,Bachelor's degree
37085,Argentina,3.5979,Bachelor's degree
37135,Argentina,3597.9,No formal education
37203,Argentina,1918.88,Bachelor's degree
37498,Argentina,2032.8135000000002,Bachelor's degree
37546,Argentina,1842.1248,Secondary school
37714,Argentina,953.4435,Bachelor's degree
37992,Argentina,3493.5608999999995,Bachelor's degree
39089,Argentina,508.5032,Secondary school
40113,Argentina,2798.366666666667,Bachelor's degree
40166,Argentina,4954.90795,Bachelor's degree
41175,Argentina,2638.46,Bachelor's degree
41310,Argentina,4197.549999999999,college/university without bachelor's degree
41685,Argentina,5796.616666666667,Bachelor's degree
42135,Argentina,5756.64,college/university without bachelor's degree
42370,Argentina,1019.405,Primary/elementary school
42447,Argentina,3175.7464,college/university without bachelor's degree
43127,Argentina,1099.3583333333333,college/university without bachelor's degree
43167,Argentina,2541.016875,Master's degree
43937,Argentina,3524.7427,Master's degree
43995,Argentina,2732.0054,college/university without bachelor's degree
44056,Argentina,1883.9004166666666,Bachelor's degree
44523,Argentina,1399.5831,college/university without bachelor's degree
45155,Argentina,5996.5,college/university without bachelor's degree
45292,Argentina,4473.189116666666,college/university without bachelor's degree
45686,Argentina,4129.189899999999,Master's degree
47546,Argentina,3811.3754,college/university without bachelor's degree
48074,Argentina,2451.3692,college/university without bachelor's degree
48088,Argentina,2946.979925,Doctoral degree
48364,Argentina,3358.04,college/university without bachelor's degree
48673,Argentina,3175.7464,Bachelor's degree
48703,Argentina,2482.551,college/university without bachelor's degree
49084,Argentina,3652.6680333333334,Bachelor's degree
49634,Argentina,2859.1312,college/university without bachelor's degree
49906,Argentina,1206.4958,college/university without bachelor's degree
49985,Argentina,807.1288999999999,college/university without bachelor's degree
51067,Argentina,1334.0213666666666,college/university without bachelor's degree
52669,Argentina,1015.8071,college/university without bachelor's degree
53319,Argentina,1079.37,college/university without bachelor's degree
53323,Argentina,5996.5,college/university without bachelor's degree
53837,Argentina,1978.8449999999998,Bachelor's degree
53850,Argentina,4574.1302,college/university without bachelor's degree
54085,Argentina,2223.5022,college/university without bachelor's degree
54200,Argentina,2732.0054,Master's degree
54301,Argentina,3366.4350999999997,college/university without bachelor's degree
54716,Argentina,1199.3,Bachelor's degree
54860,Argentina,4997.4830999999995,college/university without bachelor's degree
55320,Argentina,3118.1800000000003,college/university without bachelor's degree
56760,Argentina,2223.5022,Professional degree
56901,Argentina,719.58,Secondary school
56983,Argentina,3705.6371166666668,Bachelor's degree
57062,Argentina,1439.16,college/university without bachelor's degree
57393,Argentina,2287.0651,college/university without bachelor's degree
57434,Argentina,2223.5022,Secondary school
57570,Argentina,2278.67,Bachelor's degree
57573,Argentina,4797.2,Bachelor's degree
58216,Argentina,1924.8764999999999,Bachelor's degree
59086,Argentina,1206.4958,college/university without bachelor's degree
59315,Argentina,3118.1800000000003,college/university without bachelor's degree
59491,Argentina,3997.6666666666665,Master's degree
60410,Argentina,3118.1800000000003,college/university without bachelor's degree
60447,Argentina,2890.4129416666665,college/university without bachelor's degree
60485,Argentina,4447.0044,Bachelor's degree
60507,Argentina,3811.3754,Master's degree
60938,Argentina,1142.9329,college/university without bachelor's degree
61064,Argentina,2223.5022,college/university without bachelor's degree
61303,Argentina,381.37739999999997,Secondary school
61596,Argentina,1264.0621999999998,college/university without bachelor's degree
61906,Argentina,1559.0900000000001,college/university without bachelor's degree
62423,Argentina,94.7447,Bachelor's degree
62495,Argentina,2477.7538,college/university without bachelor's degree
62505,Argentina,6988.321099999999,Bachelor's degree
63007,Argentina,2998.25,Master's degree
63120,Argentina,2096.3764,college/university without bachelor's degree
63155,Argentina,3811.3754,Primary/elementary school
63380,Argentina,4256.3157,college/university without bachelor's degree
63649,Argentina,1270.0587,college/university without bachelor's degree
63698,Argentina,1714.999,Bachelor's degree
63790,Argentina,1905.6877,Professional degree
64522,Argentina,3315.0650833333334,college/university without bachelor's degree
64880,Argentina,3962.4872,Master's degree
66109,Argentina,1559.0900000000001,college/university without bachelor's degree
66438,Argentina,2398.6,Bachelor's degree
66448,Argentina,1858.915,college/university without bachelor's degree
67336,Argentina,1429.5656,college/university without bachelor's degree
67475,Argentina,4557.34,college/university without bachelor's degree
67598,Argentina,1199.3,Associate degree
67791,Argentina,2998.25,Bachelor's degree
67862,Argentina,2518.5299999999997,Professional degree
68029,Argentina,5996.5,Bachelor's degree
68552,Argentina,889.3808916666667,college/university without bachelor's degree
69308,Argentina,2287.0651,Secondary school
70058,Argentina,4797.2,Bachelor's degree
70075,Argentina,2223.5022,college/university without bachelor's degree
70286,Argentina,999.4166666666666,college/university without bachelor's degree
71004,Argentina,3175.7464,Secondary school
71323,Argentina,2541.3167,Professional degree
71384,Argentina,508.5032,college/university without bachelor's degree
71948,Argentina,3493.5608999999995,college/university without bachelor's degree
72051,Argentina,1270.0587,Bachelor's degree
72090,Argentina,2518.5299999999997,college/university without bachelor's degree
72186,Argentina,3175.7464,Professional degree
72196,Argentina,3178.1449999999995,Secondary school
72229,Argentina,2398.6,college/university without bachelor's degree
72238,Argentina,4797.2,Bachelor's degree
72273,Argentina,11993.0,college/university without bachelor's degree
72310,Argentina,1270.0587,Associate degree
72417,Argentina,8994.75,Master's degree
72622,Argentina,2398.6,Professional degree
72940,Argentina,190.68869999999998,Bachelor's degree
72954,Argentina,3811.3754,Master's degree
73029,Argentina,9994.166666666666,Bachelor's degree
73149,Argentina,8994.75,college/university without bachelor's degree
73233,Argentina,3811.3754,Bachelor's degree
74047,Argentina,1015.8071,college/university without bachelor's degree
74062,Argentina,1079.37,college/university without bachelor's degree
74219,Argentina,2998.25,Professional degree
74432,Argentina,13.1923,Primary/elementary school
74917,Argentina,5996.5,college/university without bachelor's degree
75297,Argentina,2032.8135000000002,Professional degree
