,Country,Monthly_Sal_EUR,YearsCodePro
289,Argentina,7495.625,1
1201,Argentina,9994.166666666666,14
1326,Argentina,7195.8,15
2100,Argentina,359.79,9
3140,Argentina,499.7083333333333,6
3887,Argentina,15990.666666666666,4
4363,Argentina,5196.966666666666,4
5149,Argentina,429.7491666666666,23
5588,Argentina,219.87166666666667,2
5629,Argentina,549.6791666666667,15
5716,Argentina,9994.166666666666,1
5809,Argentina,15990.666666666666,6
6103,Argentina,7195.8,7
6135,Argentina,149.9125,4
7517,Argentina,999.4166666666666,15
7726,Argentina,5996.5,2
8334,Argentina,14991.25,13
8519,Argentina,67.96033333333332,11
8564,Argentina,1343.216,8
8743,Argentina,299.825,1
10009,Argentina,5996.5,7
10420,Argentina,14991.25,1
10539,Argentina,2498.5416666666665,1
10712,Argentina,3198.133333333333,1
10934,Argentina,12992.416666666666,4
12394,Argentina,119.93,2
16089,Argentina,9994.166666666666,14
16402,Argentina,44.97375,16
16520,Argentina,499.7083333333333,22
17926,Argentina,4197.549999999999,2
17975,Argentina,12992.416666666666,4
18013,Argentina,6895.974999999999,7
18483,Argentina,8195.216666666667,1
18780,Argentina,9994.166666666666,13
18786,Argentina,11993.0,25
18893,Argentina,3597.9,12
18977,Argentina,1349.2125,4
19105,Argentina,11993.0,5
19265,Argentina,499.7083333333333,15
19453,Argentina,9994.166666666666,2
19477,Argentina,12492.708333333332,30
19607,Argentina,6995.916666666666,2
19742,Argentina,309.81916666666666,2
19841,Argentina,319.81333333333333,6
20028,Argentina,8495.041666666666,2
20073,Argentina,629.6324999999999,22
20081,Argentina,7995.333333333333,16
20099,Argentina,14491.541666666666,3
20318,Argentina,2498.5416666666665,4
20567,Argentina,389.77250000000004,8
20821,Argentina,19988.333333333332,32
20981,Argentina,419.755,5
21167,Argentina,8994.75,2
21232,Argentina,14991.25,12
21336,Argentina,15990.666666666666,32
21391,Argentina,14991.25,1
21405,Argentina,9994.166666666666,14
21412,Argentina,3997.6666666666665,2
21435,Argentina,399.76666666666665,8
21496,Argentina,17989.5,10
21592,Argentina,10493.875,4
21599,Argentina,3997.6666666666665,1
21953,Argentina,5996.5,6
22193,Argentina,6995.916666666666,1
22259,Argentina,179.895,13
24458,Argentina,3997.6666666666665,3
25365,Argentina,11993.0,4
25509,Argentina,219.87166666666667,7
25762,Argentina,3797.7833333333333,1
25775,Argentina,5196.966666666666,1
26016,Argentina,229.8658333333333,16
26745,Argentina,14991.25,7
27116,Argentina,19988.333333333332,3
27565,Argentina,19988.333333333332,10
27612,Argentina,6995.916666666666,17
27639,Argentina,699.5916666666667,10
27817,Argentina,14991.25,7
27822,Argentina,14991.25,5
27924,Argentina,9994.166666666666,20
27951,Argentina,14991.25,20
28000,Argentina,299.825,7
28059,Argentina,17989.5,15
28066,Argentina,249.85416666666666,15
28103,Argentina,3997.6666666666665,5
28162,Argentina,599.65,17
28215,Argentina,17738.646416666666,4
28234,Argentina,19988.333333333332,10
28275,Argentina,11993.0,15
28286,Argentina,12492.708333333332,5
28301,Argentina,10993.583333333332,4
28359,Argentina,19988.333333333332,10
28386,Argentina,8994.75,1
28553,Argentina,599.65,12
28638,Argentina,6995.916666666666,19
28731,Argentina,10993.583333333332,22
28825,Argentina,15990.666666666666,6
28842,Argentina,12392.766666666666,15
28845,Argentina,6995.916666666666,4
29083,Argentina,18988.916666666664,4
29164,Argentina,89.9475,2
29204,Argentina,14991.25,23
29249,Argentina,1699.0083333333334,3
29339,Argentina,17989.5,5
29359,Argentina,391.77133333333336,4
29366,Argentina,399.76666666666665,8
29478,Argentina,13991.833333333332,14
29538,Argentina,12492.708333333332,8
29604,Argentina,119.93,2
29727,Argentina,19988.333333333332,30
29952,Argentina,39.97666666666667,2
30456,Argentina,8894.808333333332,11
30467,Argentina,8594.983333333334,2
30529,Argentina,19988.333333333332,7
30580,Argentina,6196.383333333333,1
30602,Argentina,8994.75,3
30695,Argentina,5996.5,8
30749,Argentina,19988.333333333332,10
30923,Argentina,12492.708333333332,5
31153,Argentina,1374.1979166666665,7
32082,Argentina,19988.333333333332,9
33585,Argentina,6496.208333333333,7
33695,Argentina,7995.333333333333,20
33710,Argentina,399.76666666666665,7
33766,Argentina,7195.8,8
33949,Argentina,10493.875,4
34314,Argentina,91.94633333333333,2
34644,Argentina,7595.566666666667,5
34770,Argentina,7195.8,7
34778,Argentina,2498.5416666666665,1
34815,Argentina,16190.55,12
34895,Argentina,199.88333333333333,12
35109,Argentina,189.88916666666665,2
35125,Argentina,14991.25,6
35267,Argentina,9594.4,1
35336,Argentina,349.79583333333335,3
35458,Argentina,649.6208333333333,20
35490,Argentina,3637.876666666667,5
35522,Argentina,299.825,3
35721,Argentina,7695.508333333333,2
35869,Argentina,639.6266666666667,18
35906,Argentina,9994.166666666666,17
35908,Argentina,349.79583333333335,21
36010,Argentina,17989.5,25
36051,Argentina,199.88333333333333,2
36059,Argentina,17989.5,19
36074,Argentina,17489.791666666664,3
36224,Argentina,84.95041666666665,5
36252,Argentina,999.4166666666666,10
36284,Argentina,579.6616666666666,4
36438,Argentina,599.65,6
36471,Argentina,9994.166666666666,3
36884,Argentina,15990.666666666666,3
37759,Argentina,159.90666666666667,6
37855,Argentina,249.85416666666666,8
37860,Argentina,7995.333333333333,35
38025,Argentina,499.7083333333333,12
38035,Argentina,449.7375,18
38214,Argentina,499.7083333333333,20
38225,Argentina,7995.333333333333,2
38238,Argentina,1998.8333333333333,1
38497,Argentina,5996.5,25
38862,Argentina,3797.7833333333333,2
39050,Argentina,469.7258333333333,17
39087,Argentina,12992.416666666666,9
39127,Argentina,899.475,2
39131,Argentina,89.9475,1
41058,Argentina,13991.833333333332,14
41067,Argentina,999.4166666666666,1
41339,Argentina,299.825,2
41419,Argentina,19988.333333333332,8
43209,Argentina,209.8775,23
43267,Argentina,2898.3083333333334,1
43312,Argentina,4997.083333333333,1
43383,Argentina,4317.48,6
43451,Argentina,9494.458333333332,2
43504,Argentina,13991.833333333332,3
43679,Argentina,13991.833333333332,3
43794,Argentina,3507.9525,28
43868,Argentina,19988.333333333332,4
44105,Argentina,649.6208333333333,7
44110,Argentina,5996.5,6
44299,Argentina,199.88333333333333,6
46082,Argentina,5996.5,6
46201,Argentina,499.7083333333333,15
46547,Argentina,15990.666666666666,24
47243,Argentina,269.8425,3
47292,Argentina,6696.091666666667,8
47323,Argentina,3497.958333333333,1
47334,Argentina,5496.791666666666,1
