,Country,Monthly_Sal_EUR,EdLevel
2990,Armenia,1242.4748,Bachelor's degree
6790,Armenia,1740.1843000000001,Master's degree
8170,Armenia,2758.39,Bachelor's degree
10788,Armenia,2398.6,Bachelor's degree
12667,Armenia,5396.85,Doctoral degree
19375,Armenia,959.44,Master's degree
20211,Armenia,1093.7615999999998,Bachelor's degree
24415,Armenia,3597.9,Bachelor's degree
31268,Armenia,4972.2978,Master's degree
32154,Armenia,2361.4217,Master's degree
33816,Armenia,719.58,Master's degree
37991,Armenia,1988.4394000000002,Master's degree
38112,Armenia,2398.6,Primary/elementary school
40237,Armenia,372.9823,Bachelor's degree
40991,Armenia,994.2197000000001,Bachelor's degree
41425,Armenia,3837.76,Master's degree
41693,Armenia,959.44,Bachelor's degree
47167,Armenia,695.594,college/university without bachelor's degree
47287,Armenia,1864.9115000000002,Master's degree
49749,Armenia,621.2374,college/university without bachelor's degree
52344,Armenia,1439.16,Master's degree
52548,Armenia,1199.3,Secondary school
55405,Armenia,7767.066566666666,Master's degree
57725,Armenia,2361.4217,Bachelor's degree
60595,Armenia,1491.9292,Bachelor's degree
64524,Armenia,695.594,Bachelor's degree
66006,Armenia,6476.219999999999,Bachelor's degree
66267,Armenia,845.5065,Bachelor's degree
66968,Armenia,145.01535833333332,Master's degree
68444,Armenia,2361.4217,Master's degree
74717,Armenia,1798.95,Master's degree
78536,Armenia,8285.164166666666,Bachelor's degree
80322,Armenia,2398.6,Doctoral degree
81046,Armenia,4377.445,Secondary school
87105,Armenia,4197.549999999999,Master's degree
87239,Armenia,499.7083333333333,Associate degree
