,Country,Monthly_Sal_EUR,EdLevel
617,Australia,6006.641414141417,Bachelor's degree
931,Australia,17438.636363636317,Bachelor's degree
1471,Australia,5812.878787878793,Master's degree
1770,Australia,10656.94444444444,Master's degree
1793,Australia,11141.351010101005,Bachelor's degree
1944,Australia,7459.861111111107,Bachelor's degree
1996,Australia,8719.318181818184,Secondary school
2043,Australia,8525.555555555558,Bachelor's degree
2055,Australia,9203.724747474751,Bachelor's degree
2102,Australia,10656.94444444444,Bachelor's degree
2183,Australia,5328.472222222226,college/university without bachelor's degree
2206,Australia,12110.164141414141,Bachelor's degree
2213,Australia,3681.4898989899,Secondary school
2258,Australia,6733.251262626269,Bachelor's degree
2319,Australia,5328.472222222226,college/university without bachelor's degree
2336,Australia,13244.644318181841,Bachelor's degree
2366,Australia,7750.505050505049,Bachelor's degree
2390,Australia,5328.472222222226,Bachelor's degree
2437,Australia,14791.354482323259,Bachelor's degree
2450,Australia,10656.94444444444,Bachelor's degree
2546,Australia,5812.878787878793,I prefer not to answer
2709,Australia,6539.488636363632,Bachelor's degree
2715,Australia,13563.38383838383,Secondary school
2746,Australia,10656.94444444444,Master's degree
2793,Australia,10375.988636363632,Primary/elementary school
2805,Australia,8719.318181818184,college/university without bachelor's degree
2855,Australia,7750.505050505049,Bachelor's degree
2858,Australia,9203.724747474751,Bachelor's degree
2869,Australia,8719.318181818184,Bachelor's degree
2915,Australia,10269.41919191919,Master's degree
2946,Australia,11625.757575757572,Bachelor's degree
3025,Australia,9688.131313131318,college/university without bachelor's degree
3082,Australia,12594.570707070709,Master's degree
3089,Australia,9688.131313131318,Bachelor's degree
3179,Australia,6587.929292929291,Bachelor's degree
3700,Australia,7266.098484848482,Secondary school
3898,Australia,2906.4393939393904,Bachelor's degree
4065,Australia,5134.709595959603,college/university without bachelor's degree
4187,Australia,10560.063131313134,Bachelor's degree
4611,Australia,11625.757575757572,Master's degree
5301,Australia,14338.434343434326,Bachelor's degree
6935,Australia,4747.18434343434,Secondary school
6950,Australia,12594.570707070709,Master's degree
6981,Australia,8719.318181818184,Secondary school
6987,Australia,7750.505050505049,Bachelor's degree
7100,Australia,8428.67424242424,Master's degree
7102,Australia,8573.996212121205,Master's degree
7195,Australia,7266.098484848482,Bachelor's degree
7200,Australia,7266.098484848482,Bachelor's degree
7458,Australia,8331.792929292935,college/university without bachelor's degree
8150,Australia,9300.606060606056,Master's degree
8154,Australia,0.09688131313131318,Bachelor's degree
8282,Australia,10172.537878787873,Doctoral degree
8432,Australia,11625.757575757572,Bachelor's degree
8482,Australia,4650.303030303034,Bachelor's degree
8777,Australia,8331.792929292935,Bachelor's degree
8870,Australia,11625.757575757572,Doctoral degree
8923,Australia,11528.876262626269,college/university without bachelor's degree
8927,Australia,7847.386363636368,Bachelor's degree
8968,Australia,7207.969696969701,Bachelor's degree
8994,Australia,11819.520202020198,Bachelor's degree
9015,Australia,7266.098484848482,Bachelor's degree
9122,Australia,11625.757575757572,Bachelor's degree
9412,Australia,6878.573232323233,Bachelor's degree
9629,Australia,14532.196969697014,Bachelor's degree
10110,Australia,11625.757575757572,Bachelor's degree
10157,Australia,6297.285353535347,Master's degree
10174,Australia,13563.38383838383,Master's degree
10231,Australia,9688.131313131318,Master's degree
10288,Australia,9688.131313131318,Bachelor's degree
10321,Australia,8331.792929292935,Bachelor's degree
10322,Australia,9300.606060606056,college/university without bachelor's degree
10326,Australia,8719.318181818184,Bachelor's degree
10368,Australia,11238.232323232325,Bachelor's degree
10510,Australia,12594.570707070709,Master's degree
11345,Australia,9688.131313131318,Bachelor's degree
11361,Australia,7169.217171717177,Bachelor's degree
11382,Australia,13563.38383838383,Master's degree
11429,Australia,7750.505050505049,Bachelor's degree
11606,Australia,9785.012626262624,Bachelor's degree
11694,Australia,13563.38383838383,Bachelor's degree
11829,Australia,9203.724747474751,Master's degree
11847,Australia,13.56338383838383,Bachelor's degree
11892,Australia,10463.181818181814,Master's degree
11963,Australia,7072.335858585857,Bachelor's degree
12051,Australia,10172.537878787873,Bachelor's degree
13322,Australia,5328.472222222226,Bachelor's degree
13324,Australia,3487.727272727276,Secondary school
13328,Australia,5812.878787878793,Bachelor's degree
13365,Australia,9009.962121212126,Bachelor's degree
13390,Australia,13563.38383838383,college/university without bachelor's degree
13396,Australia,14532.196969697014,Master's degree
13411,Australia,6248.844696969701,Bachelor's degree
13435,Australia,8234.911616161617,Bachelor's degree
13905,Australia,7750.505050505049,Bachelor's degree
14751,Australia,12110.164141414141,Bachelor's degree
14966,Australia,9106.843434343431,Master's degree
14968,Australia,14532.196969697014,Bachelor's degree
15025,Australia,8428.67424242424,Master's degree
15046,Australia,3681.4898989899,college/university without bachelor's degree
15049,Australia,10172.537878787873,college/university without bachelor's degree
15099,Australia,11141.351010101005,Bachelor's degree
15111,Australia,6297.285353535347,Bachelor's degree
15208,Australia,8796.823232323233,Bachelor's degree
15388,Australia,4359.659090909092,Bachelor's degree
16516,Australia,8864.640151515148,Secondary school
16524,Australia,15501.010101010072,Bachelor's degree
16625,Australia,4848.425315656566,Bachelor's degree
16716,Australia,9688.131313131318,Master's degree
17074,Australia,9397.487373737375,Bachelor's degree
17570,Australia,11141.351010101005,Master's degree
17953,Australia,10656.94444444444,college/university without bachelor's degree
18166,Australia,8234.911616161617,Professional degree
18261,Australia,12594.570707070709,Bachelor's degree
19642,Australia,9688.131313131318,Bachelor's degree
19664,Australia,2325.151515151517,Bachelor's degree
19666,Australia,6297.285353535347,Bachelor's degree
19674,Australia,11625.757575757572,college/university without bachelor's degree
19770,Australia,6781.691919191915,Bachelor's degree
19779,Australia,7653.623737373729,Bachelor's degree
20122,Australia,8719.318181818184,college/university without bachelor's degree
20308,Australia,8719.318181818184,Secondary school
21599,Australia,12982.09595959602,college/university without bachelor's degree
21673,Australia,6781.691919191915,Bachelor's degree
21716,Australia,8234.911616161617,Bachelor's degree
23479,Australia,9978.775252525247,Bachelor's degree
23552,Australia,10656.94444444444,Bachelor's degree
24948,Australia,6781.691919191915,Bachelor's degree
25989,Australia,6491.047979797986,Bachelor's degree
26270,Australia,7992.708333333333,college/university without bachelor's degree
26460,Australia,7750.505050505049,Master's degree
26538,Australia,5619.116161616156,Bachelor's degree
26676,Australia,3875.2525252525247,college/university without bachelor's degree
26687,Australia,8719.318181818184,Bachelor's degree
26918,Australia,14532.196969697014,college/university without bachelor's degree
27604,Australia,13563.38383838383,Master's degree
28164,Australia,10172.537878787873,Bachelor's degree
28166,Australia,3875.2525252525247,Master's degree
28181,Australia,8428.67424242424,Bachelor's degree
28312,Australia,12594.570707070709,college/university without bachelor's degree
28443,Australia,7266.098484848482,Bachelor's degree
28452,Australia,8234.911616161617,college/university without bachelor's degree
28881,Australia,15501.010101010072,Bachelor's degree
29911,Australia,4844.065656565659,Master's degree
30009,Australia,7750.505050505049,Bachelor's degree
30025,Australia,13078.977272727238,college/university without bachelor's degree
30105,Australia,9203.724747474751,Bachelor's degree
30208,Australia,5328.472222222226,Bachelor's degree
30497,Australia,9688.131313131318,Bachelor's degree
31621,Australia,6006.641414141417,Bachelor's degree
31680,Australia,8234.911616161617,Bachelor's degree
31692,Australia,12594.570707070709,Master's degree
31743,Australia,8234.911616161617,Bachelor's degree
31807,Australia,8234.911616161617,Bachelor's degree
31812,Australia,11625.757575757572,college/university without bachelor's degree
31815,Australia,7266.098484848482,college/university without bachelor's degree
31865,Australia,8719.318181818184,Bachelor's degree
32101,Australia,5812.878787878793,Bachelor's degree
33120,Australia,9494.36868686868,Bachelor's degree
33160,Australia,4262.777777777773,Bachelor's degree
33282,Australia,3390.8459595959575,Bachelor's degree
33291,Australia,10366.300505050509,college/university without bachelor's degree
33302,Australia,5812.878787878793,Bachelor's degree
33340,Australia,9106.843434343431,Bachelor's degree
33348,Australia,8428.67424242424,Bachelor's degree
