,Country,Monthly_Sal_EUR,YearsCodePro
16,Australia,8994.75,2
66,Australia,4997.083333333333,2
130,Australia,549.6791666666667,20
151,Australia,11993.0,7
175,Australia,4997.083333333333,2
195,Australia,8594.983333333334,7
252,Australia,17989.5,20
304,Australia,12292.824999999999,29
373,Australia,10393.933333333332,26
393,Australia,699.5916666666667,18
419,Australia,7495.625,1
448,Australia,7995.333333333333,4
618,Australia,5496.791666666666,1
712,Australia,819.5216666666666,8
784,Australia,8994.75,4
799,Australia,12992.416666666666,20
804,Australia,14991.25,19
845,Australia,7995.333333333333,7
851,Australia,7995.333333333333,22
939,Australia,17989.5,13
955,Australia,9494.458333333332,15
1037,Australia,11993.0,12
1095,Australia,7395.6833333333325,11
1133,Australia,11993.0,2
1311,Australia,15990.666666666666,13
1467,Australia,9494.458333333332,9
1637,Australia,12492.708333333332,12
1705,Australia,17989.5,22
1720,Australia,6596.15,2
1730,Australia,8994.75,7
1779,Australia,8495.041666666666,12
1834,Australia,359.79,15
1891,Australia,8994.75,1
2199,Australia,13991.833333333332,18
2204,Australia,11993.0,32
2215,Australia,14991.25,20
2251,Australia,4997.083333333333,2
2299,Australia,12392.766666666666,20
2386,Australia,13392.183333333334,22
2492,Australia,6496.208333333333,5
2510,Australia,7995.333333333333,11
2578,Australia,179.895,15
2595,Australia,15990.666666666666,39
2612,Australia,9427.997125,15
2627,Australia,5396.85,8
2713,Australia,16490.375,10
2770,Australia,8694.925,3
2858,Australia,134.92125,4
2863,Australia,499.7083333333333,15
2883,Australia,14991.25,13
2948,Australia,7995.333333333333,2
3019,Australia,15790.783333333333,24
3076,Australia,5996.5,2
3259,Australia,11993.0,10
3283,Australia,15990.666666666666,15
3351,Australia,9994.166666666666,13
3377,Australia,119.93,1
3473,Australia,3997.6666666666665,6
3546,Australia,8594.983333333334,4
3716,Australia,12092.941666666668,12
3810,Australia,6995.916666666666,12
3981,Australia,9994.166666666666,10
4018,Australia,4997.083333333333,2
4063,Australia,15790.783333333333,14
4084,Australia,9994.166666666666,29
4204,Australia,7995.333333333333,2
4325,Australia,8495.041666666666,23
4419,Australia,6496.208333333333,1
4524,Australia,11993.0,6
4544,Australia,309.81916666666666,15
4673,Australia,8095.275,18
4683,Australia,4997.083333333333,1
4693,Australia,7595.566666666667,2
4778,Australia,12392.766666666666,3
4802,Australia,8694.925,3
4858,Australia,15990.666666666666,16
4958,Australia,11493.291666666666,20
5002,Australia,10993.583333333332,6
5052,Australia,9294.575,12
5063,Australia,14991.25,13
5075,Australia,6496.208333333333,8
5114,Australia,9994.166666666666,19
5178,Australia,112.434375,1
5231,Australia,13991.833333333332,25
5379,Australia,12992.416666666666,16
5419,Australia,169.9008333333333,2
5433,Australia,12992.416666666666,12
5528,Australia,8195.216666666667,5
5540,Australia,14791.366666666665,5
5596,Australia,15790.783333333333,20
5686,Australia,8584.989166666666,19
5724,Australia,9994.166666666666,15
5857,Australia,5496.791666666666,4
5875,Australia,79.95333333333333,10
5894,Australia,12992.416666666666,11
