,Country,Monthly_Sal_EUR,EdLevel
91,Austria,4997.083333333333,Bachelor's degree
147,Austria,319.81333333333333,Bachelor's degree
156,Austria,343.3995666666666,Bachelor's degree
165,Austria,279.83666666666664,college/university without bachelor's degree
245,Austria,419.755,Master's degree
264,Austria,139.51856666666666,Secondary school
453,Austria,5396.85,Bachelor's degree
517,Austria,4597.316666666667,Bachelor's degree
1019,Austria,6366.284166666666,Master's degree
1358,Austria,4897.141666666666,Bachelor's degree
1434,Austria,8495.041666666666,Associate degree
1690,Austria,142.51681666666667,Bachelor's degree
1954,Austria,239.86,Bachelor's degree
2025,Austria,4997.083333333333,Bachelor's degree
2313,Austria,6496.208333333333,Master's degree
2326,Austria,7995.333333333333,Bachelor's degree
2470,Austria,299.825,Master's degree
2935,Austria,7995.333333333333,Associate degree
3131,Austria,4997.083333333333,Master's degree
3486,Austria,259.84833333333336,Master's degree
3643,Austria,9994.166666666666,Master's degree
3691,Austria,299.825,college/university without bachelor's degree
3878,Austria,5396.85,Master's degree
3974,Austria,7495.625,Bachelor's degree
4053,Austria,279.83666666666664,college/university without bachelor's degree
4064,Austria,4597.316666666667,Secondary school
4183,Austria,99.94166666666666,Master's degree
4240,Austria,6196.383333333333,Master's degree
4609,Austria,8495.041666666666,Master's degree
4630,Austria,4197.549999999999,Master's degree
5299,Austria,299.825,Bachelor's degree
5339,Austria,5596.733333333334,college/university without bachelor's degree
6057,Austria,399.76666666666665,Bachelor's degree
6236,Austria,279.83666666666664,Master's degree
6628,Austria,4197.549999999999,Doctoral degree
6734,Austria,319.81333333333333,Secondary school
6894,Austria,5596.733333333334,Bachelor's degree
7010,Austria,329.8075,Secondary school
7156,Austria,379.7783333333333,Master's degree
7367,Austria,369.78416666666664,Bachelor's degree
7842,Austria,399.76666666666665,college/university without bachelor's degree
7931,Austria,269.8425,college/university without bachelor's degree
7997,Austria,319.81333333333333,Master's degree
8352,Austria,5396.85,Master's degree
8518,Austria,399.76666666666665,Secondary school
8534,Austria,5097.025,college/university without bachelor's degree
8829,Austria,6995.916666666666,Master's degree
8870,Austria,4197.549999999999,Professional degree
8876,Austria,299.825,Bachelor's degree
9040,Austria,159.90666666666667,Secondary school
9147,Austria,239.86,college/university without bachelor's degree
9398,Austria,6296.325000000001,Master's degree
9653,Austria,229.8658333333333,college/university without bachelor's degree
9678,Austria,5996.5,Master's degree
9984,Austria,192.0878833333333,college/university without bachelor's degree
10047,Austria,249.85416666666666,Bachelor's degree
10150,Austria,49.97083333333333,Bachelor's degree
10162,Austria,6086.447499999999,Secondary school
10170,Austria,6.895975,Associate degree
10358,Austria,4897.141666666666,Master's degree
10777,Austria,51.46995833333333,Bachelor's degree
10804,Austria,199.88333333333333,No formal education
10979,Austria,131.923,Secondary school
11203,Austria,377.7795,Master's degree
11223,Austria,6296.325000000001,Master's degree
12079,Austria,399.76666666666665,Bachelor's degree
12081,Austria,2226.200625,Master's degree
13515,Austria,166.10305,Bachelor's degree
13694,Austria,255.55084166666666,Master's degree
13763,Austria,43.974333333333334,Secondary school
13789,Austria,5996.5,Associate degree
14265,Austria,5396.85,Master's degree
14560,Austria,349.79583333333335,Master's degree
14645,Austria,130.92358333333334,college/university without bachelor's degree
15064,Austria,3078.2033333333334,Master's degree
15243,Austria,4997.083333333333,Master's degree
15371,Austria,344.79875,Master's degree
15378,Austria,379.7783333333333,Master's degree
15489,Austria,9994.166666666666,Primary/elementary school
15682,Austria,449.7375,Doctoral degree
15730,Austria,2998.25,Bachelor's degree
15850,Austria,1299.2416666666666,Master's degree
15974,Austria,97.44312500000001,Secondary school
16010,Austria,8994.75,Bachelor's degree
16145,Austria,5876.57,Master's degree
16253,Austria,299.825,Bachelor's degree
16840,Austria,8994.75,Bachelor's degree
16947,Austria,217.77289166666665,Secondary school
16970,Austria,280.936025,Secondary school
17016,Austria,279.83666666666664,college/university without bachelor's degree
17086,Austria,234.86291666666665,Bachelor's degree
17176,Austria,336.90335833333336,Master's degree
17180,Austria,199.88333333333333,Master's degree
17622,Austria,399.76666666666665,college/university without bachelor's degree
18233,Austria,759.5566666666666,Master's degree
18419,Austria,149.9125,Bachelor's degree
18588,Austria,309.81916666666666,Master's degree
