,Country,Monthly_Sal_EUR,YearsCodePro
91,Austria,4997.083333333333,3
147,Austria,319.81333333333333,15
156,Austria,343.3995666666666,10
165,Austria,279.83666666666664,1
245,Austria,419.755,9
264,Austria,139.51856666666666,1
453,Austria,5396.85,9
517,Austria,4597.316666666667,5
1019,Austria,6366.284166666666,10
1358,Austria,4897.141666666666,6
1434,Austria,8495.041666666666,11
1690,Austria,142.51681666666667,2
1713,Austria,265.8448333333333,2
1954,Austria,239.86,3
2025,Austria,4997.083333333333,7
2313,Austria,6496.208333333333,15
2326,Austria,7995.333333333333,18
2470,Austria,299.825,1
2634,Austria,4267.509166666667,4
2935,Austria,7995.333333333333,3
3131,Austria,4997.083333333333,9
3486,Austria,259.84833333333336,10
3643,Austria,9994.166666666666,8
3691,Austria,299.825,1
3878,Austria,5396.85,20
3974,Austria,7495.625,20
4053,Austria,279.83666666666664,2
4064,Austria,4597.316666666667,10
4183,Austria,99.94166666666666,4
4240,Austria,6196.383333333333,5
4609,Austria,8495.041666666666,14
4630,Austria,4197.549999999999,6
5299,Austria,299.825,13
5339,Austria,5596.733333333334,1
6057,Austria,399.76666666666665,7
6236,Austria,279.83666666666664,4
6628,Austria,4197.549999999999,4
6734,Austria,319.81333333333333,17
6894,Austria,5596.733333333334,10
7010,Austria,329.8075,9
7156,Austria,379.7783333333333,15
7367,Austria,369.78416666666664,10
7842,Austria,399.76666666666665,10
7931,Austria,269.8425,4
7997,Austria,319.81333333333333,8
8352,Austria,5396.85,10
8518,Austria,399.76666666666665,18
8534,Austria,5097.025,18
8829,Austria,6995.916666666666,10
8870,Austria,4197.549999999999,6
8876,Austria,299.825,12
9040,Austria,159.90666666666667,4
9147,Austria,239.86,8
9398,Austria,6296.325000000001,10
9653,Austria,229.8658333333333,3
9678,Austria,5996.5,25
9984,Austria,192.0878833333333,10
10047,Austria,249.85416666666666,1
10150,Austria,49.97083333333333,2
10162,Austria,6086.447499999999,17
10170,Austria,6.895975,2
10358,Austria,4897.141666666666,10
10777,Austria,51.46995833333333,12
10804,Austria,199.88333333333333,3
10979,Austria,131.923,1
11203,Austria,377.7795,8
11223,Austria,6296.325000000001,16
12079,Austria,399.76666666666665,5
12081,Austria,2226.200625,5
13515,Austria,166.10305,4
13694,Austria,255.55084166666666,8
13763,Austria,43.974333333333334,1
13789,Austria,5996.5,11
14265,Austria,5396.85,13
14560,Austria,349.79583333333335,13
14645,Austria,130.92358333333334,3
15064,Austria,3078.2033333333334,12
15243,Austria,4997.083333333333,11
15371,Austria,344.79875,3
15378,Austria,379.7783333333333,3
15489,Austria,9994.166666666666,17
15682,Austria,449.7375,19
15730,Austria,2998.25,8
15850,Austria,1299.2416666666666,10
15974,Austria,97.44312500000001,2
16010,Austria,8994.75,25
16145,Austria,5876.57,22
16253,Austria,299.825,4
16840,Austria,8994.75,23
16947,Austria,217.77289166666665,4
16970,Austria,280.936025,11
17016,Austria,279.83666666666664,1
17086,Austria,234.86291666666665,3
17176,Austria,336.90335833333336,6
17180,Austria,199.88333333333333,14
17622,Austria,399.76666666666665,12
18233,Austria,759.5566666666666,10
18419,Austria,149.9125,2
18588,Austria,309.81916666666666,5
18853,Austria,599.65,20
19098,Austria,374.78125,8
19111,Austria,249.85416666666666,1
19247,Austria,3797.7833333333333,3
19476,Austria,9494.458333333332,5
19533,Austria,4397.433333333333,15
19714,Austria,5196.966666666666,3
19809,Austria,1699.0083333333334,22
19812,Austria,4497.375,8
19865,Austria,299.825,7
19900,Austria,99.94166666666666,4
19906,Austria,6396.266666666666,12
20035,Austria,4297.491666666667,4
20081,Austria,281.8355,5
20165,Austria,169.9008333333333,6
20440,Austria,389.77250000000004,7
20484,Austria,349.79583333333335,3
21210,Austria,6875.986666666666,10
21661,Austria,4097.608333333334,2
22332,Austria,4197.549999999999,3
22341,Austria,119.93,2
22708,Austria,64.96208333333334,4
22797,Austria,7945.3625,13
22934,Austria,309.81916666666666,15
23008,Austria,9.494458333333334,7
23030,Austria,6995.916666666666,14
23067,Austria,259.84833333333336,2
23432,Austria,6496.208333333333,19
23525,Austria,4272.50625,4
23536,Austria,7695.508333333333,20
23611,Austria,169.9008333333333,5
23730,Austria,204.3807083333333,2
24141,Austria,5496.791666666666,8
24220,Austria,4197.549999999999,3
24369,Austria,6296.325000000001,3
24439,Austria,699.5916666666667,3
24499,Austria,4897.141666666666,10
24948,Austria,399.76666666666665,6
25238,Austria,249.85416666666666,1
25311,Austria,249.85416666666666,1
25460,Austria,4477.386666666666,8
25778,Austria,136.3204333333333,2
25885,Austria,559.6733333333333,6
25899,Austria,5996.5,10
25947,Austria,249.85416666666666,2
26210,Austria,2998.25,1
26674,Austria,7995.333333333333,7
26677,Austria,8664.9425,13
27047,Austria,7055.881666666666,10
27369,Austria,4897.141666666666,9
27438,Austria,312.41765,2
27495,Austria,3497.958333333333,1
27666,Austria,146.91424999999998,1
27769,Austria,1748.9791666666665,2
27968,Austria,5296.908333333333,18
28023,Austria,5996.5,9
28144,Austria,299.825,11
28321,Austria,499.7083333333333,5
28393,Austria,8594.983333333334,10
28589,Austria,4047.6375,5
28613,Austria,479.72,11
28760,Austria,4997.083333333333,4
28946,Austria,379.7783333333333,3
29355,Austria,15.990666666666666,1
30254,Austria,6496.208333333333,22
30314,Austria,499.7083333333333,5
30589,Austria,6796.033333333334,5
30801,Austria,9194.633333333333,11
30818,Austria,6396.266666666666,11
30846,Austria,5196.966666666666,5
31004,Austria,5296.908333333333,7
31123,Austria,359.79,1
31227,Austria,431.74800000000005,5
31356,Austria,4197.549999999999,3
31384,Austria,3522.9437500000004,2
31577,Austria,10993.583333333332,8
31662,Austria,419.755,7
31905,Austria,4297.491666666667,5
31956,Austria,289.8308333333333,3
32328,Austria,248.85475,2
32497,Austria,4997.083333333333,8
32620,Austria,299.825,4
32719,Austria,6296.325000000001,20
33476,Austria,289.8308333333333,4
34185,Austria,8794.866666666667,12
34338,Austria,6496.208333333333,7
34841,Austria,219.87166666666667,1
35241,Austria,359.79,16
35707,Austria,499.7083333333333,12
35751,Austria,299.825,10
35753,Austria,5996.5,5
35864,Austria,373.78183333333334,6
36085,Austria,10493.875,11
36094,Austria,7995.333333333333,10
36257,Austria,8195.216666666667,19
36315,Austria,299.825,7
36342,Austria,349.79583333333335,5
36425,Austria,9494.458333333332,15
36552,Austria,12992.416666666666,12
36598,Austria,699.5916666666667,21
36651,Austria,699.5916666666667,13
36714,Austria,6496.208333333333,10
37009,Austria,479.72,6
37011,Austria,219.87166666666667,3
37159,Austria,44.474041666666665,2
37210,Austria,629.6324999999999,20
37537,Austria,6741.065416666666,5
37611,Austria,7595.566666666667,5
37669,Austria,274.83958333333334,1
37825,Austria,6596.15,15
