,Country,Monthly_Sal_EUR,YearsCodePro
5921,Azerbaijan,213.47539999999998,0
10283,Azerbaijan,1467.9432,3
11738,Azerbaijan,567.2689,0
18909,Azerbaijan,1798.95,3
19774,Azerbaijan,6995.916666666666,3
24028,Azerbaijan,354.9928,0
25047,Azerbaijan,567.2689,0
31300,Azerbaijan,2483.7502999999997,6
48020,Azerbaijan,106.73769999999999,0
48124,Azerbaijan,995.419,3
49904,Azerbaijan,5996.5,0
65614,Azerbaijan,1844.5234,9
68977,Azerbaijan,4403.8296,15
71541,Azerbaijan,14.3916,0
75629,Azerbaijan,4797.2,9
78401,Azerbaijan,293.82849999999996,0
83547,Azerbaijan,567.2689,3
86701,Azerbaijan,719.58,0
