,Country,Monthly_Sal_EUR,EdLevel
337,Bangladesh,1327.6251,Bachelor's degree
496,Bangladesh,359.79,Bachelor's degree
701,Bangladesh,651.2199,Master's degree
858,Bangladesh,1442.7578999999998,Master's degree
1193,Bangladesh,1442.7578999999998,college/university without bachelor's degree
2058,Bangladesh,2596.4845,Bachelor's degree
2088,Bangladesh,497.7095,Bachelor's degree
2196,Bangladesh,1798.95,Bachelor's degree
2206,Bangladesh,1153.7266,Bachelor's degree
2367,Bangladesh,1153.7266,Bachelor's degree
2817,Bangladesh,7790.6528,Bachelor's degree
3027,Bangladesh,360.9893,Bachelor's degree
3097,Bangladesh,504.9053,Bachelor's degree
3335,Bangladesh,576.8633,Bachelor's degree
4238,Bangladesh,2398.6,Master's degree
4327,Bangladesh,1499.125,Bachelor's degree
4619,Bangladesh,1009.8106,Bachelor's degree
4831,Bangladesh,115.1328,Bachelor's degree
4960,Bangladesh,1442.7578999999998,Bachelor's degree
5238,Bangladesh,2308.6525,Bachelor's degree
5949,Bangladesh,576.8633,Bachelor's degree
6332,Bangladesh,1199.3,Bachelor's degree
6347,Bangladesh,1226.8838999999998,college/university without bachelor's degree
7570,Bangladesh,1875.7051999999999,Bachelor's degree
7960,Bangladesh,1226.8838999999998,Master's degree
8149,Bangladesh,648.8213,Bachelor's degree
8386,Bangladesh,1009.8106,Bachelor's degree
8597,Bangladesh,959.44,Bachelor's degree
8660,Bangladesh,2398.6,Bachelor's degree
9386,Bangladesh,1202.2982499999998,Bachelor's degree
9938,Bangladesh,2164.7365,Bachelor's degree
10145,Bangladesh,299.825,Bachelor's degree
10234,Bangladesh,317.81449999999995,Master's degree
10370,Bangladesh,3597.9,Bachelor's degree
11202,Bangladesh,865.8946000000001,Master's degree
12076,Bangladesh,1298.8419,Bachelor's degree
12928,Bangladesh,360.9893,Bachelor's degree
13670,Bangladesh,6493.010200000001,Bachelor's degree
13873,Bangladesh,599.65,Bachelor's degree
14400,Bangladesh,2164.7365,Master's degree
15105,Bangladesh,143.916,Secondary school
15976,Bangladesh,144.31576666666666,Bachelor's degree
16372,Bangladesh,419.755,Bachelor's degree
17949,Bangladesh,909.0694,Master's degree
18226,Bangladesh,131.923,Bachelor's degree
18493,Bangladesh,299.825,Bachelor's degree
