,Country,Monthly_Sal_EUR,EdLevel
3556,Belarus,2398.6,college/university without bachelor's degree
10782,Belarus,599.65,Secondary school
13190,Belarus,2758.39,Bachelor's degree
16907,Belarus,35.979,Bachelor's degree
18772,Belarus,2698.425,Bachelor's degree
19836,Belarus,149.9125,Bachelor's degree
22818,Belarus,119.93,Master's degree
24653,Belarus,299.825,college/university without bachelor's degree
28387,Belarus,7995.333333333333,Bachelor's degree
35661,Belarus,3997.6666666666665,Bachelor's degree
35987,Belarus,4997.083333333333,Secondary school
36923,Belarus,3497.958333333333,Bachelor's degree
38432,Belarus,3398.016666666667,Professional degree
41899,Belarus,649.6208333333333,Bachelor's degree
