,Country,Monthly_Sal_EUR,YearsCodePro
996,Belarus,219.87166666666667,4
1127,Belarus,699.5916666666667,4
1572,Belarus,999.4166666666666,15
2535,Belarus,99.94166666666666,1
3689,Belarus,455.734,10
3912,Belarus,169.9008333333333,4
5938,Belarus,1049.3874999999998,10
6652,Belarus,299.825,2
7618,Belarus,499.7083333333333,14
7997,Belarus,249.85416666666666,8
8655,Belarus,299.825,7
9732,Belarus,229.8658333333333,2
9746,Belarus,699.5916666666667,9
10270,Belarus,479.72,4
10610,Belarus,799.5333333333333,5
10782,Belarus,539.685,23
10848,Belarus,94.94458333333333,2
11056,Belarus,219.87166666666667,5
11172,Belarus,289.8308333333333,12
11380,Belarus,69.95916666666666,4
11788,Belarus,370.78358333333335,4
11795,Belarus,799.5333333333333,9
14217,Belarus,199.88333333333333,1
14343,Belarus,299.825,5
14982,Belarus,199.88333333333333,10
16546,Belarus,74.95625,2
16681,Belarus,699.5916666666667,15
17800,Belarus,99.94166666666666,2
18054,Belarus,59.965,2
20733,Belarus,349.79583333333335,2
21300,Belarus,329.8075,13
22196,Belarus,809.5274999999999,12
22613,Belarus,289.8308333333333,6
22670,Belarus,269.8425,16
22724,Belarus,199.88333333333333,6
23473,Belarus,349.79583333333335,9
23663,Belarus,199.88333333333333,3
24588,Belarus,629.6324999999999,2
24661,Belarus,395.769,6
24663,Belarus,74.95625,6
26813,Belarus,589.6558333333332,9
27274,Belarus,459.7316666666666,3
28725,Belarus,119.93,1
28993,Belarus,499.7083333333333,5
29500,Belarus,399.76666666666665,4
30452,Belarus,349.79583333333335,6
30693,Belarus,499.7083333333333,7
31220,Belarus,399.76666666666665,8
31472,Belarus,749.5625,15
31992,Belarus,99.94166666666666,3
32366,Belarus,659.615,16
33696,Belarus,399.76666666666665,29
34096,Belarus,249.85416666666666,3
34398,Belarus,8994.75,15
34465,Belarus,449.7375,4
35657,Belarus,104.93875,3
37550,Belarus,114.93291666666666,6
38045,Belarus,419.755,14
39075,Belarus,439.74333333333334,4
40955,Belarus,119.93,10
43722,Belarus,499.7083333333333,11
44202,Belarus,259.84833333333336,2
44266,Belarus,104.93875,1
44656,Belarus,249.85416666666666,5
45327,Belarus,349.79583333333335,6
45410,Belarus,20.98775,1
47707,Belarus,179.895,13
49419,Belarus,699.5916666666667,4
51121,Belarus,599.65,5
54095,Belarus,299.825,18
55310,Belarus,309.81916666666666,3
55372,Belarus,119.93,1
57288,Belarus,599.65,17
57422,Belarus,149.9125,2
59265,Belarus,379.7783333333333,8
