,Country,Monthly_Sal_EUR,EdLevel
672,Belgium,329.8075,Bachelor's degree
1128,Belgium,4997.083333333333,Master's degree
1594,Belgium,263.846,Master's degree
1657,Belgium,349.79583333333335,Bachelor's degree
1762,Belgium,4727.240833333333,Secondary school
1797,Belgium,379.7783333333333,Master's degree
2458,Belgium,349.79583333333335,Bachelor's degree
2509,Belgium,699.5916666666667,Master's degree
2658,Belgium,300.82441666666665,Associate degree
2670,Belgium,234.86291666666665,Primary/elementary school
2735,Belgium,257.1499083333333,Secondary school
2741,Belgium,219.87166666666667,Master's degree
2772,Belgium,249.85416666666666,college/university without bachelor's degree
3158,Belgium,264.84541666666667,Bachelor's degree
3168,Belgium,229.8658333333333,Bachelor's degree
3236,Belgium,499.7083333333333,Secondary school
3265,Belgium,12992.416666666666,Bachelor's degree
3271,Belgium,4047.6375,Master's degree
3512,Belgium,249.85416666666666,Bachelor's degree
3576,Belgium,379.7783333333333,Bachelor's degree
3953,Belgium,999.4166666666666,Master's degree
4703,Belgium,549.6791666666667,Master's degree
4803,Belgium,274.83958333333334,Bachelor's degree
4881,Belgium,249.85416666666666,Secondary school
5083,Belgium,3497.958333333333,Master's degree
5103,Belgium,6496.208333333333,Master's degree
5176,Belgium,299.825,Master's degree
5197,Belgium,279.83666666666664,Master's degree
5906,Belgium,7495.625,Master's degree
6302,Belgium,449.7375,Doctoral degree
6379,Belgium,249.85416666666666,Bachelor's degree
6483,Belgium,799.5333333333333,Bachelor's degree
6509,Belgium,209.8775,Associate degree
6620,Belgium,9894.224999999999,college/university without bachelor's degree
6828,Belgium,599.65,Master's degree
6938,Belgium,299.825,Master's degree
7185,Belgium,309.81916666666666,Bachelor's degree
7235,Belgium,7995.333333333333,Master's degree
7576,Belgium,189.88916666666665,Bachelor's degree
8011,Belgium,279.83666666666664,Bachelor's degree
8282,Belgium,519.6966666666667,Bachelor's degree
9031,Belgium,289.8308333333333,Bachelor's degree
9162,Belgium,499.7083333333333,Bachelor's degree
9364,Belgium,1499.125,Doctoral degree
9412,Belgium,384.7754166666667,Bachelor's degree
9625,Belgium,209.8775,Secondary school
9710,Belgium,4451.8016,Master's degree
9762,Belgium,259.84833333333336,Bachelor's degree
9938,Belgium,3997.6666666666665,Bachelor's degree
9957,Belgium,11.992999999999999,Bachelor's degree
10134,Belgium,499.7083333333333,Bachelor's degree
10339,Belgium,369.78416666666664,Bachelor's degree
10341,Belgium,289.8308333333333,Bachelor's degree
10679,Belgium,349.79583333333335,Bachelor's degree
10712,Belgium,499.7083333333333,Master's degree
10787,Belgium,4497.375,Bachelor's degree
11008,Belgium,249.85416666666666,Bachelor's degree
11311,Belgium,4752.22625,Bachelor's degree
11841,Belgium,359.79,Master's degree
12092,Belgium,5496.791666666666,Master's degree
12394,Belgium,6296.325000000001,Master's degree
12996,Belgium,149.9125,Primary/elementary school
13088,Belgium,219.87166666666667,Bachelor's degree
13093,Belgium,7495.625,Doctoral degree
13249,Belgium,319.81333333333333,Master's degree
13274,Belgium,459.7316666666666,Bachelor's degree
13657,Belgium,11993.0,Master's degree
13811,Belgium,249.85416666666666,Bachelor's degree
13852,Belgium,299.825,Bachelor's degree
13922,Belgium,6995.916666666666,Master's degree
14079,Belgium,349.79583333333335,Bachelor's degree
14121,Belgium,344.79875,Bachelor's degree
14128,Belgium,399.76666666666665,Master's degree
14398,Belgium,434.74625,Bachelor's degree
14655,Belgium,259.84833333333336,Bachelor's degree
14819,Belgium,174.89791666666667,Bachelor's degree
15086,Belgium,429.7491666666666,Master's degree
15570,Belgium,281.6356166666667,college/university without bachelor's degree
15571,Belgium,285.2335166666667,Bachelor's degree
15843,Belgium,4997.083333333333,Bachelor's degree
16108,Belgium,349.79583333333335,Bachelor's degree
16205,Belgium,179.895,Bachelor's degree
16564,Belgium,279.83666666666664,Bachelor's degree
16807,Belgium,529.6908333333333,Master's degree
16814,Belgium,299.825,Master's degree
17003,Belgium,449.7375,Master's degree
17063,Belgium,2158.74,Associate degree
17261,Belgium,239.86,Bachelor's degree
17663,Belgium,499.7083333333333,Master's degree
17789,Belgium,249.85416666666666,Bachelor's degree
17790,Belgium,399.76666666666665,Doctoral degree
17896,Belgium,209.8775,Bachelor's degree
17954,Belgium,999.4166666666666,Master's degree
18510,Belgium,259.84833333333336,Master's degree
18591,Belgium,249.85416666666666,Bachelor's degree
18721,Belgium,311.21835,Associate degree
18772,Belgium,349.79583333333335,Master's degree
18900,Belgium,1099.3583333333333,Master's degree
19300,Belgium,363.28795833333334,Bachelor's degree
19316,Belgium,3597.9,Bachelor's degree
19464,Belgium,299.825,Bachelor's degree
19652,Belgium,329.8075,Bachelor's degree
19696,Belgium,12992.416666666666,Bachelor's degree
19854,Belgium,189.88916666666665,Professional degree
19902,Belgium,299.825,Master's degree
20090,Belgium,14991.25,Master's degree
20094,Belgium,4997.083333333333,Master's degree
20346,Belgium,279.83666666666664,Bachelor's degree
20813,Belgium,399.76666666666665,Bachelor's degree
21208,Belgium,189.88916666666665,Bachelor's degree
21212,Belgium,379.7783333333333,college/university without bachelor's degree
21261,Belgium,4697.258333333333,Master's degree
21364,Belgium,349.79583333333335,Master's degree
21490,Belgium,299.825,Professional degree
21526,Belgium,219.87166666666667,Bachelor's degree
21867,Belgium,399.76666666666665,Bachelor's degree
22271,Belgium,269.8425,Bachelor's degree
22394,Belgium,399.76666666666665,Doctoral degree
22557,Belgium,279.83666666666664,Master's degree
22574,Belgium,279.83666666666664,Bachelor's degree
22924,Belgium,294.8279166666666,Professional degree
22976,Belgium,299.825,Master's degree
23000,Belgium,7995.333333333333,Master's degree
23866,Belgium,5996.5,Master's degree
23868,Belgium,279.83666666666664,Bachelor's degree
24171,Belgium,9354.539999999999,Primary/elementary school
24493,Belgium,293.9284416666667,Bachelor's degree
24987,Belgium,499.7083333333333,Master's degree
25657,Belgium,7995.333333333333,Master's degree
26576,Belgium,204.88041666666666,Bachelor's degree
26665,Belgium,3997.6666666666665,Master's degree
26769,Belgium,4197.549999999999,Bachelor's degree
26832,Belgium,5996.5,Master's degree
27055,Belgium,339.8016666666666,Secondary school
27532,Belgium,317.3147916666667,Bachelor's degree
27770,Belgium,4188.555249999999,Bachelor's degree
27823,Belgium,249.85416666666666,college/university without bachelor's degree
27842,Belgium,423.3529,Associate degree
28002,Belgium,449.7375,college/university without bachelor's degree
28033,Belgium,219.87166666666667,Bachelor's degree
28237,Belgium,166.90258333333333,Master's degree
28328,Belgium,289.8308333333333,Doctoral degree
28441,Belgium,229.8658333333333,Master's degree
28577,Belgium,4797.2,college/university without bachelor's degree
29507,Belgium,2758.39,Bachelor's degree
29586,Belgium,224.86875,Bachelor's degree
29627,Belgium,5496.791666666666,Master's degree
30086,Belgium,5896.5583333333325,Master's degree
30176,Belgium,12992.416666666666,Doctoral degree
30924,Belgium,2498.5416666666665,college/university without bachelor's degree
31200,Belgium,5896.5583333333325,Bachelor's degree
31413,Belgium,254.85125,Bachelor's degree
31444,Belgium,319.81333333333333,college/university without bachelor's degree
31842,Belgium,227.867,college/university without bachelor's degree
31863,Belgium,6995.916666666666,Professional degree
32788,Belgium,279.83666666666664,college/university without bachelor's degree
33122,Belgium,221.07096666666666,Bachelor's degree
