,Country,Monthly_Sal_EUR,YearsCodePro
224,Belgium,6995.916666666666,9
424,Belgium,229.8658333333333,6
514,Belgium,499.7083333333333,7
693,Belgium,249.85416666666666,8
764,Belgium,799.5333333333333,12
827,Belgium,199.88333333333333,2
891,Belgium,469.7258333333333,15
988,Belgium,8994.75,35
1402,Belgium,14991.25,8
1815,Belgium,3497.958333333333,5
2019,Belgium,4997.083333333333,2
2588,Belgium,249.85416666666666,9
2777,Belgium,3497.958333333333,5
2816,Belgium,8994.75,27
3136,Belgium,239.86,2
3647,Belgium,849.5041666666667,3
3826,Belgium,13991.833333333332,27
4030,Belgium,7995.333333333333,16
4566,Belgium,449.7375,16
4634,Belgium,4801.9972,7
4945,Belgium,249.85416666666666,4
5269,Belgium,999.4166666666666,38
5628,Belgium,439.74333333333334,11
5791,Belgium,499.7083333333333,20
5819,Belgium,599.65,23
5943,Belgium,499.7083333333333,15
6254,Belgium,334.8045833333333,2
6487,Belgium,339.8016666666666,6
6728,Belgium,4197.549999999999,10
6732,Belgium,249.85416666666666,15
6798,Belgium,499.7083333333333,10
6940,Belgium,349.79583333333335,22
7051,Belgium,5696.675,6
7889,Belgium,6496.208333333333,6
8003,Belgium,3298.075,3
8130,Belgium,7995.333333333333,4
8180,Belgium,329.8075,6
8342,Belgium,3497.958333333333,4
11338,Belgium,9994.166666666666,8
11621,Belgium,209.8775,3
11795,Belgium,5496.791666666666,8
11811,Belgium,299.825,26
11856,Belgium,329.8075,5
11971,Belgium,284.83375,2
11993,Belgium,339.8016666666666,1
12040,Belgium,499.7083333333333,8
12171,Belgium,379.7783333333333,5
12189,Belgium,229.8658333333333,1
12198,Belgium,1499.125,20
12739,Belgium,349.79583333333335,13
12859,Belgium,259.84833333333336,4
13048,Belgium,299.825,2
13121,Belgium,2998.25,4
13227,Belgium,319.81333333333333,8
13364,Belgium,6995.916666666666,6
13457,Belgium,1499.125,9
13586,Belgium,419.755,10
13713,Belgium,255.85066666666665,15
13869,Belgium,364.78708333333327,15
13870,Belgium,4997.083333333333,7
14054,Belgium,292.62919999999997,3
14303,Belgium,239.86,1
14704,Belgium,2798.366666666667,3
14733,Belgium,449.7375,23
14899,Belgium,219.87166666666667,1
14968,Belgium,349.79583333333335,2
15212,Belgium,189.88916666666665,1
15227,Belgium,4997.083333333333,1
15434,Belgium,599.65,20
15635,Belgium,317.3147916666667,6
15833,Belgium,271.8413333333333,12
15946,Belgium,264.84541666666667,1
16432,Belgium,4182.55875,8
16467,Belgium,259.84833333333336,3
16469,Belgium,249.85416666666666,2
16703,Belgium,8135.251666666667,23
16863,Belgium,15990.666666666666,20
17210,Belgium,279.83666666666664,5
17287,Belgium,479.72,7
17418,Belgium,299.825,7
17476,Belgium,214.8745833333333,1
17633,Belgium,244.85708333333332,2
17762,Belgium,199.88333333333333,8
17818,Belgium,249.85416666666666,1
17875,Belgium,449.7375,16
18106,Belgium,499.7083333333333,9
18283,Belgium,499.7083333333333,7
18517,Belgium,179.895,3
18637,Belgium,319.81333333333333,3
