,Country,Monthly_Sal_EUR,YearsCodePro
4125,Bolivia,499.7083333333333,10
10293,Bolivia,899.475,12
13307,Bolivia,239.86,4
20722,Bolivia,999.4166666666666,15
24926,Bolivia,429.7491666666666,1
31096,Bolivia,59.965,12
32763,Bolivia,324.81041666666664,16
33120,Bolivia,999.4166666666666,6
37333,Bolivia,1099.3583333333333,6
38952,Bolivia,649.6208333333333,4
39800,Bolivia,449.7375,3
43048,Bolivia,209.8775,3
43821,Bolivia,699.5916666666667,5
44068,Bolivia,1499.125,12
44581,Bolivia,69.95916666666666,23
61948,Bolivia,299.825,1
66542,Bolivia,749.5625,4
71063,Bolivia,379.7783333333333,1
76938,Bolivia,499.7083333333333,2
78031,Bolivia,499.7083333333333,3
78244,Bolivia,299.825,2
82629,Bolivia,399.76666666666665,5
85105,Bolivia,849.5041666666667,3
85787,Bolivia,619.6383333333333,3
