,Country,Monthly_Sal_EUR,EdLevel
45,Brazil,2198.7166666666667,Bachelor's degree
296,Brazil,319.81333333333333,college/university without bachelor's degree
534,Brazil,3497.958333333333,Bachelor's degree
691,Brazil,819.5216666666666,Bachelor's degree
711,Brazil,1499.125,Master's degree
734,Brazil,399.76666666666665,Professional degree
801,Brazil,199.88333333333333,Bachelor's degree
806,Brazil,2398.6,college/university without bachelor's degree
816,Brazil,458.03265833333336,Bachelor's degree
823,Brazil,1499.125,Master's degree
824,Brazil,649.6208333333333,Bachelor's degree
847,Brazil,1499.125,college/university without bachelor's degree
931,Brazil,229.8658333333333,Bachelor's degree
1171,Brazil,329.8075,Secondary school
1174,Brazil,39.97666666666667,Secondary school
1211,Brazil,7995.333333333333,Bachelor's degree
1215,Brazil,799.5333333333333,Master's degree
1366,Brazil,199.88333333333333,college/university without bachelor's degree
1422,Brazil,6995.916666666666,Associate degree
1457,Brazil,1099.3583333333333,Master's degree
1567,Brazil,1998.8333333333333,Bachelor's degree
1573,Brazil,974.4312500000001,Associate degree
1625,Brazil,499.7083333333333,college/university without bachelor's degree
1638,Brazil,2998.25,Bachelor's degree
1690,Brazil,2398.6,college/university without bachelor's degree
1691,Brazil,999.4166666666666,Bachelor's degree
1888,Brazil,649.6208333333333,Professional degree
2117,Brazil,599.65,Bachelor's degree
2222,Brazil,17989.5,Bachelor's degree
2256,Brazil,999.4166666666666,Bachelor's degree
2262,Brazil,999.4166666666666,Professional degree
2292,Brazil,6096.441666666667,college/university without bachelor's degree
2885,Brazil,999.4166666666666,Bachelor's degree
3013,Brazil,1199.3,Master's degree
3084,Brazil,189.88916666666665,Secondary school
3221,Brazil,1699.0083333333334,Master's degree
3227,Brazil,1299.2416666666666,Master's degree
3358,Brazil,599.65,Bachelor's degree
3510,Brazil,349.79583333333335,Bachelor's degree
3557,Brazil,11993.0,Bachelor's degree
3559,Brazil,1249.2708333333333,Bachelor's degree
3562,Brazil,16990.083333333332,Bachelor's degree
3665,Brazil,249.85416666666666,college/university without bachelor's degree
3715,Brazil,1099.3583333333333,Secondary school
3751,Brazil,184.89208333333332,Bachelor's degree
3796,Brazil,359.79,Bachelor's degree
3843,Brazil,399.76666666666665,Master's degree
3900,Brazil,7995.333333333333,college/university without bachelor's degree
3906,Brazil,329.8075,Bachelor's degree
3987,Brazil,299.825,Bachelor's degree
4008,Brazil,399.76666666666665,Bachelor's degree
4138,Brazil,5996.5,Bachelor's degree
4169,Brazil,4497.375,Doctoral degree
4231,Brazil,899.475,Bachelor's degree
4307,Brazil,374.78125,Bachelor's degree
4322,Brazil,1499.125,Bachelor's degree
4373,Brazil,999.4166666666666,Master's degree
4376,Brazil,579.6616666666666,Bachelor's degree
4503,Brazil,499.7083333333333,college/university without bachelor's degree
4559,Brazil,1499.125,Bachelor's degree
4601,Brazil,599.65,Bachelor's degree
4605,Brazil,239.86,Secondary school
4656,Brazil,1299.2416666666666,Bachelor's degree
4698,Brazil,1079.37,Bachelor's degree
4764,Brazil,1998.8333333333333,Bachelor's degree
4776,Brazil,16850.165,Associate degree
4926,Brazil,234.86291666666665,Secondary school
5023,Brazil,179.895,college/university without bachelor's degree
5049,Brazil,1299.2416666666666,Doctoral degree
5127,Brazil,1249.2708333333333,Bachelor's degree
5132,Brazil,199.88333333333333,college/university without bachelor's degree
5217,Brazil,419.755,Associate degree
5304,Brazil,529.6908333333333,Bachelor's degree
5463,Brazil,2565.502583333333,Bachelor's degree
5509,Brazil,599.65,Master's degree
5559,Brazil,299.825,Bachelor's degree
5632,Brazil,479.72,Primary/elementary school
5747,Brazil,3997.6666666666665,college/university without bachelor's degree
5813,Brazil,419.755,Bachelor's degree
5826,Brazil,1499.125,Bachelor's degree
5915,Brazil,799.5333333333333,Bachelor's degree
5933,Brazil,219.87166666666667,Master's degree
5942,Brazil,99.94166666666666,Master's degree
5948,Brazil,2498.5416666666665,Professional degree
6078,Brazil,1199.3,college/university without bachelor's degree
6107,Brazil,1149.3291666666667,Bachelor's degree
6206,Brazil,632.330925,Bachelor's degree
6253,Brazil,719.58,Bachelor's degree
6255,Brazil,1499.125,Bachelor's degree
6262,Brazil,389.77250000000004,Bachelor's degree
6382,Brazil,839.51,Bachelor's degree
6425,Brazil,410.86019166666665,Bachelor's degree
6477,Brazil,899.475,college/university without bachelor's degree
6543,Brazil,1599.0666666666666,Bachelor's degree
6555,Brazil,699.5916666666667,Master's degree
6586,Brazil,787.5403333333334,Master's degree
6590,Brazil,14991.25,Bachelor's degree
6611,Brazil,199.88333333333333,Bachelor's degree
6765,Brazil,369.78416666666664,Bachelor's degree
6787,Brazil,599.65,Bachelor's degree
6812,Brazil,1039.3933333333334,Bachelor's degree
6820,Brazil,13791.949999999999,Bachelor's degree
6846,Brazil,1314.2329166666666,Bachelor's degree
6858,Brazil,499.7083333333333,Bachelor's degree
6883,Brazil,229.8658333333333,college/university without bachelor's degree
6893,Brazil,347.6970583333333,Bachelor's degree
6942,Brazil,349.79583333333335,Bachelor's degree
6991,Brazil,1199.3,Bachelor's degree
7062,Brazil,1699.0083333333334,Bachelor's degree
7128,Brazil,699.5916666666667,Bachelor's degree
7283,Brazil,18189.38333333333,Bachelor's degree
7335,Brazil,799.5333333333333,Bachelor's degree
7339,Brazil,699.5916666666667,college/university without bachelor's degree
7355,Brazil,439.74333333333334,Secondary school
7408,Brazil,399.76666666666665,college/university without bachelor's degree
7490,Brazil,479.72,college/university without bachelor's degree
7561,Brazil,249.85416666666666,college/university without bachelor's degree
7565,Brazil,439.74333333333334,Associate degree
7592,Brazil,599.65,Bachelor's degree
7610,Brazil,4797.2,college/university without bachelor's degree
7643,Brazil,1199.3,Bachelor's degree
7702,Brazil,19988.333333333332,Bachelor's degree
7712,Brazil,899.475,Bachelor's degree
7715,Brazil,799.5333333333333,Bachelor's degree
