,Country,Monthly_Sal_EUR,YearsCodePro
45,Brazil,2198.7166666666667,15
296,Brazil,319.81333333333333,12
534,Brazil,3497.958333333333,12
691,Brazil,819.5216666666666,4
711,Brazil,1499.125,7
734,Brazil,399.76666666666665,4
801,Brazil,199.88333333333333,3
806,Brazil,2398.6,14
816,Brazil,458.03265833333336,4
823,Brazil,1499.125,4
824,Brazil,649.6208333333333,4
847,Brazil,1499.125,15
931,Brazil,229.8658333333333,24
1171,Brazil,329.8075,6
1174,Brazil,39.97666666666667,3
1211,Brazil,7995.333333333333,3
1215,Brazil,799.5333333333333,13
1366,Brazil,199.88333333333333,8
1422,Brazil,6995.916666666666,4
1457,Brazil,1099.3583333333333,12
1567,Brazil,1998.8333333333333,6
1573,Brazil,974.4312500000001,6
1625,Brazil,499.7083333333333,10
1638,Brazil,2998.25,5
1690,Brazil,2398.6,11
1691,Brazil,999.4166666666666,2
1888,Brazil,649.6208333333333,4
2117,Brazil,599.65,5
2222,Brazil,17989.5,8
2256,Brazil,999.4166666666666,4
2262,Brazil,999.4166666666666,4
2292,Brazil,6096.441666666667,5
2885,Brazil,999.4166666666666,16
3013,Brazil,1199.3,20
3084,Brazil,189.88916666666665,2
3221,Brazil,1699.0083333333334,21
3227,Brazil,1299.2416666666666,17
3358,Brazil,599.65,10
3510,Brazil,349.79583333333335,2
3557,Brazil,11993.0,11
3559,Brazil,1249.2708333333333,11
3562,Brazil,16990.083333333332,20
3665,Brazil,249.85416666666666,1
3715,Brazil,1099.3583333333333,6
3751,Brazil,184.89208333333332,1
3796,Brazil,359.79,2
3843,Brazil,399.76666666666665,8
3900,Brazil,7995.333333333333,7
3906,Brazil,329.8075,2
3987,Brazil,299.825,12
4008,Brazil,399.76666666666665,3
4138,Brazil,5996.5,3
4169,Brazil,4497.375,3
4231,Brazil,899.475,5
4307,Brazil,374.78125,5
4322,Brazil,1499.125,7
4373,Brazil,999.4166666666666,4
4376,Brazil,579.6616666666666,3
4503,Brazil,499.7083333333333,4
4559,Brazil,1499.125,18
4601,Brazil,599.65,6
4605,Brazil,239.86,1
4656,Brazil,1299.2416666666666,8
4698,Brazil,1079.37,4
4764,Brazil,1998.8333333333333,3
4776,Brazil,16850.165,15
4926,Brazil,234.86291666666665,1
5023,Brazil,179.895,2
5049,Brazil,1299.2416666666666,15
5127,Brazil,1249.2708333333333,21
5132,Brazil,199.88333333333333,1
5217,Brazil,419.755,6
5304,Brazil,529.6908333333333,16
5463,Brazil,2565.502583333333,10
5509,Brazil,599.65,6
5559,Brazil,299.825,2
5632,Brazil,479.72,4
