,Country,Monthly_Sal_EUR,EdLevel
306,Bulgaria,5871.7728,college/university without bachelor's degree
464,Bulgaria,1199.3,college/university without bachelor's degree
713,Bulgaria,1092.5623,college/university without bachelor's degree
1338,Bulgaria,1467.9432,Bachelor's degree
1480,Bulgaria,6747.2618,Master's degree
2875,Bulgaria,2935.8864,Master's degree
2954,Bulgaria,1834.929,Secondary school
3174,Bulgaria,3298.075,Master's degree
3463,Bulgaria,2773.9808999999996,Secondary school
3590,Bulgaria,4348.6618,Master's degree
4485,Bulgaria,1145.3315,Secondary school
5208,Bulgaria,2848.3375,Bachelor's degree
5490,Bulgaria,675.2058999999999,college/university without bachelor's degree
5781,Bulgaria,1124.9433999999999,Master's degree
5854,Bulgaria,4498.5743,Bachelor's degree
6060,Bulgaria,1499.125,Secondary school
6704,Bulgaria,5248.1368,Bachelor's degree
6909,Bulgaria,1499.3248833333332,Bachelor's degree
7185,Bulgaria,4123.1934,Master's degree
7240,Bulgaria,3669.4582333333333,Bachelor's degree
7741,Bulgaria,2248.6875,Secondary school
7850,Bulgaria,3748.41215,Bachelor's degree
7926,Bulgaria,1834.7291166666666,Bachelor's degree
8001,Bulgaria,3596.1010499999998,college/university without bachelor's degree
8225,Bulgaria,2766.7851,Master's degree
8691,Bulgaria,3914.1154333333334,Bachelor's degree
10054,Bulgaria,733.9716,Secondary school
10985,Bulgaria,975.0309,Secondary school
11052,Bulgaria,1499.125,college/university without bachelor's degree
14458,Bulgaria,1908.0863,Bachelor's degree
15305,Bulgaria,7338.5167,Master's degree
16230,Bulgaria,3229.7149,Master's degree
16570,Bulgaria,2855.5333,college/university without bachelor's degree
16734,Bulgaria,1404.1804166666666,Secondary school
16746,Bulgaria,4685.4652166666665,Bachelor's degree
16941,Bulgaria,8806.4599,Bachelor's degree
17280,Bulgaria,6115.83035,Bachelor's degree
17786,Bulgaria,2638.46,Master's degree
18468,Bulgaria,3747.8125,Bachelor's degree
18835,Bulgaria,2998.25,Bachelor's degree
19243,Bulgaria,2624.0684,Bachelor's degree
20032,Bulgaria,749.5625,Bachelor's degree
20297,Bulgaria,3373.6309,Bachelor's degree
20513,Bulgaria,3200.9316999999996,Master's degree
20675,Bulgaria,1649.0375,college/university without bachelor's degree
20746,Bulgaria,1349.2125,Bachelor's degree
20913,Bulgaria,2624.0684,Bachelor's degree
20961,Bulgaria,5430.430399999999,Doctoral degree
21272,Bulgaria,2586.8900999999996,Bachelor's degree
22095,Bulgaria,8846.0368,Master's degree
22282,Bulgaria,375.3809,Secondary school
22456,Bulgaria,1349.2125,Master's degree
23949,Bulgaria,3118.1800000000003,Bachelor's degree
24339,Bulgaria,975.0309,Master's degree
25044,Bulgaria,2998.25,Associate degree
25718,Bulgaria,1467.9432,Master's degree
26233,Bulgaria,807.1288999999999,Master's degree
27746,Bulgaria,733.9716,Secondary school
29505,Bulgaria,4282.500416666667,Secondary school
29508,Bulgaria,2998.25,college/university without bachelor's degree
29637,Bulgaria,4997.083333333333,Bachelor's degree
30001,Bulgaria,2398.6,Master's degree
30683,Bulgaria,2054.4008999999996,Bachelor's degree
31721,Bulgaria,5257.7312,Bachelor's degree
32842,Bulgaria,2348.2294,Bachelor's degree
33178,Bulgaria,1614.2577999999999,Master's degree
35676,Bulgaria,2398.6,college/university without bachelor's degree
36082,Bulgaria,5137.8012,Bachelor's degree
36364,Bulgaria,2348.2294,Master's degree
37237,Bulgaria,1614.2577999999999,college/university without bachelor's degree
37312,Bulgaria,1499.125,Primary/elementary school
37406,Bulgaria,1798.95,Master's degree
37836,Bulgaria,1724.5934,Bachelor's degree
37977,Bulgaria,1724.5934,college/university without bachelor's degree
38081,Bulgaria,4403.8296,college/university without bachelor's degree
38520,Bulgaria,5997.6993,college/university without bachelor's degree
39322,Bulgaria,5847.486975,Bachelor's degree
40314,Bulgaria,3561.021525,Bachelor's degree
40406,Bulgaria,1798.95,Secondary school
40435,Bulgaria,3747.8125,college/university without bachelor's degree
41467,Bulgaria,749.5625,Associate degree
41598,Bulgaria,441.3424,Secondary school
42034,Bulgaria,2935.8864,Bachelor's degree
42205,Bulgaria,5248.1368,Secondary school
42495,Bulgaria,3747.8125,Bachelor's degree
43635,Bulgaria,4403.8296,Master's degree
43844,Bulgaria,3747.8125,college/university without bachelor's degree
44620,Bulgaria,3973.2809,Master's degree
44919,Bulgaria,975.0309,Bachelor's degree
45205,Bulgaria,3747.8125,Bachelor's degree
45584,Bulgaria,1874.5059,Bachelor's degree
46184,Bulgaria,449.7375,Secondary school
46460,Bulgaria,1731.7892000000002,Master's degree
47769,Bulgaria,1559.0900000000001,college/university without bachelor's degree
47997,Bulgaria,2201.9148,Master's degree
48642,Bulgaria,3841.3579,Master's degree
48694,Bulgaria,2201.9148,Bachelor's degree
48819,Bulgaria,1467.9432,college/university without bachelor's degree
49257,Bulgaria,2698.425,Bachelor's degree
49357,Bulgaria,2624.0684,college/university without bachelor's degree
50241,Bulgaria,5398.0493,college/university without bachelor's degree
50814,Bulgaria,7339.016408333333,Bachelor's degree
50971,Bulgaria,1199.3,Secondary school
51004,Bulgaria,3223.7184,Bachelor's degree
51995,Bulgaria,375.3809,Secondary school
52069,Bulgaria,6377.877399999999,Bachelor's degree
52189,Bulgaria,3669.858,Bachelor's degree
52513,Bulgaria,3860.5467,Master's degree
52924,Bulgaria,5934.935933333332,Master's degree
53236,Bulgaria,3523.5433999999996,Bachelor's degree
53537,Bulgaria,4623.3015,Bachelor's degree
53576,Bulgaria,1499.125,Master's degree
53595,Bulgaria,2201.9148,Bachelor's degree
53680,Bulgaria,2061.5967,college/university without bachelor's degree
53823,Bulgaria,2624.0684,Bachelor's degree
54858,Bulgaria,4403.8296,college/university without bachelor's degree
56065,Bulgaria,1467.9432,college/university without bachelor's degree
57323,Bulgaria,5398.0493,college/university without bachelor's degree
57938,Bulgaria,6747.2618,Master's degree
58484,Bulgaria,2327.8413,college/university without bachelor's degree
59014,Bulgaria,3358.04,college/university without bachelor's degree
59424,Bulgaria,1199.3,college/university without bachelor's degree
60099,Bulgaria,2998.25,Bachelor's degree
60811,Bulgaria,4011.6585,Associate degree
62364,Bulgaria,2998.25,college/university without bachelor's degree
63476,Bulgaria,6727.373408333333,Master's degree
63503,Bulgaria,1320.4293,Bachelor's degree
63785,Bulgaria,1649.337325,Professional degree
63974,Bulgaria,4999.8817,Bachelor's degree
64220,Bulgaria,1998.8333333333333,college/university without bachelor's degree
64701,Bulgaria,975.0309,Master's degree
64922,Bulgaria,7338.5167,Master's degree
65101,Bulgaria,2098.7749999999996,Bachelor's degree
65259,Bulgaria,4872.7559,Master's degree
65547,Bulgaria,2624.0684,Bachelor's degree
66108,Bulgaria,4273.1059,Master's degree
66561,Bulgaria,1349.2125,college/university without bachelor's degree
67200,Bulgaria,3118.1800000000003,college/university without bachelor's degree
67202,Bulgaria,3747.8125,No formal education
67399,Bulgaria,5997.6993,Bachelor's degree
67576,Bulgaria,2054.4008999999996,Master's degree
67699,Bulgaria,3669.858,college/university without bachelor's degree
68069,Bulgaria,3467.1763,Master's degree
68084,Bulgaria,2642.0579,college/university without bachelor's degree
68245,Bulgaria,3747.8125,Secondary school
68422,Bulgaria,2998.25,Bachelor's degree
69281,Bulgaria,825.1184,Bachelor's degree
69527,Bulgaria,1836.1282999999999,Master's degree
69538,Bulgaria,6496.208333333333,college/university without bachelor's degree
70568,Bulgaria,1614.2577999999999,Doctoral degree
70669,Bulgaria,2642.0579,college/university without bachelor's degree
70700,Bulgaria,1499.125,Master's degree
70725,Bulgaria,749.5625,Bachelor's degree
