,Country,Monthly_Sal_EUR,YearsCodePro
131,Bulgaria,4497.375,5
2506,Bulgaria,549.6791666666667,5
3817,Bulgaria,189.88916666666665,1
4221,Bulgaria,659.615,7
4562,Bulgaria,671.608,4
5665,Bulgaria,12992.416666666666,13
6553,Bulgaria,749.5625,10
7226,Bulgaria,319.81333333333333,7
7480,Bulgaria,199.88333333333333,1
7828,Bulgaria,499.7083333333333,3
7875,Bulgaria,8994.75,8
8046,Bulgaria,99.94166666666666,2
8260,Bulgaria,503.60605833333335,7
8321,Bulgaria,5996.5,12
8437,Bulgaria,124.92708333333333,1
8511,Bulgaria,379.7783333333333,6
8916,Bulgaria,499.7083333333333,8
9307,Bulgaria,499.7083333333333,10
9752,Bulgaria,699.5916666666667,10
10392,Bulgaria,659.615,8
10518,Bulgaria,899.475,9
10670,Bulgaria,277.8378333333333,6
10757,Bulgaria,30.482208333333332,3
10774,Bulgaria,599.65,10
10825,Bulgaria,369.78416666666664,8
10888,Bulgaria,549.6791666666667,5
10903,Bulgaria,79.95333333333333,34
10930,Bulgaria,339.8016666666666,1
10938,Bulgaria,399.76666666666665,8
11010,Bulgaria,799.5333333333333,12
11045,Bulgaria,299.825,8
11069,Bulgaria,4297.491666666667,1
11157,Bulgaria,9994.166666666666,10
11162,Bulgaria,429.7491666666666,5
11290,Bulgaria,379.7783333333333,8
11916,Bulgaria,7995.333333333333,18
12359,Bulgaria,10493.875,15
12598,Bulgaria,179.895,1
12633,Bulgaria,649.6208333333333,8
12916,Bulgaria,377.27979166666665,4
13460,Bulgaria,499.7083333333333,10
14241,Bulgaria,799.5333333333333,27
14292,Bulgaria,149.9125,1
14672,Bulgaria,459.7316666666666,9
14801,Bulgaria,249.85416666666666,3
14822,Bulgaria,449.7375,3
14844,Bulgaria,517.2980666666666,3
15114,Bulgaria,231.86466666666666,18
15118,Bulgaria,1798.95,18
15123,Bulgaria,699.5916666666667,13
15137,Bulgaria,329.8075,3
15260,Bulgaria,149.9125,2
15525,Bulgaria,599.65,3
15690,Bulgaria,749.5625,15
16037,Bulgaria,99.94166666666666,2
17007,Bulgaria,455.434175,11
17983,Bulgaria,369.78416666666664,8
18478,Bulgaria,6596.15,15
18581,Bulgaria,6496.208333333333,6
18749,Bulgaria,78.35426666666666,2
18979,Bulgaria,399.76666666666665,3
19012,Bulgaria,319.81333333333333,3
19212,Bulgaria,299.825,1
19357,Bulgaria,179.895,1
19636,Bulgaria,977.4295,18
20317,Bulgaria,8395.099999999999,7
20819,Bulgaria,799.5333333333333,15
21446,Bulgaria,7145.829166666666,12
21498,Bulgaria,159.90666666666667,2
21719,Bulgaria,209.8775,10
21773,Bulgaria,2398.6,5
21814,Bulgaria,1499.125,23
22079,Bulgaria,999.4166666666666,12
22267,Bulgaria,139.91833333333332,3
22463,Bulgaria,249.85416666666666,7
23063,Bulgaria,259.84833333333336,8
23344,Bulgaria,3997.6666666666665,5
23456,Bulgaria,299.825,6
23509,Bulgaria,9994.166666666666,18
23723,Bulgaria,449.7375,13
23766,Bulgaria,4797.2,6
24028,Bulgaria,639.6266666666667,5
24108,Bulgaria,999.4166666666666,10
24431,Bulgaria,11993.0,12
24477,Bulgaria,379.7783333333333,2
24499,Bulgaria,599.65,7
24578,Bulgaria,4397.433333333333,1
24845,Bulgaria,149.9125,1
24878,Bulgaria,239.86,4
25249,Bulgaria,179.895,8
25503,Bulgaria,499.7083333333333,3
25727,Bulgaria,259.84833333333336,8
26079,Bulgaria,652.0194333333334,6
26602,Bulgaria,299.825,15
27668,Bulgaria,499.7083333333333,12
28759,Bulgaria,399.76666666666665,11
28868,Bulgaria,279.83666666666664,5
29289,Bulgaria,529.6908333333333,5
29610,Bulgaria,389.77250000000004,6
29620,Bulgaria,149.9125,3
30621,Bulgaria,299.825,15
30829,Bulgaria,299.825,2
31141,Bulgaria,179.895,15
31193,Bulgaria,1199.3,17
31314,Bulgaria,349.79583333333335,11
31451,Bulgaria,224.86875,1
31452,Bulgaria,99.94166666666666,1
31596,Bulgaria,180.89441666666667,1
31907,Bulgaria,8994.75,4
31998,Bulgaria,304.82208333333335,6
32458,Bulgaria,569.6675,6
32501,Bulgaria,799.5333333333333,27
32992,Bulgaria,1699.0083333333334,10
33269,Bulgaria,609.6441666666667,13
33295,Bulgaria,149.9125,2
34441,Bulgaria,299.825,2
34906,Bulgaria,529.6908333333333,10
34942,Bulgaria,359.79,2
34970,Bulgaria,179.895,1
35038,Bulgaria,379.7783333333333,4
35239,Bulgaria,199.88333333333333,2
35400,Bulgaria,87.94866666666667,8
38752,Bulgaria,399.76666666666665,7
41395,Bulgaria,149.9125,1
42015,Bulgaria,299.825,3
42638,Bulgaria,249.85416666666666,1
42761,Bulgaria,699.5916666666667,2
43849,Bulgaria,399.76666666666665,17
43880,Bulgaria,476.72175,5
44166,Bulgaria,385.7748333333333,2
