,Country,Monthly_Sal_EUR,YearsCodePro
25,Canada,9394.516666666666,10
31,Canada,349.79583333333335,10
50,Canada,13692.008333333333,7
78,Canada,4997.083333333333,7
92,Canada,4997.083333333333,2
93,Canada,9494.458333333332,25
95,Canada,9994.166666666666,4
97,Canada,10493.875,9
145,Canada,4997.083333333333,3
155,Canada,8495.041666666666,4
160,Canada,9994.166666666666,12
165,Canada,5496.791666666666,5
170,Canada,7995.333333333333,24
185,Canada,12492.708333333332,18
216,Canada,11593.233333333334,4
217,Canada,14991.25,2
249,Canada,7995.333333333333,6
278,Canada,1699.0083333333334,10
287,Canada,5496.791666666666,2
293,Canada,7595.566666666667,12
302,Canada,17989.5,21
311,Canada,16990.083333333332,20
317,Canada,9494.458333333332,26
321,Canada,7395.6833333333325,2
336,Canada,7395.6833333333325,1
350,Canada,8994.75,1
369,Canada,6995.916666666666,2
372,Canada,17989.5,20
376,Canada,8495.041666666666,3
379,Canada,7495.625,3
382,Canada,9994.166666666666,30
387,Canada,109.93583333333333,21
389,Canada,5896.5583333333325,3
407,Canada,5796.616666666667,10
409,Canada,7995.333333333333,5
413,Canada,5196.966666666666,22
416,Canada,9494.458333333332,16
420,Canada,15490.958333333332,26
421,Canada,4737.235,4
428,Canada,19988.333333333332,15
432,Canada,6995.916666666666,20
441,Canada,7295.741666666667,5
470,Canada,89.647675,1
483,Canada,10194.05,27
500,Canada,7395.6833333333325,12
512,Canada,9494.458333333332,8
515,Canada,9447.48575,6
516,Canada,129.42445833333332,1
529,Canada,6995.916666666666,2
534,Canada,12992.416666666666,7
555,Canada,9094.691666666666,4
557,Canada,18139.4125,15
606,Canada,4677.2699999999995,3
611,Canada,1399.1833333333334,8
616,Canada,11243.4375,5
625,Canada,3997.6666666666665,10
642,Canada,9994.166666666666,22
648,Canada,4997.083333333333,9
651,Canada,19988.333333333332,13
703,Canada,9994.166666666666,16
714,Canada,9994.166666666666,27
725,Canada,14491.541666666666,5
754,Canada,6995.916666666666,2
812,Canada,5496.791666666666,3
814,Canada,10493.875,19
831,Canada,5996.5,7
832,Canada,9494.458333333332,8
884,Canada,7795.450000000001,3
902,Canada,8994.75,9
915,Canada,5996.5,10
918,Canada,7995.333333333333,6
919,Canada,14991.25,8
921,Canada,11493.291666666666,10
931,Canada,4997.083333333333,5
939,Canada,9994.166666666666,16
948,Canada,11393.35,4
999,Canada,6496.208333333333,5
1025,Canada,7995.333333333333,5
1031,Canada,9194.633333333333,10
1053,Canada,9994.166666666666,20
1069,Canada,9294.575,21
1070,Canada,8794.866666666667,4
1075,Canada,8694.925,7
1078,Canada,7995.333333333333,19
1094,Canada,7495.625,5
1106,Canada,12367.78125,5
1118,Canada,8994.75,3
1129,Canada,4997.083333333333,7
1155,Canada,14491.541666666666,8
1187,Canada,9094.691666666666,6
1215,Canada,7995.333333333333,1
1217,Canada,1798.95,10
1235,Canada,6995.916666666666,5
1324,Canada,10993.583333333332,22
1327,Canada,13991.833333333332,4
1330,Canada,11993.0,20
1331,Canada,8295.158333333333,3
1337,Canada,7995.333333333333,5
1338,Canada,9394.516666666666,8
1343,Canada,7995.333333333333,8
1361,Canada,83.951,1
1371,Canada,10993.583333333332,18
1421,Canada,10293.991666666667,14
1424,Canada,6746.0625,10
1444,Canada,5496.791666666666,3
1445,Canada,5496.791666666666,2
1491,Canada,9994.166666666666,6
1492,Canada,1399.1833333333334,15
1493,Canada,7995.333333333333,12
1519,Canada,9494.458333333332,8
1552,Canada,7895.391666666666,6
1553,Canada,10693.758333333333,9
1558,Canada,174.79797499999998,8
1565,Canada,8495.041666666666,3
1580,Canada,10493.875,26
1594,Canada,6496.208333333333,2
1608,Canada,9170.647333333332,6
1618,Canada,5496.791666666666,1
1629,Canada,299.825,8
1634,Canada,7245.770833333333,5
1637,Canada,6696.091666666667,2
1648,Canada,13692.008333333333,12
1654,Canada,6196.383333333333,1
1681,Canada,7495.625,6
1750,Canada,11993.0,8
1756,Canada,6895.974999999999,13
1767,Canada,7495.625,5
1775,Canada,6995.916666666666,1
1778,Canada,5696.675,10
1792,Canada,9494.458333333332,13
1798,Canada,11693.175,9
1800,Canada,6596.15,15
1825,Canada,4797.2,3
1845,Canada,7495.625,3
1869,Canada,6496.208333333333,5
1896,Canada,10993.583333333332,5
1898,Canada,4053.634,3
1899,Canada,6296.325000000001,3
1925,Canada,7495.625,2
1937,Canada,12271.2376,6
1941,Canada,11993.0,12
1945,Canada,13492.125,7
1974,Canada,10993.583333333332,6
1990,Canada,12492.708333333332,10
2008,Canada,7495.625,11
2036,Canada,3997.6666666666665,3
2065,Canada,16990.083333333332,35
2070,Canada,5696.675,5
2085,Canada,9779.292083333334,8
2099,Canada,8994.75,1
2141,Canada,17989.5,20
2142,Canada,10993.583333333332,5
2163,Canada,5996.5,2
2174,Canada,5996.5,45
2189,Canada,7495.625,17
2192,Canada,8495.041666666666,10
2194,Canada,5496.791666666666,2
2205,Canada,6870.989583333333,1
2207,Canada,7495.625,11
2224,Canada,18988.916666666664,5
2233,Canada,9994.166666666666,17
2235,Canada,7595.566666666667,9
2249,Canada,8495.041666666666,12
2295,Canada,7195.8,7
2316,Canada,5996.5,3
2326,Canada,8095.275,5
2390,Canada,10244.020833333332,4
2397,Canada,11993.0,17
2399,Canada,16990.083333333332,19
2400,Canada,4697.258333333333,6
2411,Canada,69.95916666666666,11
2418,Canada,5127.0075,1
2421,Canada,12492.708333333332,15
2441,Canada,12992.416666666666,9
2454,Canada,14991.25,13
2479,Canada,5996.5,1
2484,Canada,5896.5583333333325,10
2489,Canada,6096.441666666667,7
2581,Canada,6496.208333333333,2
2584,Canada,7495.625,9
2615,Canada,10493.875,8
2649,Canada,5196.966666666666,1
2659,Canada,9994.166666666666,6
2666,Canada,6196.383333333333,2
2733,Canada,259.84833333333336,23
2773,Canada,8994.75,5
2787,Canada,12492.708333333332,20
2791,Canada,6995.916666666666,1
2805,Canada,8994.75,9
2841,Canada,199.88333333333333,2
2865,Canada,9994.166666666666,15
2876,Canada,7145.829166666666,13
2884,Canada,16990.083333333332,19
2946,Canada,7495.625,26
3011,Canada,9494.458333333332,5
3027,Canada,9994.166666666666,19
3081,Canada,6496.208333333333,2
3094,Canada,7995.333333333333,7
3114,Canada,13991.833333333332,12
3121,Canada,10493.875,3
3146,Canada,9594.4,27
3174,Canada,7195.8,2
3175,Canada,8495.041666666666,7
3177,Canada,9594.4,12
3190,Canada,8994.75,13
3200,Canada,1798.95,1
3223,Canada,7795.450000000001,5
3227,Canada,6796.033333333334,10
3270,Canada,7795.450000000001,6
3286,Canada,11993.0,9
3287,Canada,416.35698333333335,2
3308,Canada,8495.041666666666,21
3348,Canada,3949.6946666666668,6
3385,Canada,11493.291666666666,17
3417,Canada,159.90666666666667,9
3420,Canada,8994.75,7
3421,Canada,8994.75,5
3425,Canada,14641.454166666666,18
3445,Canada,7745.479166666666,9
3452,Canada,8994.75,9
3466,Canada,8994.75,1
3482,Canada,7895.391666666666,42
3483,Canada,7995.333333333333,12
3485,Canada,8994.75,3
3500,Canada,10493.875,32
3503,Canada,5196.966666666666,1
3578,Canada,11993.0,8
3584,Canada,11493.291666666666,20
3591,Canada,9494.458333333332,10
3605,Canada,8495.041666666666,6
3614,Canada,10.993583333333333,5
3623,Canada,12992.416666666666,11
3668,Canada,5496.791666666666,5
3717,Canada,10993.583333333332,6
3727,Canada,8495.041666666666,4
3756,Canada,16.490375,3
3787,Canada,8994.75,9
3790,Canada,13492.125,10
3794,Canada,399.76666666666665,25
3797,Canada,17989.5,20
3803,Canada,10993.583333333332,3
3841,Canada,6196.383333333333,2
3852,Canada,5496.791666666666,1
3853,Canada,8594.983333333334,4
3858,Canada,7995.333333333333,6
3865,Canada,8295.158333333333,1
3879,Canada,10194.05,15
3887,Canada,8495.041666666666,9
3899,Canada,11193.466666666667,7
3930,Canada,219.87166666666667,4
3937,Canada,5296.908333333333,6
3959,Canada,4997.083333333333,2
3970,Canada,7695.508333333333,15
3974,Canada,599.65,3
3975,Canada,9294.575,4
3976,Canada,11493.291666666666,20
4036,Canada,4797.2,3
4045,Canada,6.496208333333333,2
4069,Canada,16990.083333333332,18
4075,Canada,14991.25,25
4122,Canada,54.96791666666667,1
4126,Canada,14991.25,23
4186,Canada,7495.625,5
4227,Canada,8495.041666666666,15
4249,Canada,5196.966666666666,2
4264,Canada,12492.708333333332,20
4300,Canada,9994.166666666666,33
4313,Canada,9294.575,4
4320,Canada,7995.333333333333,7
4373,Canada,11793.116666666665,17
4389,Canada,5296.908333333333,20
4425,Canada,8495.041666666666,2
4453,Canada,7020.9020833333325,4
4468,Canada,10493.875,6
4501,Canada,12392.766666666666,20
4520,Canada,8495.041666666666,11
4561,Canada,99.94166666666666,3
4572,Canada,6496.208333333333,3
4599,Canada,3997.6666666666665,1
4607,Canada,8495.041666666666,8
4617,Canada,5496.791666666666,1
4627,Canada,7795.450000000001,4
4652,Canada,5696.675,3
4667,Canada,5996.5,8
4697,Canada,6846.004166666667,8
4698,Canada,10493.875,15
4702,Canada,14991.25,22
4707,Canada,4297.491666666667,5
4748,Canada,7995.333333333333,1
4795,Canada,12992.416666666666,26
4796,Canada,5996.5,3
4894,Canada,12492.708333333332,7
4933,Canada,9194.633333333333,16
4942,Canada,7595.566666666667,10
4945,Canada,9994.166666666666,16
4959,Canada,14991.25,14
4961,Canada,8495.041666666666,7
5011,Canada,12992.416666666666,16
5018,Canada,11993.0,16
5019,Canada,7495.625,2
5075,Canada,9494.458333333332,5
5081,Canada,7695.508333333333,14
5082,Canada,18189.38333333333,30
5093,Canada,8994.75,4
5101,Canada,13692.008333333333,15
5103,Canada,7495.625,4
5121,Canada,6196.383333333333,3
5123,Canada,8994.75,25
5148,Canada,6696.091666666667,4
5164,Canada,6995.916666666666,2
5192,Canada,5596.733333333334,2
5220,Canada,10393.933333333332,17
5273,Canada,9994.166666666666,6
5292,Canada,13991.833333333332,9
5295,Canada,12592.650000000001,11
5302,Canada,12492.708333333332,40
5324,Canada,11993.0,15
5365,Canada,8279.167666666666,5
5401,Canada,10993.583333333332,7
5404,Canada,5996.5,4
5432,Canada,8495.041666666666,10
5446,Canada,11993.0,50
5464,Canada,14991.25,8
5481,Canada,9334.551666666666,12
5509,Canada,7995.333333333333,5
5513,Canada,4297.491666666667,2
5529,Canada,9494.458333333332,6
5562,Canada,9994.166666666666,26
5564,Canada,8894.808333333332,3
5576,Canada,13991.833333333332,8
5589,Canada,10293.991666666667,4
5616,Canada,9994.166666666666,15
5644,Canada,7495.625,3
5670,Canada,7995.333333333333,4
5690,Canada,10993.583333333332,1
5701,Canada,17989.5,4
5703,Canada,5796.616666666667,8
5710,Canada,6496.208333333333,1
5724,Canada,8495.041666666666,8
5738,Canada,8395.099999999999,3
5803,Canada,8994.75,3
5809,Canada,11693.175,6
5811,Canada,7795.450000000001,13
5828,Canada,10993.583333333332,21
5892,Canada,5796.616666666667,1
5941,Canada,7995.333333333333,14
6103,Canada,12992.416666666666,14
6105,Canada,10993.583333333332,14
6141,Canada,19988.333333333332,8
6153,Canada,13991.833333333332,32
6261,Canada,10793.7,9
6293,Canada,5196.966666666666,2
6322,Canada,9994.166666666666,12
6340,Canada,399.76666666666665,12
6438,Canada,199.88333333333333,2
6465,Canada,11993.0,6
6480,Canada,8495.041666666666,1
6562,Canada,8495.041666666666,1
6983,Canada,7495.625,2
7020,Canada,5996.5,2
7389,Canada,12492.708333333332,3
7405,Canada,13991.833333333332,9
8656,Canada,9994.166666666666,13
8904,Canada,11993.0,29
9444,Canada,8654.948333333334,5
10533,Canada,11993.0,2
11314,Canada,12992.416666666666,15
11748,Canada,6746.0625,3
11769,Canada,7995.333333333333,22
11831,Canada,7595.566666666667,6
12078,Canada,9994.166666666666,6
12082,Canada,7195.8,2
12550,Canada,7995.333333333333,12
12670,Canada,11393.35,7
12788,Canada,159.90666666666667,11
12896,Canada,8594.983333333334,12
13026,Canada,4747.229166666666,3
13048,Canada,12792.533333333333,37
13138,Canada,7995.333333333333,2
13271,Canada,7495.625,8
13489,Canada,6796.033333333334,5
13778,Canada,13492.125,11
13820,Canada,4197.549999999999,12
13955,Canada,13492.125,15
14000,Canada,4997.083333333333,1
14070,Canada,11793.116666666665,17
14167,Canada,11193.466666666667,30
14214,Canada,8874.82,12
14371,Canada,7495.625,2
14459,Canada,5596.733333333334,3
14475,Canada,5996.5,5
14540,Canada,6296.325000000001,25
14623,Canada,14450.565583333333,5
14629,Canada,8495.041666666666,9
14640,Canada,9594.4,6
14685,Canada,7995.333333333333,9
14782,Canada,11493.291666666666,22
14835,Canada,11993.0,4
14841,Canada,299.825,1
14846,Canada,10493.875,26
14879,Canada,10793.7,7
15034,Canada,9994.166666666666,20
15083,Canada,10993.583333333332,23
15116,Canada,12992.416666666666,6
15160,Canada,6496.208333333333,5
15194,Canada,6196.383333333333,2
15308,Canada,18389.266666666666,10
15312,Canada,11493.291666666666,19
15377,Canada,8994.75,14
15390,Canada,3198.133333333333,1
15521,Canada,6995.916666666666,13
15526,Canada,7995.333333333333,3
15606,Canada,6296.325000000001,9
15722,Canada,19988.333333333332,35
15728,Canada,7545.595833333334,11
15784,Canada,11493.291666666666,22
15830,Canada,10593.816666666666,15
15864,Canada,7995.333333333333,4
15987,Canada,7495.625,4
16056,Canada,11993.0,9
16075,Canada,6995.916666666666,5
16087,Canada,9494.458333333332,3
16098,Canada,10493.875,14
16100,Canada,8994.75,3
16232,Canada,3398.016666666667,1
16244,Canada,429.7491666666666,4
16263,Canada,7495.625,15
16322,Canada,9694.341666666667,10
16369,Canada,3497.958333333333,1
16433,Canada,12992.416666666666,20
16522,Canada,7895.391666666666,5
16570,Canada,3997.6666666666665,3
16589,Canada,6995.916666666666,7
16590,Canada,5146.995833333333,1
16596,Canada,4997.083333333333,2
16603,Canada,15590.900000000001,22
16663,Canada,6995.916666666666,16
16698,Canada,16490.375,25
16712,Canada,9794.283333333333,6
16760,Canada,8495.041666666666,2
16771,Canada,6496.208333333333,15
16779,Canada,15291.074999999999,15
16829,Canada,13991.833333333332,3
16853,Canada,9494.458333333332,14
16897,Canada,9994.166666666666,16
16952,Canada,11993.0,5
16954,Canada,10393.933333333332,4
16984,Canada,9694.341666666667,10
