,Country,Monthly_Sal_EUR,EdLevel
3072,China,119.93,Bachelor's degree
5244,China,2998.25,Bachelor's degree
5254,China,2498.5416666666665,Bachelor's degree
5524,China,4997.083333333333,Bachelor's degree
5567,China,649.6208333333333,Bachelor's degree
5594,China,2998.25,Doctoral degree
5748,China,29.9825,Primary/elementary school
5805,China,299.825,Master's degree
6653,China,2998.25,Professional degree
6752,China,699.5916666666667,college/university without bachelor's degree
6766,China,19988.333333333332,Bachelor's degree
7185,China,949.4458333333333,Bachelor's degree
7385,China,1599.0666666666666,Secondary school
7457,China,499.7083333333333,college/university without bachelor's degree
7505,China,11993.0,college/university without bachelor's degree
8266,China,7995.333333333333,Bachelor's degree
9354,China,999.4166666666666,Doctoral degree
10142,China,179.895,Bachelor's degree
10325,China,999.4166666666666,Bachelor's degree
11103,China,999.4166666666666,Bachelor's degree
11227,China,1998.8333333333333,Bachelor's degree
12141,China,19988.333333333332,Associate degree
12865,China,2148.7458333333334,college/university without bachelor's degree
14405,China,1998.8333333333333,Master's degree
15922,China,3797.7833333333333,Bachelor's degree
19897,China,699.5916666666667,Associate degree
19976,China,2598.483333333333,Bachelor's degree
20018,China,3997.6666666666665,Master's degree
20529,China,1599.0666666666666,Bachelor's degree
20868,China,7795.450000000001,Secondary school
20869,China,349.79583333333335,Associate degree
22768,China,3497.958333333333,Doctoral degree
24053,China,899.475,college/university without bachelor's degree
24288,China,1299.2416666666666,college/university without bachelor's degree
25168,China,1798.95,Bachelor's degree
25248,China,1599.0666666666666,Bachelor's degree
26223,China,2998.25,Bachelor's degree
28394,China,1299.2416666666666,college/university without bachelor's degree
28677,China,999.4166666666666,Bachelor's degree
28788,China,1599.0666666666666,Associate degree
31131,China,4997.083333333333,Bachelor's degree
33209,China,369.78416666666664,Bachelor's degree
33690,China,3997.6666666666665,Master's degree
35026,China,799.5333333333333,Bachelor's degree
36607,China,399.76666666666665,Bachelor's degree
38410,China,1998.8333333333333,Bachelor's degree
39031,China,599.65,Secondary school
40401,China,1399.1833333333334,Bachelor's degree
43738,China,2498.5416666666665,Bachelor's degree
43955,China,1499.125,Associate degree
45003,China,1199.3,college/university without bachelor's degree
45142,China,799.5333333333333,Bachelor's degree
45436,China,999.4166666666666,Bachelor's degree
45838,China,599.65,Bachelor's degree
49183,China,3.398016666666667,Bachelor's degree
49443,China,1499.125,Master's degree
49578,China,2498.5416666666665,Master's degree
52827,China,399.76666666666665,Bachelor's degree
53235,China,2198.7166666666667,Bachelor's degree
53303,China,1499.125,Bachelor's degree
53320,China,999.4166666666666,Master's degree
53379,China,1199.3,Bachelor's degree
53485,China,2498.5416666666665,Master's degree
53526,China,2998.25,Master's degree
55199,China,599.65,Primary/elementary school
55290,China,2898.3083333333334,Bachelor's degree
55362,China,2998.25,Bachelor's degree
55532,China,1199.3,Bachelor's degree
56358,China,499.7083333333333,Master's degree
56643,China,1299.2416666666666,Bachelor's degree
57906,China,2498.5416666666665,Bachelor's degree
58602,China,2298.6583333333333,Master's degree
58628,China,1748.9791666666665,Master's degree
59004,China,2098.7749999999996,Bachelor's degree
59565,China,699.5916666666667,Bachelor's degree
59781,China,2498.5416666666665,Bachelor's degree
60811,China,2998.25,college/university without bachelor's degree
60819,China,2698.425,Bachelor's degree
60931,China,1898.8916666666667,Bachelor's degree
61039,China,699.5916666666667,Associate degree
61461,China,799.5333333333333,Bachelor's degree
61671,China,2898.3083333333334,Bachelor's degree
