,Country,Monthly_Sal_EUR,YearsCodePro
3072,China,119.93,10
5244,China,2998.25,5
5254,China,2498.5416666666665,1
5524,China,4997.083333333333,9
5567,China,649.6208333333333,3
5594,China,2998.25,6
5748,China,29.9825,5
5805,China,299.825,3
6653,China,2998.25,4
6752,China,699.5916666666667,3
6766,China,19988.333333333332,5
7185,China,949.4458333333333,2
7385,China,1599.0666666666666,5
7457,China,499.7083333333333,2
7505,China,11993.0,3
8266,China,7995.333333333333,10
9354,China,999.4166666666666,5
10142,China,179.895,10
10325,China,999.4166666666666,5
11103,China,999.4166666666666,2
11227,China,1998.8333333333333,16
12141,China,19988.333333333332,4
12865,China,2148.7458333333334,5
15922,China,3797.7833333333333,12
19897,China,699.5916666666667,1
19976,China,2598.483333333333,7
20018,China,3997.6666666666665,10
20529,China,1599.0666666666666,4
20868,China,7795.450000000001,5
20869,China,349.79583333333335,1
22768,China,3497.958333333333,8
24053,China,899.475,6
24288,China,1299.2416666666666,4
25168,China,1798.95,5
25248,China,1599.0666666666666,2
26223,China,2998.25,9
28394,China,1299.2416666666666,5
28677,China,999.4166666666666,1
28788,China,1599.0666666666666,5
31131,China,4997.083333333333,8
33209,China,369.78416666666664,4
33690,China,3997.6666666666665,12
35026,China,799.5333333333333,3
36607,China,399.76666666666665,1
38410,China,1998.8333333333333,6
39031,China,599.65,4
40401,China,1399.1833333333334,1
43738,China,2498.5416666666665,9
43955,China,1499.125,10
45003,China,1199.3,10
45142,China,799.5333333333333,1
45436,China,999.4166666666666,1
45838,China,599.65,4
49183,China,3.398016666666667,1
49443,China,1499.125,11
49578,China,2498.5416666666665,15
52827,China,399.76666666666665,6
53235,China,2198.7166666666667,11
53303,China,1499.125,1
53320,China,999.4166666666666,2
53379,China,1199.3,1
53485,China,2498.5416666666665,1
53526,China,2998.25,7
55199,China,599.65,3
55290,China,2898.3083333333334,7
55362,China,2998.25,3
55532,China,1199.3,12
56358,China,499.7083333333333,5
56643,China,1299.2416666666666,5
57906,China,2498.5416666666665,7
58602,China,2298.6583333333333,1
58628,China,1748.9791666666665,2
59004,China,2098.7749999999996,2
59565,China,699.5916666666667,3
59781,China,2498.5416666666665,3
60811,China,2998.25,1
60819,China,2698.425,4
60931,China,1898.8916666666667,2
61039,China,699.5916666666667,3
61461,China,799.5333333333333,1
61671,China,2898.3083333333334,4
