,Country,Monthly_Sal_EUR,EdLevel
76,Colombia,6407.8599,Master's degree
182,Colombia,1180.1111999999998,Bachelor's degree
238,Colombia,2023.2190999999998,Associate degree
364,Colombia,1433.1634999999999,Bachelor's degree
794,Colombia,3119.3792999999996,college/university without bachelor's degree
914,Colombia,1559.0900000000001,Professional degree
1248,Colombia,2798.366666666667,Bachelor's degree
1640,Colombia,1264.0621999999998,Bachelor's degree
1869,Colombia,839.51,Bachelor's degree
2279,Colombia,1897.2926,Master's degree
2302,Colombia,843.1079,college/university without bachelor's degree
2454,Colombia,719.58,college/university without bachelor's degree
2598,Colombia,927.0589,college/university without bachelor's degree
2720,Colombia,2192.3203999999996,Bachelor's degree
3822,Colombia,378.9788,college/university without bachelor's degree
5015,Colombia,2998.25,Bachelor's degree
5128,Colombia,5037.0599999999995,Bachelor's degree
5659,Colombia,2998.25,college/university without bachelor's degree
6021,Colombia,1180.1111999999998,Associate degree
6068,Colombia,1812.1423,Bachelor's degree
6839,Colombia,4215.5395,Master's degree
6970,Colombia,755.559,Professional degree
7687,Colombia,419.755,college/university without bachelor's degree
7807,Colombia,6322.7096,Bachelor's degree
8049,Colombia,1560.2893,Professional degree
8279,Colombia,4317.48,Master's degree
8687,Colombia,420.9543,Professional degree
9062,Colombia,1798.95,Bachelor's degree
9616,Colombia,1349.2125,Professional degree
10849,Colombia,3597.9,college/university without bachelor's degree
10884,Colombia,2403.3972,Bachelor's degree
11102,Colombia,2362.621,college/university without bachelor's degree
11909,Colombia,506.1046,college/university without bachelor's degree
13591,Colombia,1646.6389,Professional degree
13922,Colombia,332.2061,college/university without bachelor's degree
14859,Colombia,1180.1111999999998,college/university without bachelor's degree
15196,Colombia,839.51,college/university without bachelor's degree
15986,Colombia,1199.3,college/university without bachelor's degree
16344,Colombia,2360.2223999999997,college/university without bachelor's degree
16675,Colombia,1180.1111999999998,Professional degree
17338,Colombia,843.1079,Bachelor's degree
18271,Colombia,1686.2158,Professional degree
19147,Colombia,329.8075,Secondary school
19816,Colombia,1352.8103999999998,Professional degree
19877,Colombia,12646.618499999999,Secondary school
20020,Colombia,2398.6,Bachelor's degree
20476,Colombia,3372.4316,college/university without bachelor's degree
20864,Colombia,779.5450000000001,Bachelor's degree
21015,Colombia,5076.137191666667,Secondary school
21659,Colombia,1138.1356999999998,Master's degree
22407,Colombia,2318.2469,Master's degree
23871,Colombia,3161.3548,Master's degree
24104,Colombia,1812.1423,Master's degree
24832,Colombia,2192.3203999999996,Bachelor's degree
25895,Colombia,2128.7574999999997,college/university without bachelor's degree
27320,Colombia,843.1079,college/university without bachelor's degree
27544,Colombia,5269.324433333333,Professional degree
28544,Colombia,2638.46,Bachelor's degree
28658,Colombia,3161.3548,Master's degree
29365,Colombia,3597.9,Bachelor's degree
30484,Colombia,927.0589,Bachelor's degree
30761,Colombia,2107.1701,Bachelor's degree
31656,Colombia,2529.3237,Bachelor's degree
32252,Colombia,1391.188,Professional degree
34013,Colombia,2998.25,Master's degree
36073,Colombia,9274.1869,Bachelor's degree
36090,Colombia,1079.37,Bachelor's degree
36179,Colombia,2350.6279999999997,Bachelor's degree
36814,Colombia,3597.9,Bachelor's degree
37513,Colombia,779.5450000000001,college/university without bachelor's degree
37748,Colombia,1686.2158,Associate degree
38118,Colombia,2529.3237,Bachelor's degree
38313,Colombia,2423.7853,Bachelor's degree
38619,Colombia,4197.549999999999,Master's degree
38628,Colombia,2318.2469,Bachelor's degree
38643,Colombia,5496.791666666666,Bachelor's degree
39330,Colombia,3793.3858999999998,college/university without bachelor's degree
41131,Colombia,2398.6,Master's degree
42003,Colombia,1686.2158,Bachelor's degree
42173,Colombia,328.6082,Secondary school
42327,Colombia,4281.501,Bachelor's degree
42628,Colombia,1264.0621999999998,Associate degree
