,Country,Monthly_Sal_EUR,YearsCodePro
201,Colombia,179.895,20
2821,Colombia,299.825,7
9211,Colombia,1249.2708333333333,10
12004,Colombia,124.92708333333333,3
16522,Colombia,84.95041666666665,1
17684,Colombia,199.88333333333333,8
18752,Colombia,6396.266666666666,16
25063,Colombia,11993.0,5
27564,Colombia,299.825,5
28360,Colombia,299.825,7
29316,Colombia,349.79583333333335,12
30026,Colombia,79.95333333333333,2
30173,Colombia,1099.3583333333333,11
30433,Colombia,399.76666666666665,8
31164,Colombia,2.9982499999999996,3
34739,Colombia,169.9008333333333,12
34784,Colombia,249.85416666666666,5
36531,Colombia,2498.5416666666665,10
39026,Colombia,2398.6,5
39281,Colombia,89.9475,1
43138,Colombia,319.81333333333333,8
43755,Colombia,119.93,3
46110,Colombia,64.96208333333334,1
47892,Colombia,9994.166666666666,40
50835,Colombia,349.79583333333335,8
52569,Colombia,449.7375,5
55089,Colombia,9994.166666666666,11
55118,Colombia,649.6208333333333,7
55998,Colombia,49.97083333333333,1
59314,Colombia,31.981333333333332,7
62303,Colombia,299.825,6
62386,Colombia,499.7083333333333,8
62501,Colombia,269.8425,25
65572,Colombia,6995.916666666666,4
65669,Colombia,299.825,4
65847,Colombia,2798.366666666667,16
66443,Colombia,519.6966666666667,7
66721,Colombia,99.94166666666666,6
70088,Colombia,2398.6,8
70260,Colombia,99.94166666666666,15
71761,Colombia,7495.625,5
71976,Colombia,1998.8333333333333,21
75344,Colombia,199.88333333333333,3
78873,Colombia,199.88333333333333,6
81141,Colombia,349.79583333333335,5
