,Country,Monthly_Sal_EUR,YearsCodePro
2037,Costa Rica,5796.616666666667,9
5088,Costa Rica,3597.9,18
5829,Costa Rica,4797.2,6
7836,Costa Rica,1499.125,0
8228,Costa Rica,5037.0599999999995,12
12702,Costa Rica,3358.04,3
13916,Costa Rica,4497.375,3
15450,Costa Rica,8994.75,12
17072,Costa Rica,5097.025,6
21148,Costa Rica,14991.25,6
23267,Costa Rica,2518.5299999999997,6
23518,Costa Rica,5996.5,15
27291,Costa Rica,5396.85,6
28320,Costa Rica,5037.0599999999995,15
31724,Costa Rica,4437.41,3
31833,Costa Rica,2998.25,0
32072,Costa Rica,6356.289999999999,9
33082,Costa Rica,2158.74,6
33729,Costa Rica,2748.395833333333,9
34154,Costa Rica,359.79,0
39393,Costa Rica,3597.9,3
46106,Costa Rica,5156.99,9
54424,Costa Rica,719.58,0
54570,Costa Rica,4197.549999999999,9
62678,Costa Rica,4797.2,9
63886,Costa Rica,5996.5,24
65057,Costa Rica,4497.375,6
66772,Costa Rica,1978.8449999999998,0
67195,Costa Rica,1199.3,0
70459,Costa Rica,1439.16,3
70501,Costa Rica,2638.46,3
74127,Costa Rica,1998.8333333333333,30
79030,Costa Rica,12992.416666666666,9
79442,Costa Rica,1918.88,0
81199,Costa Rica,4365.451999999999,9
84232,Costa Rica,959.44,0
