,Country,Monthly_Sal_EUR,EdLevel
6641,Cuba,1249.2708333333333,Bachelor's degree
8347,Cuba,29.9825,Bachelor's degree
9587,Cuba,234.86291666666665,Bachelor's degree
18666,Cuba,749.5625,Bachelor's degree
21345,Cuba,49.97083333333333,Bachelor's degree
22321,Cuba,34.97958333333333,Bachelor's degree
29178,Cuba,14.99125,Bachelor's degree
33512,Cuba,29.9825,college/university without bachelor's degree
37013,Cuba,46.97258333333333,Bachelor's degree
38227,Cuba,9994.166666666666,Bachelor's degree
43952,Cuba,599.65,Bachelor's degree
55824,Cuba,421.7538333333333,Professional degree
57247,Cuba,239.86,Bachelor's degree
76581,Cuba,59.965,college/university without bachelor's degree
77212,Cuba,799.5333333333333,Bachelor's degree
78930,Cuba,999.4166666666666,Bachelor's degree
80757,Cuba,99.94166666666666,Associate degree
82522,Cuba,49.97083333333333,Bachelor's degree
