,Country,Monthly_Sal_EUR,YearsCodePro
719,Czech Republic,10493.875,9
811,Czech Republic,10993.583333333332,9
830,Czech Republic,4997.083333333333,8
900,Czech Republic,9994.166666666666,19
921,Czech Republic,4797.2,11
946,Czech Republic,7995.333333333333,15
985,Czech Republic,11993.0,10
1338,Czech Republic,6296.325000000001,7
1409,Czech Republic,7995.333333333333,9
1493,Czech Republic,10993.583333333332,12
1802,Czech Republic,13991.833333333332,10
2044,Czech Republic,17989.5,5
2237,Czech Republic,5796.616666666667,15
2971,Czech Republic,10993.583333333332,9
3121,Czech Republic,9994.166666666666,11
3567,Czech Republic,8495.041666666666,8
3629,Czech Republic,7995.333333333333,4
4007,Czech Republic,399.76666666666665,6
4217,Czech Republic,9994.166666666666,17
4221,Czech Republic,9994.166666666666,20
4508,Czech Republic,2498.5416666666665,10
4717,Czech Republic,8994.75,22
4958,Czech Republic,11993.0,7
4960,Czech Republic,4997.083333333333,30
5340,Czech Republic,7045.887500000001,11
5434,Czech Republic,5996.5,11
5520,Czech Republic,12992.416666666666,23
5552,Czech Republic,5496.791666666666,6
5657,Czech Republic,19988.333333333332,20
5907,Czech Republic,1099.3583333333333,11
5918,Czech Republic,6496.208333333333,5
6483,Czech Republic,199.88333333333333,4
6740,Czech Republic,6696.091666666667,7
6752,Czech Republic,5696.675,9
6841,Czech Republic,7495.625,5
6953,Czech Republic,279.83666666666664,5
7108,Czech Republic,199.88333333333333,3
7207,Czech Republic,9494.458333333332,15
7750,Czech Republic,19988.333333333332,12
8107,Czech Republic,11993.0,16
8354,Czech Republic,1998.8333333333333,6
8956,Czech Republic,3497.958333333333,7
8974,Czech Republic,14691.425,25
10348,Czech Republic,13492.125,13
10989,Czech Republic,4497.375,16
11235,Czech Republic,3198.133333333333,3
11265,Czech Republic,5996.5,7
11494,Czech Republic,8495.041666666666,26
11549,Czech Republic,7695.508333333333,30
12001,Czech Republic,3997.6666666666665,3
12191,Czech Republic,4497.375,2
12264,Czech Republic,2998.25,1
12438,Czech Republic,4997.083333333333,5
12443,Czech Republic,5496.791666666666,11
12536,Czech Republic,4497.375,5
12799,Czech Republic,6995.916666666666,4
12910,Czech Republic,1599.0666666666666,3
13058,Czech Republic,7295.741666666667,30
13166,Czech Republic,6596.15,8
13215,Czech Republic,5296.908333333333,11
13255,Czech Republic,8794.866666666667,9
13420,Czech Republic,5348.378291666666,12
13487,Czech Republic,9994.166666666666,10
13599,Czech Republic,6995.916666666666,25
13791,Czech Republic,4497.375,3
13818,Czech Republic,5996.5,5
13835,Czech Republic,6496.208333333333,6
14026,Czech Republic,14991.25,20
14050,Czech Republic,8495.041666666666,10
14130,Czech Republic,7610.15815,3
14176,Czech Republic,14991.25,10
14230,Czech Republic,14991.25,14
14394,Czech Republic,7695.508333333333,10
14400,Czech Republic,5196.966666666666,11
14403,Czech Republic,4997.083333333333,3
14435,Czech Republic,8495.041666666666,15
14446,Czech Republic,4997.083333333333,2
14515,Czech Republic,4497.375,10
14727,Czech Republic,7495.625,3
14832,Czech Republic,3997.6666666666665,8
15041,Czech Republic,3497.958333333333,8
15165,Czech Republic,2998.25,17
15170,Czech Republic,5996.5,7
15237,Czech Republic,12992.416666666666,5
15332,Czech Republic,6995.916666666666,6
15372,Czech Republic,13492.125,9
16005,Czech Republic,3997.6666666666665,5
16187,Czech Republic,4297.491666666667,2
16188,Czech Republic,11993.0,20
16209,Czech Republic,5996.5,14
16285,Czech Republic,2998.25,7
16300,Czech Republic,3497.958333333333,12
16348,Czech Republic,15990.666666666666,12
16446,Czech Republic,4797.2,1
16510,Czech Republic,3497.958333333333,10
16673,Czech Republic,4997.083333333333,8
16693,Czech Republic,9994.166666666666,10
16845,Czech Republic,8994.75,7
17538,Czech Republic,5996.5,18
17704,Czech Republic,5196.966666666666,7
18166,Czech Republic,7995.333333333333,17
18272,Czech Republic,4997.083333333333,3
18352,Czech Republic,8994.75,7
18481,Czech Republic,2698.425,20
18751,Czech Republic,6396.266666666666,10
19378,Czech Republic,4497.375,3
19489,Czech Republic,699.5916666666667,15
19771,Czech Republic,9994.166666666666,1
19980,Czech Republic,5996.5,20
20225,Czech Republic,7995.333333333333,6
20320,Czech Republic,6396.266666666666,3
20403,Czech Republic,7995.333333333333,10
20478,Czech Republic,12992.416666666666,13
20490,Czech Republic,1649.0375,4
20506,Czech Republic,15990.666666666666,10
20592,Czech Republic,6995.916666666666,15
20636,Czech Republic,699.5916666666667,10
20706,Czech Republic,9194.633333333333,16
20828,Czech Republic,6496.208333333333,3
20840,Czech Republic,7995.333333333333,8
20923,Czech Republic,12992.416666666666,15
20932,Czech Republic,11993.0,16
21074,Czech Republic,6496.208333333333,6
21198,Czech Republic,9994.166666666666,5
21199,Czech Republic,7995.333333333333,15
21735,Czech Republic,99.94166666666666,1
22491,Czech Republic,5996.5,8
22701,Czech Republic,549.6791666666667,9
22768,Czech Republic,5496.791666666666,1
23056,Czech Republic,5596.733333333334,4
23122,Czech Republic,6496.208333333333,9
23140,Czech Republic,11993.0,15
23418,Czech Republic,7995.333333333333,2
23662,Czech Republic,7095.858333333334,10
23810,Czech Republic,9994.166666666666,15
23821,Czech Republic,3198.133333333333,10
23879,Czech Republic,4697.258333333333,2
23893,Czech Republic,7095.858333333334,7
23910,Czech Republic,5496.791666666666,6
23916,Czech Republic,4997.083333333333,11
23954,Czech Republic,9994.166666666666,15
23966,Czech Republic,3597.9,9
24007,Czech Republic,1499.125,10
24122,Czech Republic,8994.75,7
24230,Czech Republic,3597.9,5
24286,Czech Republic,7495.625,4
24352,Czech Republic,8495.041666666666,6
24579,Czech Republic,5596.733333333334,2
24623,Czech Republic,7995.333333333333,10
24690,Czech Republic,7395.6833333333325,10
24708,Czech Republic,8994.75,10
24799,Czech Republic,5596.733333333334,5
24932,Czech Republic,7995.333333333333,12
24946,Czech Republic,5996.5,10
25022,Czech Republic,4997.083333333333,7
25140,Czech Republic,7495.625,15
25542,Czech Republic,7495.625,4
25884,Czech Republic,4997.083333333333,4
26066,Czech Republic,599.65,13
26113,Czech Republic,9994.166666666666,6
26196,Czech Republic,4997.083333333333,5
26348,Czech Republic,6995.916666666666,5
26865,Czech Republic,7995.333333333333,15
27100,Czech Republic,2198.7166666666667,3
27189,Czech Republic,12492.708333333332,4
27732,Czech Republic,3997.6666666666665,6
27840,Czech Republic,9994.166666666666,7
27945,Czech Republic,5996.5,5
28198,Czech Republic,7995.333333333333,25
28470,Czech Republic,12992.416666666666,10
28745,Czech Republic,3997.6666666666665,22
28817,Czech Republic,10993.583333333332,4
29200,Czech Republic,11993.0,15
29507,Czech Republic,4497.375,2
29556,Czech Republic,6496.208333333333,5
29700,Czech Republic,3997.6666666666665,3
29927,Czech Republic,5246.9375,2
30254,Czech Republic,399.76666666666665,4
31273,Czech Republic,14991.25,8
31314,Czech Republic,7995.333333333333,35
31426,Czech Republic,3997.6666666666665,7
31617,Czech Republic,11993.0,23
31623,Czech Republic,19488.625,6
31751,Czech Republic,8994.75,10
31909,Czech Republic,13991.833333333332,20
31915,Czech Republic,5496.791666666666,2
32085,Czech Republic,6096.441666666667,20
32180,Czech Republic,1798.95,1
32489,Czech Republic,10993.583333333332,6
32650,Czech Republic,19988.333333333332,14
32744,Czech Republic,6995.916666666666,1
32810,Czech Republic,799.5333333333333,3
32816,Czech Republic,5996.5,5
32963,Czech Republic,7495.625,10
32987,Czech Republic,4797.2,7
33302,Czech Republic,6296.325000000001,3
33340,Czech Republic,8994.75,10
33605,Czech Republic,10593.816666666666,3
33615,Czech Republic,4997.083333333333,18
33677,Czech Republic,9494.458333333332,9
34375,Czech Republic,19988.333333333332,9
34376,Czech Republic,11993.0,14
34499,Czech Republic,3497.958333333333,2
34724,Czech Republic,5996.5,2
34923,Czech Republic,6796.033333333334,9
34933,Czech Republic,4897.141666666666,5
34985,Czech Republic,1119.3466666666666,1
35110,Czech Republic,7495.625,15
36032,Czech Republic,4997.083333333333,3
37022,Czech Republic,3298.075,2
37063,Czech Republic,6995.916666666666,2
37419,Czech Republic,3997.6666666666665,1
37469,Czech Republic,2998.25,3
37669,Czech Republic,6496.208333333333,3
38278,Czech Republic,3997.6666666666665,5
38394,Czech Republic,9994.166666666666,3
38503,Czech Republic,6995.916666666666,13
38566,Czech Republic,4197.549999999999,3
38765,Czech Republic,5796.616666666667,6
38834,Czech Republic,11993.0,5
39330,Czech Republic,2298.6583333333333,2
40023,Czech Republic,3797.7833333333333,7
40270,Czech Republic,7195.8,20
40487,Czech Republic,4997.083333333333,4
40520,Czech Republic,12992.416666666666,8
40864,Czech Republic,13991.833333333332,10
40873,Czech Republic,15990.666666666666,8
41242,Czech Republic,649.6208333333333,21
41686,Czech Republic,5496.791666666666,6
42026,Czech Republic,13991.833333333332,21
42134,Czech Republic,5496.791666666666,16
42238,Czech Republic,5496.791666666666,5
42377,Czech Republic,4997.083333333333,6
42507,Czech Republic,5496.791666666666,4
42586,Czech Republic,10963.301008333332,4
43320,Czech Republic,4997.083333333333,5
43380,Czech Republic,599.65,3
43411,Czech Republic,11993.0,8
43459,Czech Republic,3597.9,3
43672,Czech Republic,399.76666666666665,15
43832,Czech Republic,6796.033333333334,3
44135,Czech Republic,6696.091666666667,23
44189,Czech Republic,9994.166666666666,19
44942,Czech Republic,11993.0,12
45038,Czech Republic,13991.833333333332,12
45223,Czech Republic,8994.75,11
45457,Czech Republic,3497.958333333333,1
45476,Czech Republic,4997.083333333333,3
45777,Czech Republic,3997.6666666666665,3
45869,Czech Republic,10993.583333333332,9
45953,Czech Republic,10593.816666666666,17
46135,Czech Republic,259.84833333333336,1
46392,Czech Republic,3497.958333333333,3
46397,Czech Republic,14391.6,10
46587,Czech Republic,11993.0,13
47550,Czech Republic,11993.0,14
47561,Czech Republic,9994.166666666666,18
48296,Czech Republic,6995.916666666666,3
48361,Czech Republic,899.475,27
48389,Czech Republic,1199.3,20
48493,Czech Republic,6496.208333333333,4
48570,Czech Republic,5496.791666666666,4
48677,Czech Republic,6995.916666666666,6
48722,Czech Republic,8994.75,21
48726,Czech Republic,6296.325000000001,4
48753,Czech Republic,7995.333333333333,4
48829,Czech Republic,7495.625,6
48879,Czech Republic,11993.0,4
48888,Czech Republic,9994.166666666666,9
48925,Czech Republic,6496.208333333333,14
49190,Czech Republic,3497.958333333333,3
49233,Czech Republic,5996.5,20
49457,Czech Republic,3997.6666666666665,1
49819,Czech Republic,7795.450000000001,1
49971,Czech Republic,4497.375,2
49976,Czech Republic,7495.625,2
50138,Czech Republic,9994.166666666666,8
50665,Czech Republic,16790.199999999997,8
51833,Czech Republic,10993.583333333332,4
52022,Czech Republic,7195.8,6
52196,Czech Republic,6196.383333333333,2
52247,Czech Republic,4497.375,12
52486,Czech Republic,12992.416666666666,9
53062,Czech Republic,11993.0,14
53370,Czech Republic,6995.916666666666,15
53565,Czech Republic,7995.333333333333,10
53587,Czech Republic,3997.6666666666665,12
53780,Czech Republic,11993.0,13
53814,Czech Republic,4597.316666666667,15
53920,Czech Republic,3597.9,3
54040,Czech Republic,4497.375,1
54092,Czech Republic,1199.3,1
54241,Czech Republic,3597.9,5
54401,Czech Republic,9994.166666666666,5
55989,Czech Republic,9994.166666666666,12
56120,Czech Republic,999.4166666666666,7
56287,Czech Republic,8495.041666666666,13
56349,Czech Republic,7995.333333333333,26
57296,Czech Republic,10493.875,9
57411,Czech Republic,5796.616666666667,5
57639,Czech Republic,8994.75,3
57724,Czech Republic,5996.5,11
57743,Czech Republic,2498.5416666666665,15
58254,Czech Republic,5097.025,2
58603,Czech Republic,5996.5,6
58985,Czech Republic,8994.75,20
59011,Czech Republic,5117.013333333333,13
59062,Czech Republic,3997.6666666666665,3
59241,Czech Republic,7495.625,7
59628,Czech Republic,4497.375,5
59944,Czech Republic,2298.6583333333333,4
60018,Czech Republic,7995.333333333333,4
60201,Czech Republic,249.85416666666666,19
60284,Czech Republic,5996.5,5
60918,Czech Republic,8495.041666666666,17
61257,Czech Republic,12992.416666666666,21
61555,Czech Republic,4597.316666666667,3
61622,Czech Republic,11993.0,25
61733,Czech Republic,19988.333333333332,20
61834,Czech Republic,11993.0,12
62347,Czech Republic,4497.375,7
62453,Czech Republic,4997.083333333333,1
62527,Czech Republic,749.5625,13
62748,Czech Republic,13991.833333333332,17
63008,Czech Republic,9194.633333333333,12
63938,Czech Republic,6995.916666666666,7
64508,Czech Republic,8994.75,6
64548,Czech Republic,19988.333333333332,21
