,Country,Monthly_Sal_EUR,YearsCodePro
1819,Denmark,13563.38383838383,7.0
7651,Denmark,5376.344086021508,3.0
9016,Denmark,9856.630824372749,14.0
9171,Denmark,9396.22507122507,12.0
11166,Denmark,17989.5,18.0
11910,Denmark,6272.401433691758,3.0
11912,Denmark,7885.304659498208,3.0
14248,Denmark,8960.573476702499,20.0
18036,Denmark,1290.3225806451583,1.0
18821,Denmark,5796.594982078849,5.0
21969,Denmark,4838.709677419358,5.0
23890,Denmark,9856.630824372749,20.0
30519,Denmark,367.3835125448025,7.0
40137,Denmark,6272.401433691758,7.0
40675,Denmark,593.5422602089266,2.0
45516,Denmark,7595.566666666667,6.0
49255,Denmark,8234.911616161617,8.0
