,Country,Monthly_Sal_EUR,EdLevel
595,Denmark,3497.958333333333,Secondary school
789,Denmark,149.9125,Associate degree
1326,Denmark,5496.791666666666,Bachelor's degree
1440,Denmark,4297.491666666667,Master's degree
1795,Denmark,1429.1658333333335,Bachelor's degree
2357,Denmark,2998.25,college/university without bachelor's degree
2975,Denmark,5496.791666666666,Master's degree
3630,Denmark,6496.208333333333,Master's degree
3765,Denmark,4397.433333333333,Master's degree
3789,Denmark,4997.083333333333,Master's degree
4209,Denmark,3398.016666666667,Bachelor's degree
4311,Denmark,549.6791666666667,Secondary school
4611,Denmark,1199.3,Bachelor's degree
4824,Denmark,5996.5,Master's degree
4898,Denmark,5896.5583333333325,college/university without bachelor's degree
5151,Denmark,4647.2875,Master's degree
5667,Denmark,5496.791666666666,Associate degree
5707,Denmark,5996.5,Associate degree
5827,Denmark,4168.866741666667,Doctoral degree
6504,Denmark,3997.6666666666665,Associate degree
6716,Denmark,799.5333333333333,Master's degree
6808,Denmark,2798.366666666667,Secondary school
6851,Denmark,4497.375,Bachelor's degree
7286,Denmark,5496.791666666666,Master's degree
7777,Denmark,7995.333333333333,Bachelor's degree
8373,Denmark,5996.5,Bachelor's degree
8605,Denmark,4297.491666666667,Bachelor's degree
8794,Denmark,6196.383333333333,Bachelor's degree
8896,Denmark,3597.9,Professional degree
9150,Denmark,4747.229166666666,Bachelor's degree
9524,Denmark,6796.033333333334,Master's degree
10270,Denmark,2998.25,Master's degree
10301,Denmark,3497.958333333333,Master's degree
10499,Denmark,4997.083333333333,Master's degree
11018,Denmark,5606.727499999999,Bachelor's degree
11147,Denmark,2398.6,college/university without bachelor's degree
11968,Denmark,3198.133333333333,Associate degree
12102,Denmark,10993.583333333332,Master's degree
12402,Denmark,2998.25,Secondary school
12456,Denmark,6596.15,Doctoral degree
12725,Denmark,4597.316666666667,Bachelor's degree
12814,Denmark,4697.258333333333,Master's degree
13116,Denmark,2498.5416666666665,Secondary school
13295,Denmark,4447.404166666666,Doctoral degree
13456,Denmark,4997.083333333333,college/university without bachelor's degree
13524,Denmark,2998.25,Secondary school
13907,Denmark,2298.6583333333333,Master's degree
14107,Denmark,5097.025,Master's degree
14124,Denmark,7995.333333333333,Master's degree
14151,Denmark,4497.375,Bachelor's degree
14215,Denmark,7295.741666666667,Bachelor's degree
14548,Denmark,3997.6666666666665,Bachelor's degree
14579,Denmark,1998.8333333333333,Master's degree
14607,Denmark,2398.6,Bachelor's degree
14844,Denmark,2998.25,Bachelor's degree
15237,Denmark,4997.083333333333,Primary/elementary school
15309,Denmark,6995.916666666666,Associate degree
15553,Denmark,2698.425,Master's degree
15950,Denmark,2598.483333333333,Associate degree
16050,Denmark,3198.133333333333,Bachelor's degree
16075,Denmark,2898.3083333333334,Master's degree
16134,Denmark,3997.6666666666665,college/university without bachelor's degree
17169,Denmark,5037.0599999999995,Master's degree
17268,Denmark,999.4166666666666,Bachelor's degree
17309,Denmark,5346.879166666667,Master's degree
17399,Denmark,5496.791666666666,college/university without bachelor's degree
17508,Denmark,1748.9791666666665,Bachelor's degree
17847,Denmark,4297.491666666667,Bachelor's degree
18092,Denmark,4997.083333333333,Master's degree
18463,Denmark,4197.549999999999,Master's degree
19002,Denmark,4497.375,Master's degree
19161,Denmark,4697.258333333333,Doctoral degree
19380,Denmark,3697.8416666666662,Doctoral degree
19467,Denmark,4297.491666666667,Bachelor's degree
19771,Denmark,4837.176666666666,Master's degree
20047,Denmark,4297.491666666667,Bachelor's degree
20085,Denmark,799.5333333333333,Bachelor's degree
20102,Denmark,3110.0847249999997,Bachelor's degree
20283,Denmark,254.85125,Bachelor's degree
20610,Denmark,3797.7833333333333,Master's degree
21171,Denmark,3697.8416666666662,Bachelor's degree
21648,Denmark,6995.916666666666,Master's degree
22209,Denmark,1848.9208333333331,Secondary school
22416,Denmark,4997.083333333333,Doctoral degree
