,Country,Monthly_Sal_EUR,EdLevel
4647,Dominican Republic,3118.1800000000003,college/university without bachelor's degree
11856,Dominican Republic,6995.916666666666,Bachelor's degree
13194,Dominican Republic,7495.625,Bachelor's degree
13693,Dominican Republic,6496.208333333333,Bachelor's degree
15054,Dominican Republic,9994.166666666666,Bachelor's degree
15185,Dominican Republic,9494.458333333332,Bachelor's degree
16622,Dominican Republic,6905.969166666667,college/university without bachelor's degree
16757,Dominican Republic,6696.091666666667,Bachelor's degree
17321,Dominican Republic,3897.7250000000004,Bachelor's degree
17719,Dominican Republic,9194.633333333333,Bachelor's degree
20257,Dominican Republic,4497.375,college/university without bachelor's degree
23074,Dominican Republic,7245.770833333333,college/university without bachelor's degree
23896,Dominican Republic,6995.916666666666,Bachelor's degree
25370,Dominican Republic,9994.166666666666,Bachelor's degree
25645,Dominican Republic,9994.166666666666,Bachelor's degree
25721,Dominican Republic,6995.916666666666,Associate degree
27056,Dominican Republic,3148.1625000000004,college/university without bachelor's degree
32225,Dominican Republic,3997.6666666666665,college/university without bachelor's degree
32964,Dominican Republic,3997.6666666666665,college/university without bachelor's degree
33064,Dominican Republic,119.93,college/university without bachelor's degree
34158,Dominican Republic,6496.208333333333,Bachelor's degree
34194,Dominican Republic,99.94166666666666,college/university without bachelor's degree
34196,Dominican Republic,4197.549999999999,Associate degree
34534,Dominican Republic,5496.791666666666,college/university without bachelor's degree
39014,Dominican Republic,239.86,Bachelor's degree
40337,Dominican Republic,10493.875,Bachelor's degree
44806,Dominican Republic,149.9125,Bachelor's degree
46561,Dominican Republic,11493.291666666666,Bachelor's degree
48360,Dominican Republic,8495.041666666666,Master's degree
48565,Dominican Republic,499.7083333333333,college/university without bachelor's degree
51858,Dominican Republic,10993.583333333332,Associate degree
52475,Dominican Republic,2398.6,Professional degree
56571,Dominican Republic,3497.958333333333,Master's degree
57006,Dominican Republic,8894.808333333332,Professional degree
57835,Dominican Republic,2798.366666666667,Professional degree
58722,Dominican Republic,2998.25,Bachelor's degree
61648,Dominican Republic,4997.083333333333,Bachelor's degree
63876,Dominican Republic,249.85416666666666,college/university without bachelor's degree
