,Country,Monthly_Sal_EUR,YearsCodePro
4647,Dominican Republic,3118.1800000000003,10
11856,Dominican Republic,6995.916666666666,4
13194,Dominican Republic,7495.625,5
13693,Dominican Republic,6496.208333333333,3
15054,Dominican Republic,9994.166666666666,4
15185,Dominican Republic,9494.458333333332,10
16622,Dominican Republic,6905.969166666667,1
16757,Dominican Republic,6696.091666666667,3
17321,Dominican Republic,3897.7250000000004,4
17719,Dominican Republic,9194.633333333333,10
20257,Dominican Republic,4497.375,3
23074,Dominican Republic,7245.770833333333,3
23896,Dominican Republic,6995.916666666666,13
25370,Dominican Republic,9994.166666666666,16
25645,Dominican Republic,9994.166666666666,5
25721,Dominican Republic,6995.916666666666,4
27056,Dominican Republic,3148.1625000000004,3
32225,Dominican Republic,3997.6666666666665,5
32964,Dominican Republic,3997.6666666666665,3
33064,Dominican Republic,119.93,4
34158,Dominican Republic,6496.208333333333,4
34194,Dominican Republic,99.94166666666666,4
34196,Dominican Republic,4197.549999999999,1
34534,Dominican Republic,5496.791666666666,15
39014,Dominican Republic,239.86,6
40337,Dominican Republic,10493.875,4
44806,Dominican Republic,149.9125,9
46561,Dominican Republic,11493.291666666666,6
48360,Dominican Republic,8495.041666666666,3
48565,Dominican Republic,499.7083333333333,7
51858,Dominican Republic,10993.583333333332,2
52475,Dominican Republic,2398.6,11
56571,Dominican Republic,3497.958333333333,3
57006,Dominican Republic,8894.808333333332,10
57835,Dominican Republic,2798.366666666667,1
58722,Dominican Republic,2998.25,1
60168,Dominican Republic,4997.083333333333,1
61648,Dominican Republic,4997.083333333333,2
63876,Dominican Republic,249.85416666666666,5
