,Country,Monthly_Sal_EUR,YearsCodePro
2726,Ecuador,3358.04,15
3316,Ecuador,1918.88,3
10542,Ecuador,3597.9,9
16631,Ecuador,4197.549999999999,9
22866,Ecuador,1199.3,9
25497,Ecuador,2098.7749999999996,0
27353,Ecuador,1559.0900000000001,3
34959,Ecuador,1798.95,6
36305,Ecuador,6995.916666666666,12
41831,Ecuador,2158.74,3
50374,Ecuador,2398.6,3
55003,Ecuador,2878.32,3
57997,Ecuador,719.58,3
59765,Ecuador,1175.3139999999999,0
62362,Ecuador,2158.74,6
63619,Ecuador,1439.16,0
68781,Ecuador,2398.6,18
69723,Ecuador,1679.02,12
70747,Ecuador,2998.25,15
73954,Ecuador,1798.95,6
75653,Ecuador,599.65,0
77922,Ecuador,359.79,0
83713,Ecuador,2638.46,18
86079,Ecuador,449.7375,0
