,Country,Monthly_Sal_EUR,EdLevel
340,Ecuador,299.825,Master's degree
946,Ecuador,1798.95,Bachelor's degree
5464,Ecuador,189.88916666666665,Master's degree
6538,Ecuador,199.88333333333333,Bachelor's degree
8865,Ecuador,49.97083333333333,Bachelor's degree
9397,Ecuador,110.93525,Master's degree
9457,Ecuador,199.88333333333333,Doctoral degree
10178,Ecuador,1429.1658333333335,Bachelor's degree
12684,Ecuador,399.76666666666665,Bachelor's degree
12720,Ecuador,209.8775,Master's degree
13233,Ecuador,49.97083333333333,Bachelor's degree
15936,Ecuador,199.88333333333333,Bachelor's degree
17822,Ecuador,499.7083333333333,Bachelor's degree
20927,Ecuador,9354.539999999999,Bachelor's degree
24988,Ecuador,79.95333333333333,Bachelor's degree
26803,Ecuador,6236.360000000001,college/university without bachelor's degree
29131,Ecuador,899.475,Master's degree
29645,Ecuador,2878.32,college/university without bachelor's degree
30134,Ecuador,99.94166666666666,Bachelor's degree
30347,Ecuador,4797.2,Master's degree
31212,Ecuador,1299.2416666666666,Bachelor's degree
31792,Ecuador,74.95625,Bachelor's degree
33096,Ecuador,129.92416666666668,Master's degree
35921,Ecuador,108.53665000000001,Bachelor's degree
36287,Ecuador,99.94166666666666,Bachelor's degree
36701,Ecuador,319.81333333333333,Bachelor's degree
37160,Ecuador,46.97258333333333,college/university without bachelor's degree
38721,Ecuador,44.97375,Bachelor's degree
40545,Ecuador,319.81333333333333,Associate degree
42802,Ecuador,399.76666666666665,Professional degree
43015,Ecuador,249.85416666666666,Bachelor's degree
46562,Ecuador,59.965,college/university without bachelor's degree
48775,Ecuador,179.895,Bachelor's degree
49698,Ecuador,99.94166666666666,Associate degree
49756,Ecuador,234.86291666666665,Bachelor's degree
51208,Ecuador,199.88333333333333,Bachelor's degree
52996,Ecuador,199.88333333333333,Bachelor's degree
53518,Ecuador,109.93583333333333,Bachelor's degree
54083,Ecuador,109.93583333333333,Bachelor's degree
55400,Ecuador,12.492708333333333,college/university without bachelor's degree
56085,Ecuador,149.9125,Master's degree
58114,Ecuador,279.83666666666664,Bachelor's degree
64952,Ecuador,199.88333333333333,Bachelor's degree
68840,Ecuador,279.83666666666664,Master's degree
69428,Ecuador,149.9125,Bachelor's degree
71643,Ecuador,221.37079166666666,Master's degree
74498,Ecuador,9994.166666666666,Bachelor's degree
75678,Ecuador,51.96966666666666,Primary/elementary school
78290,Ecuador,299.825,Master's degree
79466,Ecuador,174.89791666666667,college/university without bachelor's degree
80842,Ecuador,469.7258333333333,Master's degree
85257,Ecuador,119.93,college/university without bachelor's degree
86207,Ecuador,2198.7166666666667,Bachelor's degree
86604,Ecuador,2398.6,Bachelor's degree
87321,Ecuador,62.963249999999995,Bachelor's degree
