,Country,Monthly_Sal_EUR,EdLevel
3866,El Salvador,159.90666666666667,Master's degree
5140,El Salvador,2498.5416666666665,Doctoral degree
6638,El Salvador,3917.713333333333,Master's degree
7048,El Salvador,1998.8333333333333,college/university without bachelor's degree
8455,El Salvador,99.94166666666666,Associate degree
11202,El Salvador,124.92708333333333,Bachelor's degree
17092,El Salvador,69.95916666666666,Secondary school
17674,El Salvador,199.88333333333333,Master's degree
20515,El Salvador,69.95916666666666,Professional degree
25154,El Salvador,99.94166666666666,Bachelor's degree
28106,El Salvador,199.88333333333333,Master's degree
29939,El Salvador,249.85416666666666,college/university without bachelor's degree
30548,El Salvador,99.94166666666666,Bachelor's degree
35995,El Salvador,239.86,Professional degree
39702,El Salvador,1199.3,Bachelor's degree
43389,El Salvador,239.86,college/university without bachelor's degree
45045,El Salvador,99.94166666666666,college/university without bachelor's degree
45442,El Salvador,271.8413333333333,Bachelor's degree
49130,El Salvador,159.90666666666667,Bachelor's degree
52423,El Salvador,189.88916666666665,Bachelor's degree
52463,El Salvador,109.93583333333333,Bachelor's degree
52672,El Salvador,64.96208333333334,college/university without bachelor's degree
54978,El Salvador,159.90666666666667,college/university without bachelor's degree
55204,El Salvador,349.79583333333335,Bachelor's degree
59223,El Salvador,89.9475,Bachelor's degree
61413,El Salvador,49.97083333333333,Professional degree
64148,El Salvador,6995.916666666666,Bachelor's degree
66707,El Salvador,69.95916666666666,Professional degree
67511,El Salvador,219.87166666666667,Bachelor's degree
67864,El Salvador,9994.166666666666,Master's degree
67940,El Salvador,149.9125,Professional degree
68700,El Salvador,51.96966666666666,Bachelor's degree
71734,El Salvador,199.88333333333333,Bachelor's degree
72133,El Salvador,139.91833333333332,Bachelor's degree
72232,El Salvador,3.9976666666666665,Secondary school
73138,El Salvador,69.95916666666666,college/university without bachelor's degree
75507,El Salvador,1699.0083333333334,Bachelor's degree
75827,El Salvador,13492.125,Bachelor's degree
78010,El Salvador,279.83666666666664,Bachelor's degree
80145,El Salvador,179.895,Associate degree
80584,El Salvador,49.27124166666667,Professional degree
80797,El Salvador,279.83666666666664,Bachelor's degree
81021,El Salvador,184.89208333333332,Bachelor's degree
81942,El Salvador,119.93,Professional degree
82641,El Salvador,129.92416666666668,Bachelor's degree
