,Country,Monthly_Sal_EUR,YearsCodePro
4584,El Salvador,29.9825,1
9050,El Salvador,229.8658333333333,6
17044,El Salvador,199.88333333333333,8
28621,El Salvador,89.9475,1
29537,El Salvador,2798.366666666667,6
30104,El Salvador,129.92416666666668,8
34675,El Salvador,1299.2416666666666,11
34902,El Salvador,59.965,4
34973,El Salvador,149.9125,2
46639,El Salvador,3697.8416666666662,20
51209,El Salvador,123.32801666666667,1
52155,El Salvador,29.9825,1
52168,El Salvador,69.95916666666666,2
56734,El Salvador,159.00719166666667,4
62274,El Salvador,12.492708333333333,1
63650,El Salvador,129.92416666666668,5
65880,El Salvador,9994.166666666666,12
66846,El Salvador,69.95916666666666,2
67053,El Salvador,69.95916666666666,1
70329,El Salvador,1679.02,1
77813,El Salvador,199.88333333333333,12
