,Country,Monthly_Sal_EUR,EdLevel
121,Estonia,279.83666666666664,Master's degree
599,Estonia,149.9125,college/university without bachelor's degree
1315,Estonia,299.825,Bachelor's degree
2160,Estonia,289.8308333333333,Secondary school
2221,Estonia,249.85416666666666,college/university without bachelor's degree
3012,Estonia,269.8425,Bachelor's degree
3574,Estonia,419.755,Bachelor's degree
3785,Estonia,279.83666666666664,Master's degree
4066,Estonia,239.86,Master's degree
4466,Estonia,299.825,Bachelor's degree
4696,Estonia,339.8016666666666,Bachelor's degree
4949,Estonia,329.8075,college/university without bachelor's degree
5080,Estonia,359.79,Secondary school
5082,Estonia,299.825,Master's degree
6009,Estonia,749.5625,Master's degree
6157,Estonia,468.026825,Secondary school
6204,Estonia,99.94166666666666,Secondary school
9681,Estonia,279.83666666666664,Master's degree
10461,Estonia,269.8425,Master's degree
11079,Estonia,199.88333333333333,Bachelor's degree
11882,Estonia,199.88333333333333,Master's degree
12872,Estonia,349.79583333333335,Secondary school
13082,Estonia,409.7608333333333,Master's degree
13545,Estonia,74.95625,college/university without bachelor's degree
15451,Estonia,269.8425,Bachelor's degree
15599,Estonia,429.7491666666666,Bachelor's degree
16762,Estonia,129.92416666666668,Bachelor's degree
16861,Estonia,99.94166666666666,college/university without bachelor's degree
17296,Estonia,5396.85,Bachelor's degree
18087,Estonia,3098.1916666666666,college/university without bachelor's degree
18260,Estonia,219.87166666666667,Primary/elementary school
21452,Estonia,264.84541666666667,college/university without bachelor's degree
22339,Estonia,209.8775,Bachelor's degree
23002,Estonia,899.475,Bachelor's degree
23131,Estonia,299.825,Bachelor's degree
24438,Estonia,499.7083333333333,Secondary school
24464,Estonia,299.825,college/university without bachelor's degree
24678,Estonia,199.88333333333333,Associate degree
25604,Estonia,499.7083333333333,college/university without bachelor's degree
25883,Estonia,249.85416666666666,Bachelor's degree
26582,Estonia,319.81333333333333,Master's degree
27037,Estonia,199.88333333333333,Bachelor's degree
28466,Estonia,6995.916666666666,Secondary school
30322,Estonia,149.9125,Bachelor's degree
30779,Estonia,149.9125,Bachelor's degree
31395,Estonia,245.8565,Secondary school
31486,Estonia,199.88333333333333,Master's degree
31756,Estonia,99.94166666666666,Master's degree
32113,Estonia,4397.433333333333,Secondary school
34413,Estonia,349.79583333333335,Doctoral degree
34905,Estonia,239.86,Master's degree
34969,Estonia,199.88333333333333,Secondary school
37566,Estonia,229.8658333333333,Bachelor's degree
37671,Estonia,179.895,Bachelor's degree
38174,Estonia,464.72875,college/university without bachelor's degree
38373,Estonia,4997.083333333333,Bachelor's degree
38449,Estonia,179.895,Bachelor's degree
38771,Estonia,149.9125,college/university without bachelor's degree
41879,Estonia,329.8075,Bachelor's degree
42727,Estonia,249.85416666666666,college/university without bachelor's degree
42759,Estonia,429.7491666666666,college/university without bachelor's degree
42764,Estonia,5996.5,Secondary school
44393,Estonia,119.93,college/university without bachelor's degree
45258,Estonia,159.90666666666667,college/university without bachelor's degree
45316,Estonia,299.825,college/university without bachelor's degree
46482,Estonia,359.79,Master's degree
46591,Estonia,219.87166666666667,college/university without bachelor's degree
47368,Estonia,249.85416666666666,college/university without bachelor's degree
47871,Estonia,389.77250000000004,Master's degree
48030,Estonia,5996.5,college/university without bachelor's degree
48264,Estonia,3497.958333333333,Secondary school
48474,Estonia,359.79,Master's degree
50757,Estonia,109.93583333333333,Secondary school
50844,Estonia,109.93583333333333,Master's degree
50857,Estonia,259.84833333333336,Bachelor's degree
52238,Estonia,219.87166666666667,college/university without bachelor's degree
53078,Estonia,69.95916666666666,Secondary school
53171,Estonia,49.97083333333333,Bachelor's degree
53695,Estonia,229.8658333333333,Bachelor's degree
53732,Estonia,3248.1041666666665,Bachelor's degree
54512,Estonia,249.85416666666666,Bachelor's degree
55488,Estonia,299.825,Bachelor's degree
56302,Estonia,319.81333333333333,college/university without bachelor's degree
57196,Estonia,179.895,college/university without bachelor's degree
58249,Estonia,149.9125,Bachelor's degree
58331,Estonia,239.86,Master's degree
59078,Estonia,499.7083333333333,Secondary school
61062,Estonia,589.6558333333332,college/university without bachelor's degree
61953,Estonia,319.81333333333333,Master's degree
62529,Estonia,199.88333333333333,Master's degree
63449,Estonia,209.8775,Bachelor's degree
64705,Estonia,305.22185,college/university without bachelor's degree
65356,Estonia,239.86,Bachelor's degree
65479,Estonia,179.895,Bachelor's degree
66212,Estonia,199.88333333333333,college/university without bachelor's degree
66266,Estonia,259.84833333333336,college/university without bachelor's degree
66949,Estonia,599.65,college/university without bachelor's degree
67309,Estonia,239.86,Master's degree
67614,Estonia,274.83958333333334,Bachelor's degree
67713,Estonia,299.825,Master's degree
68178,Estonia,279.83666666666664,Master's degree
68287,Estonia,239.86,college/university without bachelor's degree
69042,Estonia,499.7083333333333,Master's degree
69306,Estonia,359.79,Secondary school
69924,Estonia,339.8016666666666,Master's degree
71497,Estonia,199.88333333333333,Secondary school
71586,Estonia,349.79583333333335,Master's degree
71894,Estonia,24.985416666666666,Professional degree
72366,Estonia,259.84833333333336,Master's degree
72809,Estonia,159.90666666666667,Bachelor's degree
73326,Estonia,2798.366666666667,Master's degree
73887,Estonia,485.81644166666666,Bachelor's degree
75040,Estonia,339.8016666666666,Bachelor's degree
75132,Estonia,149.9125,Bachelor's degree
75435,Estonia,849.5041666666667,college/university without bachelor's degree
75563,Estonia,399.76666666666665,Master's degree
75814,Estonia,289.8308333333333,college/university without bachelor's degree
76002,Estonia,239.86,Bachelor's degree
76303,Estonia,449.7375,college/university without bachelor's degree
76409,Estonia,319.81333333333333,Professional degree
76419,Estonia,449.7375,Master's degree
76907,Estonia,259.84833333333336,Bachelor's degree
78502,Estonia,299.825,college/university without bachelor's degree
78795,Estonia,8694.925,Secondary school
79267,Estonia,269.8425,Bachelor's degree
79310,Estonia,198.88391666666666,Secondary school
80040,Estonia,67.460625,college/university without bachelor's degree
80692,Estonia,213.87516666666664,Doctoral degree
80778,Estonia,359.79,college/university without bachelor's degree
81356,Estonia,349.79583333333335,college/university without bachelor's degree
82117,Estonia,4397.433333333333,college/university without bachelor's degree
82755,Estonia,499.7083333333333,Master's degree
84120,Estonia,349.79583333333335,college/university without bachelor's degree
84585,Estonia,129.92416666666668,Associate degree
85369,Estonia,449.7375,Master's degree
87338,Estonia,309.81916666666666,Primary/elementary school
88044,Estonia,6995.916666666666,college/university without bachelor's degree
88100,Estonia,599.65,Bachelor's degree
