,Country,Monthly_Sal_EUR,EdLevel
9850,Ethiopia,599.65,Bachelor's degree
10263,Ethiopia,830.51525,Bachelor's degree
10305,Ethiopia,1199.3,Bachelor's degree
10811,Ethiopia,999.4166666666666,Bachelor's degree
13312,Ethiopia,999.4166666666666,Master's degree
14271,Ethiopia,3597.9,Bachelor's degree
14993,Ethiopia,999.4166666666666,Bachelor's degree
16234,Ethiopia,299.825,Bachelor's degree
22465,Ethiopia,24.38576666666667,Bachelor's degree
30786,Ethiopia,1998.8333333333333,Bachelor's degree
49306,Ethiopia,659.615,Bachelor's degree
54374,Ethiopia,999.4166666666666,Bachelor's degree
54391,Ethiopia,2998.25,college/university without bachelor's degree
54392,Ethiopia,829.5158333333334,Bachelor's degree
58803,Ethiopia,3208.1274999999996,Bachelor's degree
