,Country,Monthly_Sal_EUR,YearsCodePro
254,Finland,4997.083333333333,7
527,Finland,349.79583333333335,10
956,Finland,299.825,13
1244,Finland,399.76666666666665,8
1247,Finland,509.7025,20
1495,Finland,649.6208333333333,15
1529,Finland,108.93641666666667,1
1747,Finland,549.6791666666667,18
1915,Finland,389.77250000000004,15
2379,Finland,449.7375,7
2425,Finland,819.5216666666666,23
2579,Finland,8495.041666666666,22
2616,Finland,6496.208333333333,5
3580,Finland,609.6441666666667,26
4526,Finland,5996.5,20
6396,Finland,499.7083333333333,8
6691,Finland,458.73225,18
6802,Finland,409.7608333333333,15
6901,Finland,261.8471666666667,1
6916,Finland,119.93,3
7014,Finland,649.6208333333333,23
7162,Finland,279.83666666666664,1
7175,Finland,199.88333333333333,3
7367,Finland,419.755,13
7775,Finland,299.825,10
7776,Finland,619.6383333333333,9
7831,Finland,1599.0666666666666,10
7834,Finland,319.81333333333333,1
8564,Finland,449.7375,12
9362,Finland,5596.733333333334,10
9674,Finland,269.8425,1
10499,Finland,459.7316666666666,7
10523,Finland,4547.345833333333,7
10527,Finland,339.8016666666666,3
10532,Finland,6496.208333333333,10
10559,Finland,6995.916666666666,7
10656,Finland,5996.5,20
10684,Finland,428.74975,11
10722,Finland,244.85708333333332,1
10750,Finland,184.39237500000002,3
10833,Finland,449.7375,6
10905,Finland,459.7316666666666,35
10929,Finland,329.8075,3
10937,Finland,449.7375,15
11070,Finland,399.76666666666665,13
11112,Finland,9994.166666666666,22
11583,Finland,999.4166666666666,14
11684,Finland,379.7783333333333,5
11904,Finland,4722.24375,7
11950,Finland,338.70230833333335,3
12144,Finland,499.7083333333333,17
12152,Finland,364.78708333333327,3
12225,Finland,199.88333333333333,1
13094,Finland,319.81333333333333,9
13244,Finland,399.76666666666665,6
13262,Finland,4497.375,5
13412,Finland,407.762,17
13467,Finland,549.6791666666667,11
13497,Finland,5496.791666666666,5
13750,Finland,274.83958333333334,1
14315,Finland,299.825,12
14790,Finland,499.7083333333333,18
15108,Finland,414.7579166666667,4
