,Country,Monthly_Sal_EUR,YearsCodePro
56,France,8495.041666666666,1
194,France,3897.7250000000004,16
256,France,179.895,1
339,France,341.60061666666667,1
349,France,4797.2,3
355,France,5496.791666666666,14
380,France,249.85416666666666,1
400,France,10993.583333333332,25
410,France,173.8985,3
474,France,3697.8416666666662,5
495,France,5996.5,18
554,France,4297.491666666667,20
568,France,6496.208333333333,6
656,France,3997.6666666666665,5
689,France,3497.958333333333,7
711,France,2098.7749999999996,1
741,France,2098.7749999999996,15
816,France,519.6966666666667,9
841,France,3597.9,4
881,France,5196.966666666666,5
914,France,199.88333333333333,1
916,France,3398.016666666667,4
947,France,399.76666666666665,18
1039,France,6995.916666666666,13
1127,France,174.89791666666667,4
1150,France,289.8308333333333,5
1183,France,6296.325000000001,6
1188,France,5996.5,17
1298,France,3198.133333333333,2
1322,France,259.84833333333336,12
1363,France,6196.383333333333,20
1496,France,149.9125,3
1747,France,6296.325000000001,28
1764,France,3597.9,29
1771,France,3997.6666666666665,3
1781,France,5996.5,15
1793,France,5296.908333333333,10
1800,France,159.90666666666667,1
1889,France,279.83666666666664,6
2051,France,199.88333333333333,1
2074,France,5496.791666666666,5
2078,France,7995.333333333333,3
2124,France,209.8775,1
2150,France,269.8425,5
2177,France,2798.366666666667,1
2182,France,4497.375,9
2217,France,3198.133333333333,13
2264,France,14991.25,20
2306,France,8794.866666666667,15
2579,France,4197.549999999999,3
2582,France,4997.083333333333,3
2599,France,4097.608333333334,3
2659,France,292.8290833333333,3
2669,France,2898.3083333333334,1
2672,France,224.86875,1
2726,France,6496.208333333333,10
2784,France,3597.9,8
2825,France,5996.5,11
2912,France,239.86,4
3037,France,5996.5,9
3129,France,4497.375,1
3133,France,199.88333333333333,3
3295,France,1918.88,2
3356,France,5496.791666666666,20
3413,France,3997.6666666666665,2
3465,France,309.81916666666666,4
3571,France,4497.375,3
3587,France,4997.083333333333,3
3596,France,3298.075,6
3622,France,109.93583333333333,3
3638,France,4797.2,5
3655,France,5196.966666666666,7
3758,France,2798.366666666667,1
3830,France,209.8775,5
3843,France,269.8425,11
3854,France,6846.004166666667,9
3868,France,5496.791666666666,9
3886,France,3997.6666666666665,6
3922,France,3148.1625000000004,1
4017,France,4997.083333333333,6
4028,France,3497.958333333333,5
4106,France,249.85416666666666,10
4141,France,4497.375,5
4235,France,3697.8416666666662,6
4275,France,249.85416666666666,11
4276,France,216.47365000000002,2
4343,France,4497.375,1
4366,France,269.8425,4
4369,France,5496.791666666666,4
4378,France,4497.375,15
4460,France,3268.0924999999997,7
4518,France,3597.9,12
4694,France,3747.8125,7
4810,France,4597.316666666667,18
4839,France,4797.2,8
4857,France,222.86991666666665,2
4959,France,7295.741666666667,18
5066,France,469.7258333333333,25
5196,France,4197.549999999999,1
5199,France,4597.316666666667,3
5259,France,2798.366666666667,18
5282,France,299.825,5
5389,France,3717.83,8
5454,France,5496.791666666666,7
5483,France,3797.7833333333333,5
5515,France,6496.208333333333,12
5530,France,119.93,1
5552,France,3797.7833333333333,6
5574,France,5996.5,11
5623,France,10993.583333333332,15
5698,France,399.76666666666665,13
5713,France,4347.4625,2
5738,France,5796.616666666667,19
5834,France,4997.083333333333,10
5925,France,4997.083333333333,5
5990,France,7495.625,20
6047,France,349.79583333333335,9
6066,France,4497.375,10
6079,France,279.83666666666664,8
6092,France,5296.908333333333,4
6100,France,4297.491666666667,16
6109,France,4597.316666666667,9
6126,France,102.93991666666666,3
6148,France,5468.508175,5
6156,France,4097.608333333334,11
6251,France,2573.4979166666667,2
6410,France,4297.491666666667,4
6428,France,309.81916666666666,11
6444,France,119.93,2
6478,France,6796.033333333334,11
6480,France,3198.133333333333,10
6561,France,2198.7166666666667,4
6568,France,4047.6375,3
6605,France,91.34668333333333,4
6677,France,3198.133333333333,2
6707,France,3997.6666666666665,1
6865,France,9994.166666666666,18
6866,France,3837.76,2
6939,France,3552.9262499999995,5
7209,France,469.7258333333333,14
7276,France,257.34979166666665,2
7292,France,5596.733333333334,8
7322,France,3198.133333333333,4
7369,France,1898.8916666666667,3
7374,France,10194.05,16
7402,France,3797.7833333333333,2
7421,France,499.7083333333333,10
7522,France,299.825,3
7529,France,4197.549999999999,2
7788,France,3358.04,5
7845,France,2998.25,1
7940,France,3997.6666666666665,5
7950,France,3597.9,3
7971,France,5796.616666666667,3
7978,France,162.40520833333332,16
8049,France,4997.083333333333,3
8221,France,3497.958333333333,19
8284,France,267.84366666666665,3
8295,France,4947.112499999999,3
8356,France,3348.0458333333336,9
8375,France,339.8016666666666,1
8385,France,192.88741666666664,1
8418,France,2998.25,6
8438,France,3118.1800000000003,7
8487,France,2748.395833333333,1
8507,France,194.88625000000002,2
8537,France,8994.75,20
8615,France,204.88041666666666,4
8653,France,299.825,15
8680,France,3051.0191999999997,3
8738,France,5246.9375,3
8753,France,6196.383333333333,3
9050,France,9894.224999999999,9
9196,France,3298.075,19
9272,France,289.8308333333333,15
9319,France,3697.8416666666662,2
9322,France,2998.25,10
9330,France,3427.9991666666665,1
9343,France,4397.433333333333,2
9368,France,399.76666666666665,35
9583,France,169.9008333333333,3
9613,France,269.8425,22
9645,France,4797.2,5
9698,France,6496.208333333333,6
9772,France,349.79583333333335,12
9838,France,3497.958333333333,9
10101,France,3198.133333333333,4
10109,France,449.7375,10
10156,France,139.91833333333332,3
10189,France,3597.9,2
10237,France,299.825,2
10243,France,74.95625,1
10266,France,5196.966666666666,3
10273,France,2998.25,6
10281,France,5996.5,9
10395,France,9994.166666666666,13
10410,France,4897.141666666666,29
10428,France,4197.549999999999,4
10524,France,124.92708333333333,1
10608,France,19.988333333333333,1
10643,France,449.7375,6
10698,France,5246.9375,15
10760,France,189.88916666666665,1
10857,France,7495.625,9
10981,France,3282.0843333333332,8
10988,France,8994.75,8
10993,France,6995.916666666666,5
11011,France,3597.9,1
11046,France,4897.141666666666,19
11105,France,4997.083333333333,3
11161,France,4097.608333333334,6
11447,France,259.84833333333336,1
11463,France,94.94458333333333,1
11487,France,129.92416666666668,3
11534,France,10893.641666666666,19
11617,France,4497.375,6
11717,France,599.65,23
11745,France,2498.5416666666665,2
11777,France,5196.966666666666,3
11891,France,399.76666666666665,10
11910,France,6196.383333333333,8
11915,France,147.91366666666664,2
11937,France,4997.083333333333,14
11986,France,219.87166666666667,8
11994,France,139.91833333333332,3
12022,France,164.90375,2
12071,France,3497.958333333333,14
12090,France,1599.0666666666666,2
12169,France,5496.791666666666,5
12220,France,429.7491666666666,14
12277,France,4997.083333333333,3
12296,France,3248.1041666666665,1
12328,France,4497.375,5
12330,France,5.996499999999999,5
12353,France,2498.5416666666665,1
12381,France,3597.9,6
12436,France,239.86,4
12476,France,5596.733333333334,11
12485,France,8495.041666666666,10
12494,France,6496.208333333333,8
12669,France,4997.083333333333,5
12678,France,199.88333333333333,1
12701,France,4997.083333333333,13
12751,France,419.755,10
12798,France,277.5380083333333,12
12850,France,3997.6666666666665,4
12881,France,3497.958333333333,3
12889,France,6696.091666666667,12
12911,France,699.5916666666667,20
12925,France,2498.5416666666665,1
13035,France,269.8425,5
13036,France,259.84833333333336,1
13090,France,264.84541666666667,1
13198,France,3997.6666666666665,20
13271,France,4797.2,5
13285,France,3398.016666666667,3
13347,France,229.8658333333333,18
13368,France,3797.7833333333333,2
13411,France,3198.133333333333,2
13504,France,11993.0,10
13511,France,4197.549999999999,2
13553,France,7195.8,11
13555,France,419.755,10
13734,France,131.923,2
13765,France,4497.375,5
13769,France,199.88333333333333,15
13816,France,5796.616666666667,20
13840,France,4297.491666666667,1
13855,France,299.825,1
13876,France,149.9125,3
13906,France,649.6208333333333,24
13982,France,189.88916666666665,20
13988,France,324.81041666666664,5
14061,France,83.35135,1
14074,France,6995.916666666666,11
14089,France,4397.433333333333,14
14110,France,5696.675,19
14133,France,78.95391666666666,2
14167,France,3198.133333333333,1
14208,France,4197.549999999999,10
14266,France,5296.908333333333,5
14314,France,10993.583333333332,21
14340,France,6995.916666666666,8
14496,France,7495.625,3
14513,France,4997.083333333333,3
14521,France,284.83375,9
14625,France,3797.7833333333333,3
14786,France,2698.425,2
14800,France,6995.916666666666,13
14864,France,124.92708333333333,7
14885,France,3497.958333333333,13
14978,France,233.8635,6
15105,France,2998.25,4
15133,France,1998.8333333333333,3
15167,France,3348.0458333333336,6
15196,France,3997.6666666666665,4
15377,France,3497.958333333333,7
15406,France,359.79,1
15416,France,329.8075,4
15421,France,8195.216666666667,9
15423,France,17489.791666666664,5
15463,France,3997.6666666666665,10
15557,France,499.7083333333333,33
15627,France,3997.6666666666665,1
15628,France,5996.5,16
15633,France,6296.325000000001,18
15702,France,254.85125,2
15720,France,4097.608333333334,4
15791,France,299.825,3
15925,France,5496.791666666666,3
15927,France,199.88333333333333,1
15970,France,4997.083333333333,18
15981,France,3997.6666666666665,17
16036,France,5996.5,10
16064,France,4797.2,2
16110,France,2898.3083333333334,1
16131,France,599.65,4
16231,France,279.83666666666664,10
16285,France,5996.5,12
16373,France,1998.8333333333333,3
16505,France,4297.491666666667,13
16586,France,4797.2,3
16675,France,4557.34,8
16752,France,5146.995833333333,7
16763,France,179.895,1
16766,France,3348.0458333333336,5
16778,France,4297.491666666667,5
16823,France,10993.583333333332,15
16862,France,9994.166666666666,12
16905,France,7995.333333333333,18
16934,France,189.88916666666665,2
17035,France,4497.375,5
17145,France,4347.4625,12
17230,France,3098.1916666666666,2
