,Country,Monthly_Sal_EUR,EdLevel
1121,Georgia,2452.5685,Bachelor's degree
2853,Georgia,1679.02,Bachelor's degree
6925,Georgia,1798.95,Bachelor's degree
7977,Georgia,6995.916666666666,Master's degree
8412,Georgia,1168.1182,Master's degree
17452,Georgia,3229.7149,Bachelor's degree
22875,Georgia,140.3181,Bachelor's degree
26410,Georgia,2398.6,Bachelor's degree
29287,Georgia,1232.8804,Bachelor's degree
34876,Georgia,3309.5682916666665,Bachelor's degree
42367,Georgia,175.0978,Secondary school
43761,Georgia,2920.2955,Bachelor's degree
44359,Georgia,224.2691,Bachelor's degree
50683,Georgia,1513.5166,Master's degree
54776,Georgia,3270.4910999999997,Bachelor's degree
55624,Georgia,793.9366,Bachelor's degree
70050,Georgia,479.72,college/university without bachelor's degree
73801,Georgia,327.4089,college/university without bachelor's degree
75649,Georgia,1079.37,Bachelor's degree
80694,Georgia,419.755,Bachelor's degree
