,Country,Monthly_Sal_EUR,EdLevel
13,Germany,414.7579166666667,Doctoral degree
35,Germany,149.9125,Secondary school
43,Germany,639.6266666666667,Bachelor's degree
65,Germany,11993.0,Master's degree
84,Germany,4597.316666666667,Bachelor's degree
92,Germany,219.87166666666667,Bachelor's degree
141,Germany,8195.216666666667,college/university without bachelor's degree
142,Germany,399.76666666666665,Bachelor's degree
153,Germany,6995.916666666666,Master's degree
171,Germany,6796.033333333334,Master's degree
231,Germany,5196.966666666666,Doctoral degree
251,Germany,5196.966666666666,Secondary school
300,Germany,6296.325000000001,Bachelor's degree
329,Germany,6296.325000000001,Master's degree
330,Germany,5696.675,Bachelor's degree
337,Germany,79.95333333333333,Secondary school
375,Germany,579.6616666666666,Secondary school
440,Germany,4997.083333333333,Secondary school
441,Germany,269.8425,Secondary school
458,Germany,4997.083333333333,Bachelor's degree
555,Germany,10493.875,Master's degree
583,Germany,5996.5,Bachelor's degree
591,Germany,354.79291666666666,Bachelor's degree
594,Germany,7895.391666666666,Master's degree
611,Germany,7995.333333333333,Master's degree
692,Germany,4697.258333333333,Bachelor's degree
694,Germany,7795.450000000001,Secondary school
725,Germany,199.88333333333333,Bachelor's degree
787,Germany,5596.733333333334,Master's degree
797,Germany,2898.3083333333334,Secondary school
814,Germany,299.825,Secondary school
819,Germany,5996.5,Master's degree
839,Germany,6975.928333333333,Master's degree
983,Germany,4797.2,Secondary school
1012,Germany,5296.908333333333,college/university without bachelor's degree
1015,Germany,4057.6316666666667,Bachelor's degree
1058,Germany,3997.6666666666665,Bachelor's degree
1060,Germany,479.72,Master's degree
1067,Germany,5866.575833333333,Master's degree
1085,Germany,199.88333333333333,Secondary school
1123,Germany,470.9251333333333,Master's degree
1180,Germany,119.93,Secondary school
1241,Germany,4557.34,Bachelor's degree
1295,Germany,7995.333333333333,Master's degree
1325,Germany,7495.625,Doctoral degree
1329,Germany,174.89791666666667,Master's degree
1395,Germany,8495.041666666666,Bachelor's degree
1408,Germany,5496.791666666666,Master's degree
1411,Germany,44.97375,Secondary school
1435,Germany,4497.375,Master's degree
1513,Germany,6296.325000000001,Doctoral degree
1518,Germany,7495.625,college/university without bachelor's degree
1528,Germany,7195.8,Bachelor's degree
1596,Germany,169.9008333333333,Master's degree
1601,Germany,6796.033333333334,Master's degree
1608,Germany,649.6208333333333,Master's degree
1626,Germany,699.5916666666667,Bachelor's degree
