,Country,Monthly_Sal_EUR,YearsCodePro
13,Germany,414.7579166666667,2
35,Germany,149.9125,1
43,Germany,639.6266666666667,19
65,Germany,11993.0,25
84,Germany,4597.316666666667,14
92,Germany,219.87166666666667,2
141,Germany,8195.216666666667,17
142,Germany,399.76666666666665,20
153,Germany,6995.916666666666,10
171,Germany,6796.033333333334,7
231,Germany,5196.966666666666,5
251,Germany,5196.966666666666,9
300,Germany,6296.325000000001,7
329,Germany,6296.325000000001,3
330,Germany,5696.675,2
337,Germany,79.95333333333333,1
375,Germany,579.6616666666666,16
440,Germany,4997.083333333333,5
441,Germany,269.8425,1
458,Germany,4997.083333333333,5
555,Germany,10493.875,18
583,Germany,5996.5,6
591,Germany,354.79291666666666,3
594,Germany,7895.391666666666,10
611,Germany,7995.333333333333,14
692,Germany,4697.258333333333,3
694,Germany,7795.450000000001,13
725,Germany,199.88333333333333,3
787,Germany,5596.733333333334,3
797,Germany,2898.3083333333334,5
814,Germany,299.825,7
819,Germany,5996.5,14
839,Germany,6975.928333333333,16
983,Germany,4797.2,4
1012,Germany,5296.908333333333,4
1015,Germany,4057.6316666666667,5
1058,Germany,3997.6666666666665,2
1060,Germany,479.72,3
1067,Germany,5866.575833333333,11
1085,Germany,199.88333333333333,1
1123,Germany,470.9251333333333,6
1180,Germany,119.93,2
1241,Germany,4557.34,3
1265,Germany,333.105575,10
1295,Germany,7995.333333333333,11
1325,Germany,7495.625,8
1329,Germany,174.89791666666667,4
1395,Germany,8495.041666666666,5
1408,Germany,5496.791666666666,6
1411,Germany,44.97375,3
1435,Germany,4497.375,3
1495,Germany,7995.333333333333,20
1513,Germany,6296.325000000001,6
1518,Germany,7495.625,22
1528,Germany,7195.8,7
1596,Germany,169.9008333333333,6
1601,Germany,6796.033333333334,10
1608,Germany,649.6208333333333,6
1626,Germany,699.5916666666667,20
1640,Germany,129.92416666666668,1
1676,Germany,299.825,7
1748,Germany,4997.083333333333,10
1760,Germany,3637.876666666667,1
1794,Germany,2240.3923416666667,9
1862,Germany,199.88333333333333,5
1890,Germany,3497.958333333333,20
1903,Germany,4997.083333333333,10
1943,Germany,3597.9,2
2016,Germany,169.9008333333333,2
2018,Germany,4497.375,3
2029,Germany,599.65,8
2047,Germany,104.43904166666667,2
2070,Germany,79.95333333333333,2
