,Country,Monthly_Sal_EUR,YearsCodePro
971,Ghana,4213.1409,3
2898,Ghana,425.75149999999996,6
25702,Ghana,341.80049999999994,0
42590,Ghana,921.0624,3
44174,Ghana,1000.2162,6
48387,Ghana,1843.024275,6
51541,Ghana,1052.9854,3
58995,Ghana,447.3389,0
59501,Ghana,1425.7678166666667,3
64471,Ghana,9478.0679,6
66671,Ghana,147.51389999999998,0
68580,Ghana,1199.3,3
71840,Ghana,551.678,3
74575,Ghana,599.65,0
75658,Ghana,26.3846,0
75807,Ghana,3597.9,6
77315,Ghana,164.90375,0
79722,Ghana,1798.95,6
82583,Ghana,147.51389999999998,0
84807,Ghana,394.5697,0
87149,Ghana,599.65,0
