,Country,Monthly_Sal_EUR,EdLevel
8875,Ghana,399.76666666666665,Bachelor's degree
9376,Ghana,310.8185833333333,Bachelor's degree
13365,Ghana,12.492708333333333,Master's degree
15995,Ghana,499.7083333333333,Bachelor's degree
18641,Ghana,17.289908333333333,Bachelor's degree
18731,Ghana,55.967333333333336,Bachelor's degree
24700,Ghana,1454.351133333333,Secondary school
29822,Ghana,399.76666666666665,Bachelor's degree
33333,Ghana,129.92416666666668,Bachelor's degree
34512,Ghana,499.7083333333333,Bachelor's degree
34959,Ghana,1848.9208333333331,Bachelor's degree
37674,Ghana,399.76666666666665,Bachelor's degree
43698,Ghana,469.7258333333333,Bachelor's degree
45106,Ghana,349.79583333333335,Bachelor's degree
46187,Ghana,199.88333333333333,Bachelor's degree
47439,Ghana,159.90666666666667,Bachelor's degree
51782,Ghana,3497.958333333333,Bachelor's degree
51848,Ghana,199.88333333333333,college/university without bachelor's degree
55189,Ghana,99.94166666666666,Bachelor's degree
55251,Ghana,299.825,Bachelor's degree
56623,Ghana,299.825,Bachelor's degree
56803,Ghana,299.825,Bachelor's degree
56806,Ghana,399.76666666666665,Associate degree
57464,Ghana,149.9125,Bachelor's degree
57728,Ghana,599.65,Master's degree
61617,Ghana,39.97666666666667,Bachelor's degree
63663,Ghana,499.7083333333333,Bachelor's degree
66270,Ghana,1149.3291666666667,college/university without bachelor's degree
67086,Ghana,249.85416666666666,Bachelor's degree
71351,Ghana,69.95916666666666,Master's degree
71863,Ghana,349.79583333333335,Secondary school
75734,Ghana,299.825,Bachelor's degree
80833,Ghana,119.93,Bachelor's degree
82520,Ghana,279.83666666666664,Bachelor's degree
83256,Ghana,99.94166666666666,Bachelor's degree
