,Country,Monthly_Sal_EUR,EdLevel
247,Greece,179.21146953404997,Master's degree
1347,Greece,2460.035842293908,Master's degree
1818,Greece,1827.9569892473082,Bachelor's degree
3330,Greece,1630.8243727598583,Master's degree
3455,Greece,2867.3835125447995,college/university without bachelor's degree
3467,Greece,1075.2688172043,Master's degree
3742,Greece,1792.1146953404998,Master's degree
4059,Greece,143.36917562724,Bachelor's degree
4096,Greece,1693.5483870967748,Master's degree
4115,Greece,89.60573476702498,Master's degree
4233,Greece,2329.74910394265,Master's degree
5015,Greece,4032.258064516125,Bachelor's degree
5459,Greece,2240.1433691756247,Master's degree
5463,Greece,4480.2867383512585,Master's degree
5527,Greece,1344.086021505375,Bachelor's degree
6309,Greece,67.20430107526883,Bachelor's degree
6654,Greece,4480.2867383512585,Master's degree
7236,Greece,4032.258064516125,Master's degree
7802,Greece,1881.7204301075249,Doctoral degree
9429,Greece,3387.0967741935497,Master's degree
10388,Greece,98.56630824372749,college/university without bachelor's degree
12755,Greece,3136.200716845875,college/university without bachelor's degree
13671,Greece,1164.874551971325,college/university without bachelor's degree
13857,Greece,1505.376344086025,Bachelor's degree
14532,Greece,1225.8064516129,Master's degree
16699,Greece,3136.200716845875,Bachelor's degree
19191,Greece,62.724014336917584,Bachelor's degree
20001,Greece,4516.129032258066,Master's degree
20627,Greece,1075.2688172043,Master's degree
23179,Greece,851.2544802867416,Bachelor's degree
23541,Greece,3315.412186379925,Master's degree
23666,Greece,716.8458781362008,Master's degree
24398,Greece,6720.430107526883,Master's degree
24670,Greece,2240.1433691756247,Master's degree
25288,Greece,1702.508960573475,Bachelor's degree
26560,Greece,1836.9175627240165,Bachelor's degree
26833,Greece,1630.8243727598583,Master's degree
28191,Greece,1792.1146953404998,Secondary school
29233,Greece,1433.6917562723997,Master's degree
30378,Greece,1290.3225806451583,Bachelor's degree
31401,Greece,2516.4874551971334,college/university without bachelor's degree
32701,Greece,1523.297491039425,Master's degree
33467,Greece,2150.5376344086,Bachelor's degree
34078,Greece,134.4086021505375,Master's degree
36868,Greece,752.6881720430108,college/university without bachelor's degree
36913,Greece,4211.469534050175,Master's degree
37162,Greece,2016.1290322580664,Master's degree
38800,Greece,2240.1433691756247,Master's degree
41166,Greece,1881.7204301075249,Secondary school
41293,Greece,1971.3261648745497,Master's degree
41863,Greece,860.2150537634417,college/university without bachelor's degree
42133,Greece,1792.1146953404998,Bachelor's degree
42315,Greece,98.56630824372749,Bachelor's degree
42577,Greece,1254.48028673835,Master's degree
43887,Greece,967.741935483875,Bachelor's degree
45738,Greece,1792.1146953404998,Bachelor's degree
48603,Greece,1469.5340501792082,college/university without bachelor's degree
48718,Greece,3336.0215053763413,Bachelor's degree
49044,Greece,761.6487455197132,Bachelor's degree
50462,Greece,3405.01792114695,Master's degree
