,Country,Monthly_Sal_EUR,YearsCodePro
50,Greece,199.88333333333333,6
179,Greece,199.88333333333333,18
208,Greece,219.87166666666667,4
366,Greece,199.88333333333333,3
403,Greece,4197.549999999999,9
414,Greece,199.88333333333333,4
594,Greece,2398.6,10
881,Greece,149.9125,2
1145,Greece,64.96208333333334,1
1163,Greece,99.94166666666666,1
1186,Greece,94.94458333333333,1
1647,Greece,149.9125,2
1705,Greece,143.916,4
1794,Greece,4497.375,2
1857,Greece,1399.1833333333334,3
1908,Greece,7195.8,13
2198,Greece,199.88333333333333,3
2410,Greece,249.85416666666666,15
2731,Greece,3997.6666666666665,6
2870,Greece,4497.375,4
2891,Greece,199.88333333333333,6
3819,Greece,5752.642333333333,21
3875,Greece,129.92416666666668,1
4318,Greece,199.88333333333333,6
4418,Greece,299.825,6
4529,Greece,124.92708333333333,25
5095,Greece,149.9125,4
5155,Greece,2868.3258333333333,3
5260,Greece,79.95333333333333,4
5294,Greece,2448.570833333333,3
5326,Greece,2088.7808333333332,4
5452,Greece,79.95333333333333,21
5864,Greece,119.93,11
5924,Greece,12192.883333333333,7
6293,Greece,1679.02,2
6474,Greece,92.94574999999999,8
7575,Greece,139.91833333333332,5
8474,Greece,229.8658333333333,11
8683,Greece,4997.083333333333,2
9633,Greece,499.7083333333333,25
11311,Greece,4497.375,14
11552,Greece,299.825,16
12289,Greece,87.94866666666667,1
12435,Greece,3135.9696166666663,8
12554,Greece,379.7783333333333,3
12570,Greece,1958.8566666666666,8
12765,Greece,4597.316666666667,8
12780,Greece,129.92416666666668,4
13238,Greece,149.9125,4
13274,Greece,84.95041666666665,2
13277,Greece,3594.1022166666667,7
13307,Greece,109.93583333333333,3
13309,Greece,3008.2441666666664,2
13467,Greece,99.94166666666666,1
13522,Greece,129.92416666666668,2
13542,Greece,749.5625,12
13568,Greece,3148.1625000000004,20
13624,Greece,1203.2976666666666,1
13754,Greece,81.75228333333334,2
13834,Greece,139.91833333333332,3
13867,Greece,7995.333333333333,12
13945,Greece,2998.25,5
13957,Greece,3288.0808333333334,4
14173,Greece,166.90258333333333,12
14318,Greece,1684.6167333333333,1
14391,Greece,649.6208333333333,13
14428,Greece,3008.2441666666664,7
14932,Greece,59.965,11
14944,Greece,114.93291666666666,2
15003,Greece,64.96208333333334,2
15111,Greece,103.93933333333332,1
15130,Greece,139.91833333333332,4
15266,Greece,129.92416666666668,6
15316,Greece,4497.375,6
15353,Greece,168.50164999999998,7
15382,Greece,3997.6666666666665,4
15560,Greece,149.9125,3
15655,Greece,2798.366666666667,10
16098,Greece,269.8425,11
16130,Greece,3617.8883333333333,14
16226,Greece,129.92416666666668,5
16442,Greece,349.79583333333335,11
16519,Greece,3697.8416666666662,2
16987,Greece,84.95041666666665,3
17169,Greece,1299.2416666666666,2
17399,Greece,1199.3,2
18009,Greece,4442.4070833333335,8
18120,Greece,4497.375,2
