,Country,Monthly_Sal_EUR,EdLevel
10423,Guatemala,2398.6,Bachelor's degree
23901,Guatemala,3264.094833333333,college/university without bachelor's degree
26111,Guatemala,2398.6,Bachelor's degree
30904,Guatemala,4197.549999999999,college/university without bachelor's degree
60622,Guatemala,3677.853333333333,Bachelor's degree
65051,Guatemala,1199.3,Bachelor's degree
68792,Guatemala,2610.8761,Professional degree
72184,Guatemala,815.524,Secondary school
72455,Guatemala,999.4166666666666,college/university without bachelor's degree
75724,Guatemala,5037.0599999999995,Bachelor's degree
77009,Guatemala,1632.2473,college/university without bachelor's degree
79611,Guatemala,978.6288,college/university without bachelor's degree
79750,Guatemala,599.65,Bachelor's degree
