,Country,Monthly_Sal_EUR,YearsCodePro
13070,Guatemala,139.91833333333332,2
15266,Guatemala,599.65,3
15650,Guatemala,599.65,2
16013,Guatemala,599.65,1
16359,Guatemala,12780.140566666665,2
16474,Guatemala,7495.625,11
16594,Guatemala,619.6383333333333,5
17712,Guatemala,1499.125,14
19648,Guatemala,1199.3,15
20409,Guatemala,999.4166666666666,10
23864,Guatemala,6995.916666666666,20
24278,Guatemala,899.475,4
24533,Guatemala,1599.0666666666666,3
33542,Guatemala,3897.7250000000004,21
34710,Guatemala,1599.0666666666666,2
35217,Guatemala,949.4458333333333,3
39125,Guatemala,1199.3,10
47568,Guatemala,1998.8333333333333,1
52753,Guatemala,4997.083333333333,22
58099,Guatemala,1099.3583333333333,2
58903,Guatemala,599.65,8
59624,Guatemala,1299.2416666666666,3
